sl,name
96,Kamudhi - Kavanoor
97,Kavanoor - Karaikudi
98,Kayathar - Kanarpatti
99,Kanarpatti - Abishegapatti
100,230 Kayathar - Thennampatti
101,TTPS - 400 Kayathar | Thennampatti
102,230 Kayathar - TTN Auto
103,Palayamkottai - Tirunelveli RCE
104,TTPS - Kudankulam NPS | TTN Auto
105,Veeranam - Abhishekapatti
106,400 Kayathar - 400 Karaikkudi
107,Virudhunagar 765 - Thennampatti | 400 Kayathar
108,TTN Auto - Tuticorin RCE
109,Veeranam - Kodikurichi
110,Ottapidaram - Kamudhi
111,Ottapidaram - Meelavittan
112,Pasumalai - CHECKKANURANI
113,Pasumalai - 230 Trichy | Samayanallur | Alagarkoil | Mondipatty | Alundur
114,Thappagundu - Anaikadavu
115,400 Karaikudi - Pugalur | Vellalavidhuthi
116,400 Ottapidaram - (8.9201668839999, 78.0607148632407)
119,SLDC Erode - Ingur
120,SLDC Erode - Trichy
121,Tapping point of Erode - Trichy to Pugalur & SE/Karur Office
122,SLDC Erode - Salem
123,Ingur - Arasur PGCIL
124,Ingur -Thingalore
125,LILO of Ingur -Thingalore to Erode GIS
126,Palladam - Kurukathi
127,Myvadi- Pugalur (upto Loc-81)-Pugalur
128,LILO of Myvadi - Pugalur to Kurukathi
129,Pugalur -Karaikudi
130,Pugalur -Alagapuram
131,MTPS III - Karamadai - Arasur
132,LILO of MTPS - Arasur to Gobi
133,Gobi -SE/Gobi office (Old & New)
134,Kundah PH1-Kundah PH2
135,Kundah PH2 -Kundah PH 3
136,Kundah PH3- Kundah PH4
137,Kundah PH1-Kundah PH5
138,Kundah PH5- Kundah PH 6- Ooty-Sandynallah
139,Kundah PH 6-Sandynallah
140,PUSHEP - Karamadai
141,Sandynallah - PUSHEPH-Singara PH
142,Singara - Moyar
143,Singarapet - Thirupathur
144,Salem - Singarapet
145,Shoolagiri - Udanapalli-Karimangalam-Palavadi-Mettur
146,Shoolagiri - Thirupatthur-Vinnamangalam
147,MTPS II - MTPS I - Salem -KR Thoppur Stores
148,Palavadi - Pochampalli-Thiruvalam
149,Palavadi - MTPS III
150,Palavadi - Rasipalayam 1&2
151,Palavadi - Rasipalayam 3&4
152,Palavadi - Udanapalli
153,Shoolagiri - Gurubarapally - Singarapet
154,Salem - Salem
155,Deviakurichi - Valayapatti | PUDANSANTHAI
156,Anaikadavu - Rasipalayam
157,Thappagundu - Anaikadavu
158,Udumalpet - Aliyar
159,Aliyar - Kadamparai
160,Myvadi -Udumalpet
161,Udumalpet - Udumalpet kV
162,Aliyar-Iyyarpady-SholayarI
163,SholayarI-SholayarII
164,Iyyarpadi- Valparai Quarters Exchange
165,Aliyar Nagar- Navamalai
166,Aliyar Nagar-Sarkarpathy
167,Anappadi- Prambikulam
168,Aliyar Nagar-Attakatty. Iyyarpadi
169,Valparai Town-Chinchona
170,Valparai Town-Mudis
171,Mudis-Sholayar nagar
172,Gobi- Karuvalur - Arasur
173,Peelamedu-Racecourse
175,230 Kayathar - 400 Kayathar
176,Udangudi Thermal - 400 Ottapidaram
177,K.Pudur RCE office - Industrial Estate SS
178,110 Pasumalai - 230 Pasumalai
179,SLDC ERODE - ERODE SS
