Sl.NO,wkt_geom,gid,ss_name,volt_ratio,ss_type,ss_code,cir_code,region_id,cir_name,show
93,Point (77.99930900793785327 11.11777350553884069),267629,P VELUR SS,110/11,NON GRID,4508,437,4,NAMAKKAL,N
94,Point (80.16725767157709015 13.1054712051265092),559,AMBATTUR SIDCO SS,110/11,Grid,9315,406,1,Chennai-West,Y
95,,267660,METTUR RS,110/11,NON GRID,4201,422,4,METTUR,Y
96,Point (77.88940139047213052 11.69653704730886723),267658,JALAKANDAPURAM,110/11,NON GRID,4205,422,4,METTUR,Y
97,Point (77.92303339608193369 11.85944013585687706),267659,MECHERI,110/11,NON GRID,4223,422,4,METTUR,Y
98,Point (78.98958714865774766 12.47319378928894373),277088,ADHAMANGALAM,110/11,NON GRID,8212,414,2,THIRUVANNAMALAI,Y
99,Point (79.58972637241845405 12.78342308254391746),277123,VEMBAKKAM,110/11,NON GRID,8231,414,2,THIRUVANNAMALAI,Y
100,Point (78.94960520658237613 12.16175585746824517),277146,THANDARAMPETTU,110/11,GRID,8201,414,2,THIRUVANNAMALAI,Y
101,Point (77.88592554988468919 11.05105294560326179),267723,KODUMUDI SS,110/11,Non-Grid,4306,426,4,ERODE,Y
102,Point (77.56579786994086589 11.25666868593747694),267732,SIPCOT SS III,110/11,Non-Grid,4347,426,4,ERODE,Y
103,Point (77.55050531984463191 11.22057013267390957),267733,SIPCOT SS II,110/11,Non-Grid,4340,426,4,ERODE,Y
104,Point (77.47864891283420263 11.23375545900385752),267737,P.G.PALAYAM SS,110/11,Non-Grid,4319,426,4,ERODE,Y
105,Point (77.41226911234339525 11.24357208980757505),267739,KUNNATHUR SS,110/11,Non-Grid,4341,426,4,ERODE,Y
106,Point (77.55399377190050814 11.25506257606998162),267734,SIPCOT SS I,110/11,Non-Grid,4317,426,4,ERODE,Y
107,Point (77.55662313012805953 11.17623550359519236),267736,PERIYANDIPALAYAM SS,110/11,Non-Grid,4345,426,4,ERODE,Y
108,Point (77.60133809215983547 11.14949028932174535),267749,CHENNIMALAI SS,110/11,Non-Grid,4342,426,4,ERODE,Y
109,Point (77.58078193037117387 11.23773835446300673),267747,INGUR SS,110/11,Non-Grid,4308,426,4,ERODE,Y
110,Point (77.1293347604176347 11.27929914892528096),277058,PASUR ,110/11,Non-Grid,1646,438,3,TIRUPUR,Y
111,Point (77.32446597385475684 11.03826668687779211),277059,Arulpuram SS,110/11,Non-Grid,1622,438,3,TIRUPUR,Y
112,Point (77.44082447952817461 11.03426513702773804),277056,ALAGUMALAI,110/11,Non-Grid,1642,438,3,TIRUPUR,Y
113,Point (77.54760276626343796 9.2600096362242148),277525,KARIVALAMVANTHANALLUR SS,110/11,NON GRID,5453,472,7,TIRUNELVELI,Y
114,,277061,PERUMANALUR  SS,110/11,Non-Grid,1607,438,3,TIRUPUR,Y
115,Point (77.60777936574336877 9.15655346305033113),277529,MALAYANKULAM SS,110/11,NON GRID,5433,472,7,TIRUNELVELI,Y
116,Point (77.64577845572782167 8.45036380952481281),277533,AMRL SS,110/11,NON GRID,5467,472,7,TIRUNELVELI,Y
117,Point (77.2459318701318125 11.18144652772354419),277044,AVINASHI SS,110/11,Non-Grid,1609,438,3,TIRUPUR,Y
118,Point (77.34125392708783409 11.08350598048966162),277035,COLLECTORATE SS,110/11,Non-Grid,1652,438,3,TIRUPUR,Y
119,Point (77.32396463461647329 11.20972861628772144),277041,NAP SS,110/11,Non-Grid,1612,438,3,TIRUPUR,Y
120,Point (77.33469130569960726 11.1193435816666355),277051,TIRUPUR SS,110/11,Grid,1613,438,3,TIRUPUR,Y
121,Point (77.29576462812882198 9.04542571880772961),277518,ACHANPUDHUR SS,110/11,NON GRID,5461,472,7,TIRUNELVELI,Y
122,Point (77.33102336732738991 11.09928158476504834),277046,THIRU NAGAR SS,110/11,Non-Grid,1650,438,3,TIRUPUR,Y
123,Point (77.56743196873853208 8.50808525873502397),277521,KALAKAD SS,110/11,NON GRID,5429,472,7,TIRUNELVELI,Y
124,Point (77.38468930434331128 8.84169828372964162),277520,KADAYAM SS,110/11,NON GRID,5422,472,7,TIRUNELVELI,Y
125,Point (77.33519837682915465 11.11881908277955944),277052,KUMAR NAGAR SS,110/11,Non-Grid,1617,438,3,TIRUPUR,Y
126,Point (77.19965459015089948 11.20113466357170573),277053,KARUVALUR SS,110/11,Non-Grid,1626,438,3,TIRUPUR,Y
127,Point (80.10099713887039741 12.86223600508747644),273286,UNAMANCHERRY SS,110/11,NON GRID,9153,411,9,CHENGALPATTU,Y
128,Point (78.10707650662500612 10.26197827593209233),251191,V.K.PATTY SS,110/11,GRID,3105,450,5,DINDIGUL,Y
129,Point (78.23875507060625978 10.22410758249478313),251192,NATHAM SS,110/11,NON GRID,3118,450,5,DINDIGUL,Y
130,,251193,VADAMADURAI SS,110/11,NON GRID,3117,450,5,DINDIGUL,Y
131,Point (78.25430520862164485 10.38353486397794079),251194,PALAYAM SS,110/11,NON GRID,3126,450,5,DINDIGUL,N
132,Point (77.5152147626404826 10.23650045355465998),251201,KODAIKANAL,110/11,NON GRID,3124,450,5,DINDIGUL,Y
133,Point (77.50811826704163821 8.76323582749109953),277536,O.THULUKKAPATTI SS,110/11,GRID,5434,472,7,TIRUNELVELI,Y
134,Point (79.83818572386064716 12.36888355451823607),273269,INDALUR,110/11,NON GRID,9178,411,9,CHENGALPATTU,Y
135,Point (77.40550065774633026 9.25647730906722543),277534,NARANAPURAM SS,110/11,NON GRID,5416,472,7,TIRUNELVELI,Y
136,Point (77.80895951887434592 8.25477469506214945),277535,NAVALADY SS,110/11,NON GRID,5454,472,7,TIRUNELVELI,Y
137,Point (79.80853099694337516 13.03878358066604726),273275,PERAMBAKKAM,110/11,NON-GRID,9116,411,9,CHENGALPATTU,Y
138,Point (79.85674765054072566 13.09238643189866913),273276,KADAMBATHUR SS,110/11,NON GRID,9115,411,9,CHENGALPATTU,Y
139,Point (79.98358384366899543 12.36858767179701779),273271,CHEYYUR,110/11,NON-GRID,9133,411,9,CHENGALPATTU,Y
140,Point (80.18178354506413541 12.7194255796111122),273273,THIRUPORUR,110/11,NON GRID,9109,411,9,CHENGALPATTU,Y
141,Point (78.68089841672990303 12.73496890358175548),276447,Vinnamangalam ss,110/11,NON GRID,7308,413,8,TIRUPATTUR EDC,Y
142,Point (79.89313618285717666 12.51215134536781548),273278,MADURANTAGAM SS,110/11,NON GRID,9119,411,9,CHENGALPATTU,Y
143,Point (77.57587965958455811 8.30919214910174553),277539,PANAGUDI SS,110/11,NON GRID,5427,472,7,TIRUNELVELI,Y
144,Point (79.90027364064951598 12.27403027201422958),273281,ILLEDU,110/11,NON GRID,9138,411,9,CHENGALPATTU,Y
145,Point (77.39113785460905603 9.16213134727178335),277541,PULIANGUDI SS,110/11,NON GRID,5415,472,7,TIRUNELVELI,Y
146,Point (80.1469208823687751 12.64807160764522109),273291,OMEGA,110/11,NON GRID,9164,411,9,CHENGALPATTU,Y
147,Point (78.06786361359608861 10.75325099030553488),251204,AMMAYANAYAKANUR,110/11,NON GRID,3104,450,5,DINDIGUL,N
148,Point (77.5513245396483768 9.34772392335697511),277540,PERUMALPATTI SS,110/11,NON GRID,5412,472,7,TIRUNELVELI,Y
149,Point (77.93082107119373347 10.46596724947204748),251214,THADIKOMBU,110/11,NON GRID,3143,450,5,DINDIGUL,Y
150,Point (77.9466000981612126 10.46932353169190222),251215,VITALNAICKENPATTY,110/11,NON GRID,3115,450,5,DINDIGUL,Y
151,Point (80.05129716269267703 12.82548257078733123),273296,POTHERI SS,110/11,NON GRID,9154,411,9,CHENGALPATTU,Y
152,Point (78.12482961126052317 10.11225840529036901),251260,MANIKAMPATTY,110/11,GRID,3234,452,5,MADURAI,Y
153,Point (78.01985271012377154 9.86413145460738328),251259,KAPPALUR SS,110/11,NON GRID,3215,452,5,MADURAI,Y
154,Point (78.19687685848010972 9.95412296837879751),251264,OTHAKADAI ,110/11,NON GRID,3242,452,5,MADURAI,Y
155,Point (78.33020953291220678 10.00806716468669322),251261,MELUR SS,110/11,NON GRID,3208,452,5,MADURAI,Y
156,Point (77.96502472359331648 10.0150861773343749),251263,SHOLAVADHAN,110/11,NON GRID,3235,452,5,MADURAI,Y
157,Point (78.04570318305766818 9.97433742476869156),251269,SAMAYANALLUR SS,110/11,NON-GRID,3209,452,5,MADURAI,Y
158,Point (77.53524338564456286 9.18925697653132723),277542,SANKARANKOVIL SS,110/11,NON GRID,5411,472,7,TIRUNELVELI,Y
159,Point (79.95088911241776941 12.81064061161283618),273297,VADAKUPATTU SS,110/11,NON GRID,9167,411,9,CHENGALPATTU,Y
160,Point (78.39199488855936693 10.03186089465279984),251236,THANIYAMANGALAM,110/11,NON GRID,3232,452,5,MADURAI,Y
161,Point (78.3736366951123955 10.20435732124505179),251234,KOTTAMPATTI SS,110/11,NON GRID,3225,452,5,MADURAI,Y
162,Point (77.9776246036207823 9.82742622353547546),251238,THIRUMANGALAM MDU,110/11,NON GRID,3211,452,5,MADURAI,Y
163,Point (77.80629588614438319 10.02420321562751404),251245,MONDIKUNDU,110/11,NON GRID,3219,452,5,MADURAI,Y
164,Point (78.05247905550173471 9.94281822568279772),251257,ACHAMPATHU,110/11,NON GRID,3239,452,5,MADURAI,Y
165,Point (77.26193665940907351 11.08730096025737666),276925,poomlur ss,110/11,outdoor,1309,432,3,CBE-SOUTH,Y
166,Point (77.26020015723716483 11.1466043171440905),276924,VANJIPALAYAM,110/11,outdoor,1357,432,3,CBE-SOUTH,Y
167,Point (77.1256288416982585 11.09365844667063072),276932,Arasur,110/11,outdoor,1301,432,3,CBE-SOUTH,Y
168,Point (76.94947510979486083 11.00486167200427268),276939,R S PURAM,110/11,Non-Grid,1116,435,3,CBE-METRO,Y
169,Point (76.95949077075232481 11.01824002422050874),276941,COIMBATORE SS,110/11,Grid,1117,435,3,CBE-METRO,Y
170,Point (77.27647661394185263 11.04720987330646231),276938,NARNAPURAM SS (R-APDRP),110/11,Non-Grid,1702,439,3,PALLADAM,Y
171,Point (77.24775069999999744 8.98308420000000041),277512,Shencottai SS,110/11,non grid,5419,472,7,TIRUNELVELI,Y
172,Point (77.29860299999999995 8.96324100000000001),277513,Tenkasi SS,110/11,non grid,5418,472,7,TIRUNELVELI,Y
173,Point (77.3448319999999967 9.06598900000000008),277511,Kadayanallur SS,110/11,non grid,5414,472,7,TIRUNELVELI,Y
174,Point (76.96628957322194253 10.98922823664427639),276904,UKKADAM SS,110/11,Non-Grid,1105,435,3,CBE-METRO,Y
175,Point (77.22332069617183947 10.83919612457907888),276907,MALAIADIPALAYAM,110/11,outdoor,1355,432,3,CBE-SOUTH,Y
176,Point (77.11084447774892681 11.06545166943684855),276921,M.G. PUDHUR,110/11,outdoor,1366,432,3,CBE-SOUTH,Y
177,Point (77.22354564530172638 11.16980624307939429),276916,earipalayam ss,110/11,out door,1332,432,3,CBE-SOUTH,Y
178,Point (76.81226342302484511 10.97733960989791946),276970,DEVARAYAPURAM,110/11,Outdoor,1216,430,3,CBE-NORTH,Y
179,Point (76.99318776431340439 11.02001240642841218),276945,PEELAMEDU SS,110/11,Non-Grid,1102,435,3,CBE-METRO,N
180,Point (77.09229345417989521 10.97519454732685773),276947,PEEDAMPALLI SS,110/11,Non-Grid,1103,435,3,CBE-METRO,Y
181,Point (77.02995406959304603 11.0629275469887709),276943,KALAPATTY ,110/11,Non-Grid,1107,435,3,CBE-METRO,Y
182,Point (77.02818746527282201 11.01336572771135813),276944,KALLIMADAI SS,110/11,Non-Grid,1108,435,3,CBE-METRO,Y
183,Point (77.06192010630013556 11.06420920829894783),276950,MYLAMPATTY SS,110/11,Non-Grid,1113,435,3,CBE-METRO,Y
184,Point (76.98091560877379891 11.02093743639070489),276951,PN PALAYAM ,110/11,Non-Grid,1118,435,3,CBE-METRO,N
185,Point (77.11318194588062624 11.02583571794765227),276948,SULUR SS,110/11,Non-Grid,1106,435,3,CBE-METRO,Y
186,Point (77.06866958500137343 11.02414029411885643),276949,IRUGUR SS,110/11,Non-Grid,1104,435,3,CBE-METRO,Y
187,Point (76.92697345425523281 11.00822139699860003),276955,SEERANAICKENPALAYAM,110/11,Non-Grid,1209,430,3,CBE-NORTH,Y
188,Point (77.45348735067493351 8.7194758024179464),277517,AMBASAMUTHIRAM SS,110/11,NON GRID,5457,472,7,TIRUNELVELI,Y
189,Point (77.69045632340782959 10.91734818776784977),277013,PERIYAR NAGAR SS (R-APDRP),110/11,Non-Grid,1712,439,3,PALLADAM,Y
190,Point (77.27801870028523012 10.97367897234402356),277017,PALLADAM SS (R-APDRP),110/11,Non-Grid,1729,439,3,PALLADAM,Y
191,Point (77.73349295496278444 11.04653036045097991),277022,MUTHUR SS,110/11,Non-Grid,1706,439,3,PALLADAM,Y
192,Point (77.54843514892658618 10.94858694108946118),277015,UTHIYUR SS,110/11,Non-Grid,1708,439,3,PALLADAM,Y
193,Point (77.31134608361605842 11.00329336360994148),277016,PANAPALAYAM SS,110/11,Non-Grid,1732,439,3,PALLADAM,N
194,Point (77.64170397111153932 10.96659849292612243),277027,OLAPPALAYAM SS,110/11,Non_Grid,1711,439,3,PALLADAM,Y
195,Point (77.52050469015790668 10.98128558025304002),277025,KADAIYUR SS,110/11,Non-Grid,1713,439,3,PALLADAM,Y
196,Point (77.24689339337331262 11.01081430797532512),277001,KALIVELAMPATTI SS (R-APDRP),110/11,Non-Grid,1700,439,3,PALLADAM,Y
197,Point (77.67438704760323276 9.37931530839206395),277596,ALANGULAM,110/11,OUTDOOR,5220,462,7,VIRUDHUNAGAR,Y
198,Point (77.82666965361730149 9.42123384322087176),277598,ANUPPANKULAM,110/11,OUT DOOR,5252,462,7,VIRUDHUNAGAR,Y
199,Point (77.79507591862032712 9.62915413388983055),277599,ERICHANATHAM,110/11,OUT DOOR,5231,462,7,VIRUDHUNAGAR,Y
200,Point (77.56406489781834068 9.39657510474334146),277607,NALLAMANAICKENPATTI,110/11,OUTDOOR,5239,462,7,VIRUDHUNAGAR,Y
201,Point (77.36033097457644203 8.52318373864311774),277586,KOTHAIYAR PH SS,110/11,GRID,5476,472,7,TIRUNELVELI,Y
202,Point (77.94329701625045459 9.559124918010653),277617,SOOLAKKARAI,110/11,OUTDOOR,5235,462,7,VIRUDHUNAGAR,N
203,Point (77.69993542597497083 9.57070307655652464),277619,VALAYAPATTI,110/11,OUT DOOR,5223,462,7,VIRUDHUNAGAR,Y
204,Point (77.51876505757850566 9.47259239460346159),277624,MUDANGIYAR,110/11,OUT DOOR,5222,462,7,VIRUDHUNAGAR,Y
205,Point (77.91598223353450692 9.36596568964609233),277625,SATTUR,110/11,OUT DOOR,5214,462,7,VIRUDHUNAGAR,Y
206,Point (77.57118128591390871 9.43162944680397075),277623,RAJAPALAYAM,110/11,OUT DOOR,5219,462,7,VIRUDHUNAGAR,Y
207,Point (77.79015835437958515 9.47511338994717534),277626,THIRUTHANGAL,110/11,OUT DOOR,5218,462,7,VIRUDHUNAGAR,Y
208,Point (77.63265322557028014 9.42889538791891546),277614,R.REDDIYAPATTI,110/11,OUTDOOR,5230,462,7,VIRUDHUNAGAR,Y
209,Point (79.39439314493216671 12.68216763729903107),276494,MAMBAKKAM SS,110/11,NON GRID,7413,412,8,VELLORE,Y
210,Point (77.48453704822738075 9.39936344086309994),277615,SEITHUR,110/11,OUT DOOR,5221,462,7,VIRUDHUNAGAR,Y
211,Point (79.11699069051417155 12.92381835517336519),276491,VELLORE SS,110/11,Grid,7401,412,8,VELLORE,Y
212,Point (79.15629451781107662 12.76354839392652707),276502,KILPALLIPET SS,110/11,NON GRID,7403,412,8,VELLORE,Y
213,Point (77.27202699999999425 8.31436399999999942),277656,VEEYANUR,110/11,NON GRID,5309,474,7,KANYAKUMARI,Y
214,Point (79.1344357117011441 12.83990137838375567),276501,SATHUMADURAI SS,110/11,NON GRID,7402,412,8,VELLORE,Y
