Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
44(57),,S,SA,26,43-44,,305.0829166,7.6,164,,11.16414,78.29056,GOOD,GOOD,LT LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29056 11.16414, 78.29331 11.16345)"
45(58),,S,SA,26,44-45,,310.130605,9.83,164,,11.16345,78.29331,GOOD,GOOD,,TAR ROAD CROSSING,CANNAL CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29331 11.16345, 78.29614 11.16276)"
46(59),,S,SA,26,45-46,,318.6126723,1.06,173,,11.16276,78.29614,GOOD,GOOD,LT LINE CROSSING(2),,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29614 11.16276, 78.29887 11.16208)"
47(60),,S,SA,26,46-47,,307.7397609,5.67,174,,11.16208,78.29887,GOOD,GOOD,33KV LINE CROSSING(2),TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29887 11.16208, 78.30155 11.16142)"
48(61),,S,SA,26,47-48,,301.9002956,9.38,172,,11.16142,78.30155,GOOD,GOOD,,TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30155 11.16142, 78.30432 11.16072)"
49(62),,S,SA,26,48-49,,312.522358,5.67,171,,11.16072,78.30432,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30432 11.16072, 78.30605 11.16031)"
50(1) LILO POINT,3W,T,SD,28,49-50,,194.4612723,0.97,169,"97°39'48""(RT)",11.16031,78.30605,GOOD,GOOD,,CEMENT ROAD CROSSING,CANNAL CROSSING,LILO POINT TO THATHAIYANKARAPET LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30605 11.16031, 78.3053 11.15838)"
51(2),,T,SB,24,50-51,,228.8203879,2.96,169,"02°46'26""(LT)",11.15838,78.3053,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3053 11.15838, 78.30465 11.15643)"
52(3),,T,SD,28,51-52,,227.2379805,2.15,167,"81°21'47""(LT)",11.15643,78.30465,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30465 11.15643, 78.30497 11.15627)"
53(4) DP,,,SB,24,52-53(DP),,39.20519498,,167,"13°53'44""(LT)",11.15627,78.30497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30497 11.15627, 78.30519 11.15622)"
ERUMAPATTY GANTRY,2W,T,T,20,53 DP-GANTRY,,24.67534865,,168,,11.15622,78.30519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
