Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-37,,DA,S,29,36-37,180.1610391,,317,,77.04897222,10.69,GOOD,GOOD,NO,22KV,TAAR ROAD,ISIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04897222222222 10.69, 77.04688888888889 10.687583333333334)"
T.NO-38,,DA,S,26,37-38,351.2164575,13.79,329,,77.04688889,10.68758333,GOOD,GOOD,NO,"3nos LT,3nos 22KV",3nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04688888888889 10.687583333333334, 77.04519444444445 10.685666666666666)"
T.NO-39,,DA,S,26,38-39,281.4693589,15.49,323,,77.04519444,10.68566667,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04519444444445 10.685666666666666, 77.04358333333333 10.683777777777777)"
T.NO-40,,DB,T,24,39-40,274,15.26,330,"14°40'33.13""",77.04358333,10.68377778,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04358333333333 10.683777777777777, 77.04255555555555 10.681722222222222)"
T.NO-41,,DA,S,26,40-41,254.4837912,7.59,331,,77.04255556,10.68172222,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04255555555555 10.681722222222222, 77.04166666666667 10.68)"
T.NO-42,,DB,T,24,41-42,213.7755833,4.76,332,"1°12'18.84""",77.04166667,10.68,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04166666666667 10.68, 77.04077777777778 10.678138888888888)"
T.NO-43,2W,DC,T,26,42-43,228.1775624,3.27,334,"23°29'9.94""",77.04077778,10.67813889,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04077777777778 10.678138888888888, 77.03897222222221 10.676555555555556)"
T.NO-44,,DA,S,26,43-44,264.9150807,16.25,333,,77.03897222,10.67655556,GOOD,GOOD,NO,"2nos LT,22KV",2nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03897222222221 10.676555555555556, 77.03694444444444 10.674805555555555)"
T.NO-45,,DA,S,26,44-45,292.5696498,15.05,323,,77.03694444,10.67480556,GOOD,GOOD,NO,LT,TAARROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03694444444444 10.674805555555555, 77.03488888888889 10.673055555555555)"
T.NO-46,,DA,S,26,45-46,296.9865317,11.98,326,,77.03488889,10.67305556,GOOD,GOOD,NO,,NALA,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03488888888889 10.673055555555555, 77.03288888888889 10.67136111111111)"
T.NO-47,,DA,S,26,46-47,287.1114766,10.6,323,,77.03288889,10.67136111,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03288888888889 10.67136111111111, 77.03094444444444 10.669694444444444)"
T.NO-48,,DA,S,26,47-48,284.1003344,13.85,325,,77.03094444,10.66969444,GOOD,GOOD,NO,,NALA,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03094444444444 10.669694444444444, 77.02886111111111 10.667888888888887)"
T.NO-49,,DA,S,26,48-49,301.8774586,16.76,319,,77.02886111,10.66788889,GOOD,GOOD,NO,"22KV,LT",TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02886111111111 10.667888888888887, 77.02680555555555 10.66613888888889)"
T.NO-50,,DA,S,26,49-50,296.8046496,14.56,314,,77.02680556,10.66613889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02680555555555 10.66613888888889, 77.02488888888888 10.664472222222223)"
T.NO-51,,DB,T,24,50-51,279.1164631,14.17,307,"9°51'36.90""",77.02488889,10.66447222,GOOD,GOOD,NO,2nos LT,2nos TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02488888888888 10.664472222222223, 77.02338888888889 10.662638888888889)"
T.NO-52,,DA,S,26,51-52,261.1225766,15.85,299,,77.02338889,10.66263889,GOOD,GOOD,NO,"11KV,2nos LT","2nos TAAR ROAD,MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02338888888889 10.662638888888889, 77.022 10.660833333333334)"
T.NO-53,,DA,S,26,52-53,250,5.98,307,,77.022,10.66083333,GOOD,GOOD,NO,,MUDROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.022 10.660833333333334, 77.02097222222223 10.659555555555556)"
T.NO-54,,DA,S,26,53-54,182.428068,8.69,295,,77.02097222,10.65955556,GOOD,GOOD,NO,LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02097222222223 10.659555555555556, 77.01916666666666 10.657222222222222)"
T.NO-55,,DC,T,26,54-55,324.4271875,5.54,293,"28°19'6.08""",77.01916667,10.65722222,GOOD,GOOD,YES,2nos LT,"3nos MUDROAD,2nos TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01916666666666 10.657222222222222, 77.01905555555555 10.65675)"
POLLACHI GANTRY,2W,GANTRY,,20,55-GANTRY,55.73149917,,303,,77.01905556,10.65675,GOOD,MISSING,NO,,,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
