S.NO,Tower  No      ,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
46,38,,DA,S,26,37-38,430,430.8844596,6.15,356,,11.65746,78.23698,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23698 11.65746, 78.23946 11.65759)"
47,39,,DA,S,26,38-39,269,270.9923548,5.76,341,,11.65759,78.23946,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23946 11.65759, 78.24265 11.65777)"
48,40,,DA,S,26,39-40,349,348.6518533,2.38,344,,11.65777,78.24265,GOOD,GOOD,LT LINE CROSSING ,"SAND ROAD CROSSING,TAR ROAD CROSSING",,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24265 11.65777, 78.24503 11.65792)"
49,41,,DA,S,26,40-41,261,260.2271079,10.21,336,,11.65792,78.24503,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",TAR ROAD CROSSING,LAKE CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24503 11.65792, 78.24825 11.65813)"
50,42,,DA,S,26,41-42,351,352.1216683,1.47,334,,11.65813,78.24825,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24825 11.65813, 78.25142 11.6583)"
51,43,,DA,S,26,42-43,345,346.4080815,3.78,342,,11.6583,78.25142,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25142 11.6583, 78.25459 11.65847)"
52,44,,DA,S,26,43-44,346,346.4069828,1.81,338,,11.65847,78.25459,GOOD,GOOD,22KV LINE CROSSING ,TAR ROAD CROSSING,LAKE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25459 11.65847, 78.25767 11.65867)"
53,45,,DA,S,26,44-45,335,336.8024486,11.42,337,,11.65867,78.25767,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING 3,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25767 11.65867, 78.26036 11.65883)"
54,46,,DA,S,26,45-46,293,294.0521919,10.22,340,,11.65883,78.26036,GOOD,GOOD,LT LINE CROSSING 2,TAR ROAD CROSSING,,"AGRI LAND,HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26036 11.65883, 78.263 11.659)"
55,47,,DA,S,26,46-47,287,288.675813,1.85,347,,11.659,78.263,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.263 11.659, 78.26568 11.65916)"
56,48,,DA,S,26,47-48,292,292.9614318,2.34,350,,11.65916,78.26568,GOOD,GOOD,"LT LINE CROSSING 2 , 22KV LINE CROSSING ",TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26568 11.65916, 78.26847 11.65931)"
