S.No,Tower No.,Tower Suspension / Tension,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,11,S,26,10-11,270,0.92,176,,12.1645329,78.0787021,5272767446,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0787021 12.1645329, 78.0814486 12.1640963)"
13,12,T,26,11-12,300,5.23,165,"27°53'18"" LT",12.1640963,78.0814486,5272767445,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0814486 12.1640963, 78.0832565 12.1635129)"
14,13,S,26,12-13,200,1.72,167,,12.1635129,78.0832565,5272767440,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0832565 12.1635129, 78.0849167 12.1630134)"
15,14,T,26,13-14,200,4.24,169,"35°17'50"" LT",12.1630134,78.0849167,5272767417,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0849167 12.1630134, 78.0851179 12.1628967)"
16,15,DP,26,14-15,25,2.47,170,,12.1628967,78.0851179,5272767416,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0851179 12.1628967, 78.0853969 12.1628338)"
17,16,DP,26,15-16,40,1.84,172,,12.1628338,78.0853969,5272767414,GOOD,230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0853969 12.1628338, 78.0856342 12.1628574)"
18,17,T,26,16-17,25,3.25,174,,12.1628574,78.0856342,5272767415,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0856342 12.1628574, 78.0874648 12.1617181)"
19,18,T,28,17-18,250,16.25,176,,12.1617181,78.0874648,5272767410,GOOD,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0874648 12.1617181, 78.0896911 12.1597241)"
20,19,T,26,18-19,320,2.03,175,,12.1597241,78.0896911,5272767398,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0896911 12.1597241, 78.0910174 12.1579686)"
21,20,T,26,19-20,250,15.65,173,,12.1579686,78.0910174,5272767384,GOOD,400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0910174 12.1579686, 78.0919374 12.1559234)"
22,21,S,26,20-21,250,2.34,170,,12.1559234,78.0919374,5272767381,GOOD,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0919374 12.1559234, 78.0928078 12.15397)"
23,22,S,26,21-22,250,1.86,162,,12.15397,78.0928078,5272767377,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0928078 12.15397, 78.0936326 12.1521778)"
24,23,T,26,22-23,225,4.85,163,,12.1521778,78.0936326,5272767372,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0936326 12.1521778, 78.092506 12.1502164)"
25,24,T,26,23-24,270,6.29,163,,12.1502164,78.092506,5272767206,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.092506 12.1502164, 78.0917027 12.1481817)"
26,25,S,26,24-25,240,2.67,171,,12.1481817,78.0917027,5272767197,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0917027 12.1481817, 78.09078 12.1459397)"
27,26,T,26,25-26,245,2.39,166,"0°40'28"" LT",12.1459397,78.09078,5272767192,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09078 12.1459397, 78.0913017 12.1441147)"
28,27,T,26,26-27,250,17.54,164,,12.1441147,78.0913017,5272767190,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0913017 12.1441147, 78.090768 12.1428049)"
29,28,T,33,27-28,160,2.41,164,,12.1428049,78.090768,5272767188,GOOD,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.090768 12.1428049, 78.0904676 12.1408514)"
30,29,T,33,28-29,300,1.86,165,,12.1408514,78.0904676,5272767186,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0904676 12.1408514, 78.091063 12.1389319)"
31,30,T,26,29-30,290,0.92,166,,12.1389319,78.091063,5272767184,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.091063 12.1389319, 78.0910308 12.1366046)"
32,31,T,26,30-31,230,3.45,165,,12.1366046,78.0910308,5272767182,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0910308 12.1366046, 78.09262 12.1351283)"
33,32,T,26,31-32,240,1.05,167,,12.1351283,78.09262,5272767180,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09262 12.1351283, 78.0933402 12.1325362)"
34,33,S,29,32-33,300,2.37,168,,12.1325362,78.0933402,5272767178,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0933402 12.1325362, 78.0940269 12.13018)"
35,34,T,26,33-34,265,3.04,165,,12.13018,78.0940269,5272767175,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0940269 12.13018, 78.0939531 12.1280638)"
36,35,T,26,34-35,210,18.12,163,,12.1280638,78.0939531,5272767174,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0939531 12.1280638, 78.09411 12.1257968)"
37,36,T,26,35-36,280,2.76,167,,12.1257968,78.09411,5272767173,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09411 12.1257968, 78.0935682 12.1238641)"
38,37,T,26,36-37,220,2.93,168,,12.1238641,78.0935682,5272767172,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0935682 12.1238641, 78.0950622 12.1219353)"
39,38,T,26,37-38,270,15.24,170,"10°52'6"" LT",12.1219353,78.0950622,5272767171,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0950622 12.1219353, 78.0969008 12.1208392)"
40,39,T,26,38-39,230,1.84,172,,12.1208392,78.0969008,5272767170,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0969008 12.1208392, 78.0977887 12.1199554)"
41,40,S,29,39-40,150,1.5,174,,12.1199554,78.0977887,5272767169,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0977887 12.1199554, 78.1018754 12.1081789)"
42,41,T,32,40-41,280,1.79,176,,12.1081789,78.1018754,5272767168,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1018754 12.1081789, 78.1027246 12.1064043)"
43,42,T,32,41-42,210,2.03,175,,12.1064043,78.1027246,5272767167,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1027246 12.1064043, 78.1035829 12.1045856)"
44,43,T,26,42-43,290,15.78,173,,12.1045856,78.1035829,5272767437,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1035829 12.1045856, 78.10446 12.1027013)"
45,44,T,32,43-44,300,2.34,170,,12.1027013,78.10446,5272767436,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10446 12.1027013, 78.1053572 12.100834)"
46,45,T,26,44-45,280,1.86,162,,12.100834,78.1053572,5272767435,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1053572 12.100834, 78.1059218 12.0980658)"
47,46,S,26,45-46,150,2.05,163,,12.0980658,78.1059218,5272767434,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1059218 12.0980658, 78.106418 12.0957277)"
48,47,S,26,46-47,230,2.58,163,,12.0957277,78.106418,5272767433,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.106418 12.0957277, 78.1076961 12.0941843)"
49,48,S,26,47-48,290,2.67,171,,12.0941843,78.1076961,5272767432,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1076961 12.0941843, 78.1091539 12.0923943)"
50,49,T,34,48-49,310,18.01,166,"0°40'28"" LT",12.0923943,78.1091539,5272767431,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1091539 12.0923943, 78.1094663 12.0904535)"
51,50,S,30,49-50,300,2.52,164,,12.0904535,78.1094663,5272767430,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1094663 12.0904535, 78.111423 12.0888444)"
52,51,T,26,50-51,280,2.41,164,,12.0888444,78.111423,5272767429,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.111423 12.0888444, 78.1136398 12.0880183)"
53,52,S,26,51-52,290,1.86,165,,12.0880183,78.1136398,5272767428,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1136398 12.0880183, 78.1152787 12.0871541)"
54,53,T,26,52-53,190,0.92,166,,12.0871541,78.1152787,5272767427,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1152787 12.0871541, 78.1160739 12.0847189)"
55,54,T,26,53-54,200,1.35,165,,12.0847189,78.1160739,5272767426,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1160739 12.0847189, 78.1164374 12.0825498)"
56,55,T,30,54-55,285,17.35,167,,12.0825498,78.1164374,5272767425,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1164374 12.0825498, 78.1167472 12.0804608)"
57,56,T,30,55-56,265,2.37,168,,12.0804608,78.1167472,5272767424,GOOD,,NH ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1167472 12.0804608, 78.1189412 12.0783087)"
58,57,T,26,56-57,200,3.04,165,,12.0783087,78.1189412,5272767423,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1189412 12.0783087, 78.1197834 12.0779605)"
59,58,T,26,57-58,290,2.61,163,,12.0779605,78.1197834,3894331469,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
