Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-11,,SA,S,26,10-Nov,239.0753019,7.03,322,,77.2855,10.74344444,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2855 10.743444444444444, 77.28344444444444 10.743444444444444)"
T.NO-12,,SB,T,24,11-Dec,227.0352396,7.32,317,"13°26'45.67""",77.28344444,10.74344444,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28344444444444 10.743444444444444, 77.28102777777778 10.743972222222222)"
T.NO-13,,SC,T,29,Dec-13,269.3195128,7.41,318,"20°1'3.54""",77.28102778,10.74397222,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28102777777778 10.743972222222222, 77.2785 10.743666666666666)"
T.NO-14,2W,SD,T,29,13-14,280.4514218,2.13,320,"45°6'34.50""",77.2785,10.74366667,GOOD,GOOD,NO,,TAAR ROAD (SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2785 10.743666666666666, 77.27786111111111 10.744138888888887)"
T.NO-15,,SD,T,28,14-15,87.00574694,3.04,319,"36°11'11.89""",77.27786111,10.74413889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27786111111111 10.744138888888887, 77.27716666666666 10.746555555555554)"
T.NO-16,,SC,T,26,15-16,278.1600259,2.32,316,"17°41'20.22""",77.27716667,10.74655556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27716666666666 10.746555555555554, 77.27722222222222 10.748416666666666)"
T.NO-17,,SD,T,28,16-17,204.0612653,2.46,316,"54°48'34.52""",77.27722222,10.74841667,GOOD,GOOD,NO,22KV,TAAR ROAD (SH),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27722222222222 10.748416666666666, 77.27572222222223 10.749527777777777)"
T.NO-18,,SC,T,32,17-18,208.0024038,2.41,310,"15°36'52.96""",77.27572222,10.74952778,GOOD,GOOD,NO,22KV,TAAR ROAD (SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27572222222223 10.749527777777777, 77.27405555555555 10.751694444444444)"
T.NO-19,,SC,T,32,18-19,298.6385775,2.51,310,"26°40'25.73""",77.27405556,10.75169444,GOOD,GOOD,NO,"2nos LT, 2nos 22KV, 400KV DC LINE IS CROSSING ABOVE OUR LINE",RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27405555555555 10.751694444444444, 77.27180555555556 10.752777777777778)"
T.NO-20,,SA,S, ,19-20,273.7389267,5.66,313,,77.27180556,10.75277778,GOOD,GOOD,NO,"33KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27180555555556 10.752777777777778, 77.26955555555556 10.753861111111112)"
T.NO-21,,SD,T,28,20-21,275.5068057,5.12,313,"32°18'31.85""",77.26955556,10.75386111,GOOD,GOOD,NO,230KV DC (SINGLE FEEDER ) LINE IS CROSSING ABOVE OUR LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26955555555556 10.753861111111112, 77.26805555555555 10.756277777777777)"
T.NO-22,,SB,T,24,21-22,314.3962468,5.97,315,"6°35'50.20""",77.26805556,10.75627778,GOOD,GOOD,NO,"LT. 22KV, 33KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26805555555555 10.756277777777777, 77.26691666666666 10.758722222222222)"
T.NO-23,,SA,S,26,22-23,297.4726878,5.88,312,,77.26691667,10.75872222,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26691666666666 10.758722222222222, 77.26569444444445 10.76125)"
T.NO-24,,SA,S,26,23-24,308.1768973,5.1,315,,77.26569444,10.76125,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26569444444445 10.76125, 77.26458333333333 10.763666666666667)"
T.NO-25,,SA,S,26,24-25,295.2371928,4.34,318,,77.26458333,10.76366667,GOOD,GOOD,NO,22KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26458333333333 10.763666666666667, 77.26352777777778 10.765916666666667)"
T.NO-26,2W,SB,T,24,25-26,273.7882393,3.96,326,"5°0'10.20""",77.26352778,10.76591667,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26352777777778 10.765916666666667, 77.26261111111111 10.768472222222224)"
T.NO-27,,SA,S,26,26-27,300.2215848,4.78,331,,77.26261111,10.76847222,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26261111111111 10.768472222222224, 77.26169444444444 10.771027777777778)"
T.NO-28,,SA,S,26,27-28,300.2215848,3.16,332,,77.26169444,10.77102778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26169444444444 10.771027777777778, 77.26063888888889 10.773861111111112)"
T.NO-29,,SB,T,24,28-29,332.6334319,3.62,338,"6°23'48.30""",77.26063889,10.77386111,GOOD,GOOD,NO,"LT, 22KV","MUD ROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26063888888889 10.773861111111112, 77.25975 10.775555555555556)"
T.NO-30,,SA,S,26,29-30,210.2022835,4.28,337,,77.25975,10.77555556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25975 10.775555555555556, 77.25872222222222 10.77838888888889)"
T.NO-31,,SB,T,24,30-31,334.7416915,4.71,335,"5°31'55.26""",77.25872222,10.77838889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25872222222222 10.77838888888889, 77.25833333333334 10.779944444444446)"
T.NO-32,,SC,T,26,31-32,176.8219443,6.13,342,"17°37'41.23""",77.25833333,10.77994444,GOOD,GOOD,NO,"22KV, 33KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25833333333334 10.779944444444446, 77.25847222222222 10.782277777777779)"
T.NO-33,,SA,S,26,32-33,258.3273118,6.86,340,,77.25847222,10.78227778,GOOD,GOOD,NO,,NALA,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25847222222222 10.782277777777779, 77.25855555555556 10.784777777777778)"
T.NO-34,,SA,S,26,33-34,279.0877998,8.54,338,,77.25855556,10.78477778,GOOD,GOOD,NO,"33KV, LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25855555555556 10.784777777777778, 77.25866666666667 10.786722222222222)"
T.NO-35,,SA,S,26,34-35,215.2812114,7.82,338,,77.25866667,10.78672222,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25866666666667 10.786722222222222, 77.25883333333333 10.789361111111111)"
T.NO-36,,SA,S,26,35-36,291.4961406,6.59,331,,77.25883333,10.78936111,GOOD,GOOD,NO,"LT, 33KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25883333333333 10.789361111111111, 77.25908333333334 10.7915)"
T.NO-37 LILO-1 TO 110KV SALAIPUDUR,3W,DD,T,34,36-37LILO-1,239.5266165,2.95,329,"33°2'14.36""",77.25908333,10.7915,GOOD,GOOD,NO,,MUD ROAD,PLAIN,"NEED 3WAY JUCNTION BOX, 2EARTH WIRE 1E/W CONTINUE TO OUR T.NO- 38, ANOTHER E/W CONNECT TO 110KV SALAIPUDUR T.NO-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25908333333334 10.7915, 77.25897222222223 10.791777777777778)"
T.NO-38,,SC,T,26,37LILO-1 - 38,33.54101966,2.65,361,"17°17'32.82""",77.25897222,10.79177778,GOOD,GOOD,NO,"33KV, LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25897222222223 10.791777777777778, 77.25861111111111 10.794)"
T.NO-39,,SB,T,24,38-39,248.2438317,1.32,332,"11°4'39.62""",77.25861111,10.794,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25861111111111 10.794, 77.25769444444444 10.7965)"
T.NO-40,,SB,T,24,39-40,293.3070064,1.96,331,"1°44'31.77""",77.25769444,10.7965,GOOD,GOOD,NO,LT,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25769444444444 10.7965, 77.25672222222222 10.798944444444444)"
T.NO-41,,SB,T,24,40-41,292.4739305,2.15,330,"6°26'2.72""",77.25672222,10.79894444,GOOD,GOOD,NO,"LT, 22KV, 33KV, 400KV DC LINE IS CROSSING ABOVE OUR LINE",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25672222222222 10.798944444444444, 77.25605555555556 10.801333333333334)"
T.NO-42,,SB,T,24,41-42,274.1751265,1.65,334,"1°19'16.92""",77.25605556,10.80133333,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25605555555556 10.801333333333334, 77.25533333333334 10.803722222222223)"
T.NO-43,,SA,S,26,42-43,273.9415996,2.37,332,,77.25533333,10.80372222,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25533333333334 10.803722222222223, 77.25461111111112 10.806027777777778)"
T.NO-44,,SA,S,26,43-44,267.8600381,2.66,333,,77.25461111,10.80602778,GOOD,GOOD,NO,,,PLAIN,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25461111111112 10.806027777777778, 77.25413888888889 10.807777777777778)"
T.NO-45 LILO -1 TO 110KV MALAYADIPALAYAM,2W,DD,T,34,44-45 LILO-1,199.8824655,3.28,333,"71°23'57.89""",77.25413889,10.80777778,GOOD,GOOD,NO,,MUD ROAD,WATER LOGGED,"NEED 3WAY JUCNTION BOX, 2EARTH WIRE 1E/W CONTINUE TO OUR T.NO- 2, ANOTHER E/W CONNECT TO 110KV KETHANUR T.NO-46, INSIDE RIVER AT PRESENT NO WATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25413888888889 10.807777777777778, 77.25294444444444 10.807861111111112)"
T.NO-2,,DA,S,26,45LILO-1 - 2,130.2459212,2.92,336,,77.25294444,10.80786111,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25294444444444 10.807861111111112, 77.25180555555555 10.807972222222222)"
T.NO-3,,DB,T,24,2--3,126.5701387,2.36,336,"13°26'23.68""",77.25180556,10.80797222,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25180555555555 10.807972222222222, 77.24969444444444 10.808694444444445)"
T.NO-4,,DD,T,31,03-Apr,244.1352084,2.1,336,"38°32'58.24""",77.24969444,10.80869444,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24969444444444 10.808694444444445, 77.24755555555555 10.807944444444445)"
T.NO-5,,DC,T,29,04-May,249.5616156,1.98,337,"21°21'14.23""",77.24755556,10.80794444,GOOD,GOOD,NO,33KV,MUD ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24755555555555 10.807944444444445, 77.24536111111111 10.80802777777778)"
T.NO-6,,DC,T,26,05-Jun,238.1029189,2.44,335,"22°52'7.46""",77.24536111,10.80802778,GOOD,GOOD,NO,"2nos 33KV, 22KV",MUD ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24536111111111 10.80802777777778, 77.24358333333333 10.808861111111112)"
T.NO-7,,DB,T,27,06-Jul,216.5848563,2.9,336,"14°11'43.02""",77.24358333,10.80886111,GOOD,GOOD,NO,,MUD ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24358333333333 10.808861111111112, 77.24213888888889 10.81)"
T.NO-8,,DB,T,27,07-Aug,201.3082214,1.29,339,"13°42'46.93""",77.24213889,10.81,GOOD,GOOD,NO,33KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24213888888889 10.81, 77.2406388888889 10.810722222222223)"
T.NO-9,,DB,T,27,08-Sep,184.3176606,1.76,340,"7°44'35.60""",77.24063889,10.81072222,GOOD,GOOD,NO,LT,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2406388888889 10.810722222222223, 77.23869444444445 10.811333333333334)"
T.NO-10,,DB,T,27,09-Oct,222.0360331,1.99,338,"3°15'48.94""",77.23869444,10.81133333,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23869444444445 10.811333333333334, 77.23680555555556 10.812055555555556)"
T.NO-11,,DB,T,27,10-Nov,222,2.63,340,"48°10'14.84""",77.23680556,10.81205556,GOOD,GOOD,NO,LT,TAAR ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23680555555556 10.812055555555556, 77.23594444444444 10.814277777777779)"
T.NO-12,,DD,T,28,11-Dec,261.8415551,3.16,342,"33°16'52.05""",77.23594444,10.81427778,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23594444444444 10.814277777777779, 77.23433333333334 10.815416666666668)"
T.NO-13,,DB,T,27,Dec-13,217.2671167,3.8,342,"3°57'45.83""",77.23433333,10.81541667,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23433333333334 10.815416666666668, 77.23291666666667 10.816583333333334)"
T.NO-14,,DB,T,27,13-14,203.1994094,1.59,344,"10°11'45.76""",77.23291667,10.81658333,GOOD,GOOD,NO,LT,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23291666666667 10.816583333333334, 77.23166666666667 10.818055555555555)"
T.NO-15,,DD,T,31,14-15,211.4000946,2.31,345,"33°19'8.88""",77.23166667,10.81805556,GOOD,GOOD,NO,33KV,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23166666666667 10.818055555555555, 77.23136111111111 10.820666666666666)"
T.NO-16,,DC,T,26,15-16,292.22594,2.43,348,"26°10'11.53""",77.23136111,10.82066667,GOOD,GOOD,NO,LT,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23136111111111 10.820666666666666, 77.23219444444445 10.823027777777778)"
T.NO-17,,DD,T,31,16-17,275.1363298,2.48,343,"66°38'17.87""",77.23219444,10.82302778,GOOD,GOOD,NO,33KV,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23219444444445 10.823027777777778, 77.2305 10.824583333333333)"
T.NO-18,,DC,T,26,17-18,254.8097329,2.79,343,"20°41'21.59""",77.2305,10.82458333,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2305 10.824583333333333, 77.22794444444445 10.825611111111112)"
T.NO-19,2W,DB,T,30,18-19,299.3409427,1.69,346,"11°27'57.04""",77.22794444,10.82561111,GOOD,GOOD,NO,"LT, 2nos 22KV, 33KV",TAAR ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22794444444445 10.825611111111112, 77.22611111111111 10.826833333333333)"
T.NO-20,,DD,T,31,19-20,242.6891015,2.16,348,"73°43'51.62""",77.22611111,10.82683333,GOOD,GOOD,NO,"3nos 33KV, 2nos LT",,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22611111111111 10.826833333333333, 77.22686111111112 10.829166666666666)"
T.NO-21,,DD,T,34,20-21,270.7803538,1.34,350,"98°53'22.25""",77.22686111,10.82916667,GOOD,GOOD,NO,"33KV, 11KV",NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22686111111112 10.829166666666666, 77.22427777777779 10.829527777777777)"
T.NO-22,,DD,T,31,21-22,284.8227519,2.19,347,"74°27'7.06""",77.22427778,10.82952778,GOOD,GOOD,NO,"LT, 2nos 22KV",,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22427777777779 10.829527777777777, 77.22394444444444 10.832083333333333)"
T.NO-23,,DC,T,32,22-23,284.4169475,2.47,345,"29°45'36.00""",77.22394444,10.83208333,GOOD,GOOD,NO,"LT, 22KV",TAAR ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22394444444444 10.832083333333333, 77.22275 10.833694444444445)"
T.NO-24,,DA,S,32,23-24,219.8044586,2.31,349,,77.22275,10.83369444,GOOD,GOOD,NO,22KV,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22275 10.833694444444445, 77.22147222222222 10.835277777777778)"
T.NO-25,,DC,T,26,24-25,226.296266,1.82,356,"22°9'5.92""",77.22147222,10.83527778,GOOD,GOOD,NO,,MUD ROAD,WATER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22147222222222 10.835277777777778, 77.22080555555556 10.837611111111112)"
T.NO-26,,DD,T,34,25-26,265.8006772,1.47,354,"61°34'17.15""",77.22080556,10.83761111,GOOD,GOOD,NO,11KV,TAAR ROAD,WATER LOGGED,"BUSHES, INSIDE RIVER AT PRESENT NO WATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22080555555556 10.837611111111112, 77.22225 10.839)"
T.NO-27,,DD,T,34,26-27,222.7397585,0.83,358,"38°36'52.78""",77.22225,10.839,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22225 10.839, 77.22294444444445 10.839083333333335)"
T.NO-28,,DB,T,27,27-28,74.43117626,0.96,358,"0°00'0.00""",77.22294444,10.83908333,GOOD,GOOD,YES,"11KV, LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22294444444445 10.839083333333335, 77.22311111111111 10.839083333333335)"
GANTRY 110KV MALAYADIPALAYAM,2W,GANTRY,GANTRY,20,28-GANTRY,18.11077028,,364,,77.22311111,10.83908333,GOOD,MISSING,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
