S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 17,,T,DD,28,16-17,247.2124592,4.75,444,"69°33'14""",76.83161111,10.97575,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8316111111111 10.97575, 76.8295 10.97625)"
19,T.NO 18,,S,DA,26,17-18,236.2541005,3.75,447,,76.8295,10.97625,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8295 10.97625, 76.8266111111111 10.976888888888888)"
20,T.NO 19,,T,DD,28,18-19,322.684056,3.75,448,"66°31'35""",76.82661111,10.97688889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8266111111111 10.976888888888888, 76.82613888888889 10.9795)"
21,T.NO 20,,T,DB,24,19-20,292.0359567,3.76,449,"9°1'45""",76.82613889,10.9795,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82613888888889 10.9795, 76.82538888888888 10.981583333333333)"
22,T.NO 21,,T,DD,28,20-21,246.4000812,2.75,449,"35°38'13""",76.82538889,10.98158333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82538888888888 10.981583333333333, 76.82383333333333 10.982694444444444)"
23,T.NO 22,,T,DB,24,21-22,209.153054,2.65,454,"11°9'9""",76.82383333,10.98269444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82383333333333 10.982694444444444, 76.82197222222221 10.984583333333333)"
24,T.NO 23,,T,DB,24,22-23,292.7729496,5.62,455,"12°26'35""",76.82197222,10.98458333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82197222222221 10.984583333333333, 76.8206111111111 10.986777777777776)"
25,T.NO 24,,T,DD,28,23-24,283.3407842,2.55,455,"59°6'25""",76.82061111,10.98677778,GOOD,GOOD,"2nos HT,2nos LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8206111111111 10.986777777777776, 76.81852777777777 10.986777777777776)"
26,T.NO 25,,S,DA,26,24-25,228,7.35,460,,76.81852778,10.98677778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81852777777777 10.986777777777776, 76.81622222222222 10.986749999999999)"
27,T.NO 26,,T,DD,28,25-26,253.0968194,3.66,461,"55°7'13""",76.81622222,10.98675,GOOD,GOOD,5nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81622222222222 10.986749999999999, 76.81438888888889 10.984083333333333)"
28,T.NO 27,,T,DB,24,26-27,357.233817,4.37,457,"6°41'43""",76.81438889,10.98408333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81438888888889 10.984083333333333, 76.81277777777777 10.98225)"
29,T.NO 28,,T,DC,26,27-28,266.608327,4.95,451,"24°12'55""",76.81277778,10.98225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81277777777777 10.98225, 76.81227777777778 10.980611111111111)"
30,T.NO 29,,T,DC,26,28-29,189.8420396,5.96,450,"28°49'25""",76.81227778,10.98061111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81227777777778 10.980611111111111, 76.81283333333333 10.978)"
31,T.NO 30,,T,DD,28,29-30,295.7870856,6.99,447,"104°16'21""",76.81283333,10.978,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81283333333333 10.978, 76.81202777777777 10.978027777777777)"
32,T.NO 31,,T,DD,28,30-31,87.05170877,7.45,450,"95°9'17""",76.81202778,10.97802778,GOOD,GOOD,"2nos HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81202777777777 10.978027777777777, 76.81205555555556 10.977694444444445)"
33,GANTRY 110KV DEVARAYAPURAM SS,2W,GANTRY,GANTRY,,31-GANTRY,36.05551275,,451,,76.81205556,10.97769444,GOOD,GOOD,,,,DEVARAYAPURAM 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
