S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (mtrs),Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,T.NO-190,,S,DA,26,191-190,280.032141,9.1,258,,11.5922,78.1163,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1163 11.5922, 78.1147 11.5901)"
25,T.NO-189,,S,DA,26,190-189,288.9221348,5.5,257,,11.5901,78.1147,RUSTED,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1147 11.5901, 78.1132 11.5883)"
26,T.NO-188,,S,DA,28,189-188,261.7479704,4.5,264,,11.5883,78.1132,RUSTED,GOOD,"400KV-1 XING ABOVE,LT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1132 11.5883, 78.1114 11.5861)"
27,T.NO-187,,S,DA,26,188-187,309.3816413,4.2,264,,11.5861,78.1114,RUSTED,GOOD,LT-2,"MUD-1,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1114 11.5861, 78.11 11.5843)"
28,T.NO-186 LILO,2W,T,DD,28,187-186,255.3448648,4.9,264,"5°18'10"" ",11.5843,78.11,RUSTED,GOOD,,,PLAIN,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11 11.5843, 78.108 11.5819)"
29,T.NO-185,,S,DA,26,186-185,340.966274,6.5,269,,11.5819,78.108,RUSTED,GOOD,LT-1,MUD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.108 11.5819, 78.106 11.5795)"
30,T.NO-184,,S,DA,26,185-184,343.918595,7.8,264,,11.5795,78.106,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.106 11.5795, 78.1047 11.5778)"
31,T.NO-183,,S,DA,26,184-183,237.0759372,7.2,261,,11.5778,78.1047,RUSTED,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1047 11.5778, 78.1027 11.5753)"
32,T.NO-182,,S,DA,26,183-182,346.8746171,6.12,249,,11.5753,78.1027,RUSTED,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1027 11.5753, 78.1004 11.5723)"
33,T.NO-181,,S,DA,26,182-181,418.8615523,,244,,11.5723,78.1004,RUSTED,GOOD,,MUD-1,ROCKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1004 11.5723, 78.0984 11.5698)"
34,T.NO-180,,S,DA,26,181-180,349.4252424,8.1,242,,11.5698,78.0984,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0984 11.5698, 78.0966 11.5676)"
35,T.NO-179,2W,T,DD,28,180-179,319.2256255,4.5,241,"26°58'23"" ",11.5676,78.0966,RUSTED,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0966 11.5676, 78.0942 11.5665)"
36,T.NO-178,,S,DA,26,179-178,290.0844705,6.2,242,,11.5665,78.0942,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0942 11.5665, 78.092 11.5655)"
37,T.NO-177,,S,DA,26,178-177,264.0075756,11.5,240,,11.5655,78.092,RUSTED,GOOD,"LT-1,11KV-1","TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.092 11.5655, 78.0895 11.5644)"
38,T.NO-176,,S,DA,26,177-176,302.5392537,10.2,237,,11.5644,78.0895,RUSTED,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0895 11.5644, 78.0876 11.5635)"
39,T.NO-175,,S,DA,28,176-175,229.9934782,9.8,237,,11.5635,78.0876,RUSTED,GOOD,"400KV-1 XING ABOVE,",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0876 11.5635, 78.0849 11.5623)"
40,T.NO-174,,S,DA,26,175-174,316.7112249,9.1,240,,11.5623,78.0849,RUSTED,GOOD,,RIVER-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0849 11.5623, 78.0824 11.5612)"
41,T.NO-173,,S,DA,26,174-173,300.9584689,7.85,243,,11.5612,78.0824,RUSTED,GOOD,,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0824 11.5612, 78.0804 11.5604)"
42,T.NO-172,,S,DA,26,173-172,231.0086578,6.5,245,,11.5604,78.0804,RUSTED,GOOD,LT-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0804 11.5604, 78.0787 11.5596)"
43,T.NO-171,2W,S,DA,26,172-171,208.4826132,8.2,246,,11.5596,78.0787,RUSTED,GOOD,"LT-1,11KV-1",MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0787 11.5596, 78.0769 11.5588)"
44,T.NO-170,,S,DA,26,171-170,213.241647,6.7,241,,11.5588,78.0769,RUSTED,GOOD,LT-1,"MUD-1,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0769 11.5588, 78.0742 11.5576)"
45,T.NO-169,,S,DA,26,170-169,329.0744597,5.9,241,,11.5576,78.0742,RUSTED,GOOD,"LT-1,11KV-1","MUD-1,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0742 11.5576, 78.0718 11.5565)"
46,T.NO-168,,S,DA,26,169-168,288.4805019,8.2,245,,11.5565,78.0718,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0718 11.5565, 78.069 11.5553)"
47,T.NO-167,,S,DA,26,168-167,330.5041603,6.8,249,,11.5553,78.069,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.069 11.5553, 78.0663 11.5541)"
48,T.NO-166,,S,DA,26,167-166,323.5135237,7.3,247,,11.5541,78.0663,RUSTED,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0663 11.5541, 78.0641 11.5531)"
49,T.NO-165,,S,DA,26,166-165,266.8520189,8.2,243,,11.5531,78.0641,RUSTED,GOOD,"110KV-1 XING ABOVE,LT-2",MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0641 11.5531, 78.0614 11.552)"
50,T.NO-164,,S,DA,26,165-164,312.6419678,9.7,241,,11.552,78.0614,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0614 11.552, 78.0585 11.5507)"
51,T.NO-163,,S,DA,26,164-163,348.6731994,6.8,239,,11.5507,78.0585,RUSTED,GOOD,,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0585 11.5507, 78.0563 11.5497)"
52,T.NO-162,,S,DA,26,163-162,269.180237,8.4,237,,11.5497,78.0563,RUSTED,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0563 11.5497, 78.0544 11.5488)"
53,T.NO-163/1 LILO,2W,T,DD,30,162-163/1 LILO,232.594067,2.9,240,"2°44'13"" ",11.5488,78.0544,GOOD,GOOD,"LT-1,11KV-1","MUD-1,NALA-1,TAR-3",PLAIN,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0544 11.5488, 78.0509 11.5473)"
54,T.NO-160,,S,DA,26,163/1 LILO -160,414.1545605,4.5,244,,11.5473,78.0509,RUSTED,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0509 11.5473, 78.0485 11.5462)"
55,T.NO-159,,S,DA,26,160-159,286.5309756,5.7,246,,11.5462,78.0485,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0485 11.5462, 78.0462 11.5452)"
56,T.NO-158,,S,DA,26,159-158,278.2391058,5.9,254,,11.5452,78.0462,RUSTED,GOOD,LT-2,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0462 11.5452, 78.0434 11.544)"
57,T.NO-157,,S,DA,26,158-157,328.2712293,6.3,254,,11.544,78.0434,RUSTED,GOOD,"LT-1,11KV-1,230KV-1 XING ABOVE",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0434 11.544, 78.0416 11.5431)"
58,T.NO-156,,S,DA,26,157-156,224.2899909,6.8,247,,11.5431,78.0416,RUSTED,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0416 11.5431, 78.0388 11.5419)"
59,T.NO-155,,S,DA,26,156-155,331.4211822,5.2,244,,11.5419,78.0388,RUSTED,GOOD,"LT-1,11KV-1",TAR-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0388 11.5419, 78.036 11.5407)"
60,T.NO-154,2W,T,DD,28,155-154,338.0088756,4.8,244,"7°56'0"" ",11.5407,78.036,RUSTED,GOOD,"LT-1,11KV-1","MUD-1,TAR-1",PLAIN,JOINT BOX AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.036 11.5407, 78.0336 11.5392)"
61,T.NO-153,,S,DA,26,154-153,301.3585904,7.8,239,,11.5392,78.0336,RUSTED,GOOD,LT-1,"MUD-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0336 11.5392, 78.0313 11.5377)"
62,T.NO-152,,S,DA,26,153-152,306.3396807,8.5,239,,11.5377,78.0313,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0313 11.5377, 78.0288 11.5361)"
63,T.NO-151,,S,DA,26,152-151,325.9601203,7.5,238,,11.5361,78.0288,RUSTED,GOOD,LT-2,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0288 11.5361, 78.0265 11.5347)"
64,T.NO-150,,S,DA,26,151-150,292.7746574,7.45,235,,11.5347,78.0265,RUSTED,GOOD,LT-2,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0265 11.5347, 78.024 11.5331)"
65,T.NO-149,,S,DA,26,150-149,319.9077992,8.5,236,,11.5331,78.024,RUSTED,GOOD,LT-2,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.024 11.5331, 78.0216 11.5316)"
66,T.NO-148,,S,DA,26,149-148,315.2459357,9.8,234,,11.5316,78.0216,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0216 11.5316, 78.0194 11.5302)"
67,T.NO-147,,S,DA,26,148-147,291.6058984,9.1,233,,11.5302,78.0194,RUSTED,GOOD,"LT-2,11KV-1",TAR-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0194 11.5302, 78.0167 11.5285)"
68,T.NO-146,,S,DA,26,147-146,350.1214075,7.95,236,,11.5285,78.0167,RUSTED,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0167 11.5285, 78.0146 11.5272)"
69,T.NO-145,,S,DA,26,146-145,267.4415824,6.5,232,,11.5272,78.0146,RUSTED,GOOD,"LT-1,11KV-1",MUD-2,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0146 11.5272, 78.0121 11.5256)"
70,T.NO-144,2W,S,DA,26,145-144,323.5119781,6.8,235,,11.5256,78.0121,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0121 11.5256, 78.0097 11.5241)"
71,T.NO-143,,S,DA,26,144-143,312.6995363,7.5,230,,11.5241,78.0097,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0097 11.5241, 78.0074 11.5226)"
72,T.NO-142,,S,DA,26,143-142,294.6794869,6.4,228,,11.5226,78.0074,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0074 11.5226, 78.0046 11.5209)"
73,T.NO-141,,S,DA,26,142-141,359.6623416,5.3,231,,11.5209,78.0046,RUSTED,GOOD,,"MUD-1,POND-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0046 11.5209, 78.0022 11.5193)"
74,T.NO-140,,S,DA,26,141-140,320.6696119,5.8,232,,11.5193,78.0022,RUSTED,GOOD,LT-1,TAR-2,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0022 11.5193, 77.9998 11.5178)"
75,T.NO-139,,S,DA,26,140-139,304,6.9,232,,11.5178,77.9998,RUSTED,GOOD,LT-1,"TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9998 11.5178, 77.9975 11.5163)"
76,T.NO-138,,S,DA,26,139-138,304.253184,5.9,233,,11.5163,77.9975,RUSTED,GOOD,LT-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9975 11.5163, 77.9958 11.5153)"
77,T.NO-137,,S,DA,26,138-137,213.8457388,5.6,233,,11.5153,77.9958,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9958 11.5153, 77.9942 11.5143)"
78,T.NO-136,,S,DA,26,137-136,205.2510658,6.8,233,,11.5143,77.9942,RUSTED,GOOD,LT-2,"TAR-1,MUD-1",PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9942 11.5143, 77.9924 11.5131)"
79,T.NO-135,,S,DA,26,136-135,242.6891015,6.2,234,,11.5131,77.9924,RUSTED,GOOD,,"TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9924 11.5131, 77.9902 11.5117)"
80,T.NO-134,2W,T,DD,28,135-134,284.5698508,8.2,234,"8°27'31""",11.5117,77.9902,RUSTED,GOOD,,,CULTIVATION,JOINT BOX AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9902 11.5117, 77.9887 11.5105)"
81,T.NO-133,,S,DA,26,134-133,208.9425758,7.2,236,,11.5105,77.9887,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9887 11.5105, 77.9866 11.5086)"
82,T.NO-132,,S,DA,26,133-132,315.0825289,7.9,239,,11.5086,77.9866,RUSTED,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9866 11.5086, 77.9844 11.5067)"
83,T.NO-131,,S,DA,26,132-131,322.076078,8.2,245,,11.5067,77.9844,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9844 11.5067, 77.9821 11.5047)"
84,T.NO-130,,S,DA,26,131-130,329.9484808,9.7,249,,11.5047,77.9821,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9821 11.5047, 77.98 11.5029)"
85,T.NO-129,,S,DA,26,130-129,304.6112276,9.1,248,,11.5029,77.98,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98 11.5029, 77.9779 11.501)"
86,T.NO-128,,S,DA,28,129-128,306.5371103,8.9,249,,11.501,77.9779,RUSTED,GOOD,765KV-1 XING ABOVE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9779 11.501, 77.976 11.4994)"
87,T.NO-127,,S,DA,26,128-127,281.8581203,8.6,253,,11.4994,77.976,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.976 11.4994, 77.9733 11.497)"
88,T.NO-126,,S,DA,26,127-126,397.7562067,5.8,254,,11.497,77.9733,RUSTED,GOOD,,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9733 11.497, 77.9713 11.4953)"
89,T.NO-125,,S,DA,26,126-125,279.7016267,7.5,253,,11.4953,77.9713,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9713 11.4953, 77.9691 11.4934)"
90,T.NO-124,2W,T,DD,28,125-124,319.3195891,6.8,257,"4°20'54""",11.4934,77.9691,RUSTED,GOOD,"LT-1,11KV-1","TAR-1,MUD-2",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9691 11.4934, 77.9672 11.4914)"
91,T.NO-123 A,,T,DD,28,124-123A,311.9310821,4.8,259,"19°37'4""",11.4914,77.9672,RUSTED,GOOD,LT-1,"MUD-1,ELECTRIC RW-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9672 11.4914, 77.9663 11.491)"
92,T.NO-123,,T,DD,28,123A-123,104.2017274,5.7,266,"14°57'44""",11.491,77.9663,RUSTED,GOOD,LT-2,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9663 11.491, 77.9647 11.4895)"
93,T.NO-122,,S,DA,26,123-122,238.673417,6.3,274,,11.4895,77.9647,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9647 11.4895, 77.9626 11.4878)"
94,T.NO-121,,S,DA,26,122-121,291.7430376,6.9,276,,11.4878,77.9626,RUSTED,GOOD,,MUD-2,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9626 11.4878, 77.9605 11.4859)"
95,T.NO-120,,S,DA,26,121-120,319.9906249,8.6,288,,11.4859,77.9605,RUSTED,GOOD,LT-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9605 11.4859, 77.9582 11.4839)"
96,T.NO-119,,S,DA,26,120-119,326.3816784,8.1,286,,11.4839,77.9582,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9582 11.4839, 77.9558 11.4817)"
