Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-10,,DA,S,29,11-Oct,338.3962175,6.32,276,,77.21078757,11.43431111,GOOD,GOOD,NO,"3nos LT,11KV","MUDROAD,TAAR ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21078757 11.43431111, 77.21232627 11.43662212)"
T.NO-9,,DC,T,29,10-Sep,305.9493422,5.98,274,"27°47'52.94""",77.21232627,11.43662212,GOOD,GOOD,NO,,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21232627 11.43662212, 77.21256515 11.43906948)"
T.NO-8,,DA,S,29,09-Aug,272.060655,15.29,279,,77.21256515,11.43906948,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21256515 11.43906948, 77.21275279 11.4419962)"
T.NO-7,,DA,S,29,08-Jul,324.4996148,7.16,271,,77.21275279,11.4419962,GOOD,GOOD,NO,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21275279 11.4419962, 77.21298597 11.44488644)"
T.NO-6,,DA,S,29,07-Jun,320.8254977,6.85,269,,77.21298597,11.44488644,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21298597 11.44488644, 77.21325552 11.44774024)"
T.NO-5,,DB,T,30,06-May,317.1513834,2.84,264,"8°58'27.38""",77.21325552,11.44774024,GOOD,GOOD,NO,2nos LT,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21325552 11.44774024, 77.21378449 11.44978774)"
T.NO-4,,DA,S,32,05-Apr,233.8054747,3.04,262,,77.21378449,11.44978774,GOOD,GOOD,NO,"33KV,11KV",RIVER,,AT PRESENT WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21378449 11.44978774, 77.21442855 11.45249411)"
T.NO-3,,DA,S,29,04-Mar,307.6101429,4.58,261,,77.21442855,11.45249411,GOOD,GOOD,NO,2nos 11KV,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21442855 11.45249411, 77.21504268 11.45488438)"
T.NO-2,,DB,T,24,3--2,272.855273,3.71,257,"2°40'59.76""",77.21504268,11.45488438,GOOD,GOOD,NO,2nos LT,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21504268 11.45488438, 77.21572884 11.45711144)"
T.NO-1,3W,DB,T,30,2--1,257.5616431,2.19,261,"3°54'41.66""",77.21572884,11.45711144,GOOD,GOOD,YES,3nos 11KV,,,NEED 3 WAY JUNCTION BOX TO 110KV SENBAGAMPUTHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21572884 11.45711144, 77.2158504 11.45742683)"
GANTRY 110KV SENBAGAPUTHUR,2W,GANTRY,GANTRY,20,1-GANTRY,37.33630941,,258,,77.2158504,11.45742683,GOOD,MISSING,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
