Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span length             (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken ,etc)","Condition of Earthwire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NBKB-38,D,T,26,39-38,276,274.11363135071514,0.13,199,"16⁰16'00""  RT",11.24994,77.91966,GOOD,GOOD,,"TAR ROAD CROSSING-1, SAND ROAD CROSSING",SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91966 11.24994, 77.91737 11.24963)"
NBKB-37,A,S,26,38-37,253,252.61197286536867,0.1,200,,11.24963,77.91737,GOOD,GOOD,,,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91737 11.24963, 77.91529 11.24938)"
NBKB-36,C,T,24,37-36,232,228.9977643702244,0.24,198,"4⁰33'55""   LT",11.24938,77.91529,GOOD,GOOD,,,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91529 11.24938, 77.91325 11.24897)"
NBKB-35,A,S,26,36-35,228,227.52118833413104,2.68,193,,11.24897,77.91325,GOOD,GOOD,22KV LINE CROSSING-1,"TAR ROAD CROSSING-1, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91325 11.24897, 77.91132 11.24856)"
NBKB-34,D,T,28,35-34,219,215.75444632055186,0.22,195,"60⁰38'32""  RT",11.24856,77.91132,GOOD,GOOD,,TAR ROAD CROSSING-1,"SMALL ROCK CROSSING, SMALL FOREST AREA",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91132 11.24856, 77.90985 11.2502)"
NBKB-33,B,T,24,34-33,244,242.43603048413468,0.92,193,"2⁰39'15""   RT",11.2502,77.90985,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90985 11.2502, 77.90821 11.25221)"
NBKB-32,D,T,28,33-32,288,285.7308664505919,0.66,191,"42⁰15'8""   RT",11.25221,77.90821,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90821 11.25221, 77.90836 11.2547)"
NBKB-31,A,S,26,32-31,283,276.15580803098766,0.36,192,,11.2547,77.90836,GOOD,GOOD,LT LINE CROSSING-1,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90836 11.2547, 77.90852 11.25732)"
NBKB-30,C,T,24,31-30,295,290.5878186956355,1.07,190,"14⁰40'39""  RT",11.25732,77.90852,GOOD,GOOD,22KV LINE CROSSING-1,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90852 11.25732, 77.90918 11.25931)"
NBKB-29,A,S,26,30-29,233,231.82005078921054,0.87,192,,11.25931,77.90918,GOOD,GOOD,,"SAND ROAD CROSSING-1, REAL ESTATE PLOT AREA CROSSING",TOWER AREA ESTATE AREA PLOT,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90918 11.25931, 77.90994 11.26166)"
NBKB-28,D,T,28,29-28,273,273.1052471290626,2.37,193,"52⁰35'42""  LT",11.26166,77.90994,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90994 11.26166, 77.90852 11.26367)"
NBKB-27,A,S,26,28-27,274,271.2930103221106,1.89,193,,11.26367,77.90852,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90852 11.26367, 77.90711 11.26568)"
NBKB-26,D,T,28,27-26,276,270.66847663518257,1.08,195,"32⁰4'27""   LT",11.26568,77.90711,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90711 11.26568, 77.90482 11.26665)"
NBKB-25,A,S,26,26-25,276,272.32122149313756,0.45,190,,11.26665,77.90482,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90482 11.26665, 77.90246 11.26762)"
NBKB-24,A,S,26,25-24,280,279.36588947987264,0.32,194,"13⁰33'15""  LT",11.26762,77.90246,GOOD,GOOD,LT LINE CROSSING-3,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90246 11.26762, 77.89998 11.26801)"
NBKB-23,D,T,24,24-23,272,274.43131030655996,0.68,198,"3⁰43'25""  RT",11.26801,77.89998,GOOD,GOOD,,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89998 11.26801, 77.89788 11.26848)"
NBKB-22,A,S,26,23-22,251,235.31151115336732,0.21,195,"14⁰7'8""  LT",11.26848,77.89788,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89788 11.26848, 77.89529 11.26842)"
NBKB-21,A,S,26,22-21,286,283.1104272940243,0.78,193,,11.26842,77.89529,GOOD,GOOD,LT LINE CROSSING-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89529 11.26842, 77.89271 11.26836)"
NBKB-20,C,T,24,21-20,280,282.0173754435073,0.32,189,"10⁰50'43""  LT",11.26836,77.89271,GOOD,GOOD,"22KV LINE CROSSING-1, LT LINE CROSSING-2",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89271 11.26836, 77.89046 11.26788)"
NBKB-19,A,S,26,20-19,251,251.55382041977137,0.21,182,,11.26788,77.89046,GOOD,GOOD,LT LINE CROSSING-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89046 11.26788, 77.88783 11.26731)"
NBKB-18,A,S,26,19-18,295,294.24887538049325,0.83,182,,11.26731,77.88783,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88783 11.26731, 77.8856 11.26678)"
NBKB-17,A,S,26,18-17,254,250.65555827188192,0.14,181,,11.26678,77.8856,GOOD,GOOD,"LT LINE CROSSING-1,22KV LINE CROSSING-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8856 11.26678, 77.88323 11.26625)"
NBKB-16,D,T,26,17-16,265,265.5535743681972,0.047,179,"21⁰46'55""   LT",11.26625,77.88323,GOOD,GOOD,"LT LINE CROSSING-2, WIRE CABLE CROSSING-1","SAND ROAD CROSSING-1, TAR ROAD CROSSING-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88323 11.26625, 77.88117 11.26485)"
NBKB-15,A,S,26,16-15,276,273.31051636437223,0.45,172,,11.26485,77.88117,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88117 11.26485, 77.87895 11.26331)"
NBKB-14,C,T,24,15-14,299,296.51535719839467,0.98,177,"0⁰40'55""  RT",11.26331,77.87895,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87895 11.26331, 77.87722 11.26214)"
13(TAPPING POINT NALLU TO NBKB-III),T,T,26,14-13(TAPPING POINT),232,229.16945041961006,0.15,172,"19⁰4'27""  RT",11.26214,77.87722,GOOD,GOOD,22KV LINE CROSSING-2,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87722 11.26214, 77.87482 11.26149)"
NBKB-12,D,T,28,13-12,279,271.96368377666136,0.82,169,"31⁰43'20""  LT",11.26149,77.87482,GOOD,GOOD,22KV LINE CROSSING-1,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87482 11.26149, 77.87318 11.25975)"
NBKB-11,B,T,24,12-11,271,263.10818297270924,2.75,166,"8⁰17'47""  RT",11.25975,77.87318,GOOD,GOOD,LT LINE CROSSING-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87318 11.25975, 77.87207 11.25887)"
NBKB-10,A,S,26,11-10,158,155.5796145192407,1.54,163,,11.25887,77.87207,GOOD,GOOD,LT LINE CROSSING-1,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87207 11.25887, 77.8703 11.25747)"
NBKB-9,C,T,24,10-9,250,247.86202401917308,1.39,162,"5⁰24'15""  RT",11.25747,77.8703,GOOD,GOOD,,SAND ROAD CROSSING-1,,"AGRICULTURE LAND,SUGAR FARMING LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8703 11.25747, 77.86902 11.25664)"
NBKB-8,C,T,26,9-8,171,167.3600471664488,1.18,160,"17⁰47'39""   LT",11.25664,77.86902,GOOD,GOOD,"LT LINE CROSSING-2, 22KV LINE CROSSING-1",,,"AGRICULTURE LAND,SUGAR FARMING LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86902 11.25664, 77.86781 11.25516)"
NBKB-7,A,S,26,8-7,212,210.5474953649256,5.64,157,,11.25516,77.86781,GOOD,GOOD,LT LINE CROSSING-2,TAR ROAD CROSSING-1,,"SUGAR FARMING LAND, TOWER INSIDE SUGAR FARMING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86781 11.25516, 77.86626 11.25329)"
NBKB-6,A,S,26,7-6,271,267.48741459736624,5.19,154,,11.25329,77.86626,GOOD,GOOD,,SAND ROAD CROSSING-1,,"SUGAR FARMING LAND, TOWER INSIDE SUGAR FARMING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86626 11.25329, 77.86484 11.2515)"
NBKB-5,D,T,28,6-5,256,251.69452469399874,9.92,152,"39⁰18'49""  LT",11.2515,77.86484,GOOD,GOOD,LT LINE CROSSING-1,SAND ROAD CROSSING-1,,"AGRICULTURE LAND, TOWER INSIDE FIELD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86484 11.2515, 77.86488 11.24969)"
NBKB-4,A,S,26,5-4,202,200.42600638329912,0.24,150,,11.24969,77.86488,GOOD,GOOD,22KV LINE CROSSING-1,,PIT CROSSING,"AGRICULTURE LAND, SUGAR FARMING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86488 11.24969, 77.86497 11.2474)"
NBKB-3,D,T,28,4-3,257,253.70803888932903,2.19,149,"39⁰16'57""  LT",11.2474,77.86497,GOOD,GOOD,,SAND ROAD CROSSING-2,THRONE FOREST,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86497 11.2474, 77.8667 11.24547)"
NBKB-2,D,T,28,3-2,208,285.30059620700035,5.26,147,"32⁰38'41""   RT",11.24547,77.8667,GOOD,GOOD,,"SAND ROAD CROSSING-1, PIT CROSSING","THRONE FORSET, TOWER IN PIT WATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8667 11.24547, 77.86691 11.24414)"
NBKB III LILO POINT,T,T,26,2-LILO POINT,149,149.0173584382456,1.27,147,"27⁰39'20""   LT",11.24414,77.86691,GOOD,GOOD,,SAND ROAD CROSSING-1,THRONE FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86691 11.24414, 77.86748 11.24338)"
NBKB-III--01,D,T,28,LILO POINT-1,128,104.68718171259408,2.74,147,"97⁰45'42""   RT",11.24338,77.86748,GOOD,GOOD,22KV LINE CROSSING-3,,TOWER INSIDE THRONE FOREST WATER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86748 11.24338, 77.867 11.24312)"
NBKB-III-GANTRY,Gantry,T,20,1-GANTRY,62,59.835219145238305,,155,,11.24312,77.867,,,,"TAR ROAD CROSSING-1, FENCING CROSSING-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F7:F58),=SUM(G7:G58),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
