Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-16,,DB,T,24,15-16,237.5878785,2.1,358,"13°13'45.53""",77.30577778,10.56105556,GOOD,GOOD,NO,,LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30577777777778 10.561055555555557, 77.30475 10.559472222222222)"
T.NO-17,,DA,S,26,16-17,207.0193228,1.32,360,,77.30475,10.55947222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30475 10.559472222222222, 77.3035 10.557611111111111)"
T.NO-18,,DD,T,28,17-18,249.0642487,1.12,354,"40°26'45.78""",77.3035,10.55761111,GOOD,GOOD,NO,2nos 22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3035 10.557611111111111, 77.30380555555556 10.555055555555557)"
T.NO-19,,DA,S,26,18-19,284.1636852,2.69,353,,77.30380556,10.55505556,GOOD,GOOD,NO,2nos 22KV,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30380555555556 10.555055555555557, 77.304 10.552833333333334)"
T.NO-20,,DA,S,32,19-20,247.1679591,1.77,352,,77.304,10.55283333,GOOD,GOOD,NO,"LT, 22KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.304 10.552833333333334, 77.30416666666666 10.550333333333334)"
T.NO-21,2W,DC,T,32,20-21,278.718496,1.27,349,"19°40'59.22""",77.30416667,10.55033333,GOOD,GOOD,NO,"LT, 2nos 22KV",TAAR ROAD (SH),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30416666666666 10.550333333333334, 77.30363888888888 10.5485)"
T.NO-22,,DA,S,32,21-22,208.655218,4.12,348,,77.30363889,10.5485,GOOD,GOOD,NO,22KV,"NALA, TAAR ROAD (SH)",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30363888888888 10.5485, 77.30302777777777 10.546666666666667)"
T.NO-23,,DA,S,26,22-23,215.0581317,2.25,346,,77.30302778,10.54666667,GOOD,GOOD,NO,LT,22KV,CULTIVATION,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30302777777777 10.546666666666667, 77.30213888888889 10.543944444444444)"
T.NO-24,,DC,T,26,23-24,316.2910052,1.8,343,"16°52'47.77""",77.30213889,10.54394444,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30213888888889 10.543944444444444, 77.3021111111111 10.541416666666667)"
T.NO-25,,DA,S,26,24-25,280.0071428,2.12,333,,77.30211111,10.54141667,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3021111111111 10.541416666666667, 77.30219444444444 10.539055555555555)"
T.NO-26,,DB,T,24,25-26,260.1922366,2.37,340,"0°41'54.32""",77.30219444,10.53905556,GOOD,GOOD,NO,2nos LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30219444444444 10.539055555555555, 77.30230555555555 10.536388888888888)"
T.NO-27,,DA,S,26,26-27,296.3798239,6.18,343,,77.30230556,10.53638889,GOOD,GOOD,NO,LT,2nos CANAL,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30230555555555 10.536388888888888, 77.30241666666666 10.534083333333333)"
