S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,69,A,S,26,70-69,340.444009309817,4.57,440,,11.50437,78.34558,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34558 11.50437, 78.34817 11.50362)"
23,68,A,S,26,69-68,294.678324553472,5.28,439,,11.50362,78.34817,GOOD,GOOD,230KV LINE CROSSING(UNJANAI TO VALAYAPATTI LINE (162-163)(4M),TAR ROAD CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34817 11.50362, 78.350515 11.502919)"
24,67,C,T,24,68-67,267.497959634121,4.79,433,"12⁰27'7"" LT",11.502919,78.350515,GOOD,GOOD,"LT LINE -1,22 KV LINE -1 ",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.350515 11.502919, 78.353223 11.502713)"
25,66,C,T,24,67-66,296.502770665373,12.14,431,"11⁰16'20"" RT",11.502713,78.353223,GOOD,GOOD,LT LINE -2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.353223 11.502713, 78.35587 11.50198)"
26,65,D,T,28,66-65,300.139623469267,4.05,432,"39⁰22'2"" RT",11.50198,78.35587,GOOD,GOOD,LT LINE -1,WIRE CABLE CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35587 11.50198, 78.35694 11.50047)"
27,64,A,S,26,65-64,203.911228098395,4.92,433,,11.50047,78.35694,GOOD,GOOD,,CANAL CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35694 11.50047, 78.35777 11.49919)"
28,63,D,T,26,64-63,168.176781148567,6.75,434,"26⁰31'23"" LT",11.49919,78.35777,GOOD,GOOD,LT LINE -1,SAND ROAD CROSSING,ZIG - ZAG LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35777 11.49919, 78.35972 11.49804)"
29,62,B,T,26,63-62,248.032336741923,6.02,440,"15⁰58'26"" RT",11.49804,78.35972,GOOD,GOOD,LT LINE -2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35972 11.49804, 78.36087 11.49683)"
30,61,A,S,26,62-61,183.573009641664,4.37,445,,11.49683,78.36087,GOOD,GOOD,LT LINE -1,"SAND ROAD CROSSING,WIRE CABLE CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36087 11.49683, 78.36207 11.49559)"
31,60,C,T,24,61-60,189.736585840868,2.53,446,"3⁰44'10"" LT",11.49559,78.36207,GOOD,GOOD,"LT LINE -1,22 KV LINE -1 ",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36207 11.49559, 78.36408 11.49375)"
