Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 2,T,DB,24,60/1-2,135.9779393872403,4.75,332,"1°14'45""",77.24691666666666,11.114694444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24691666666666 11.114694444444444, 77.24888888888889 11.115305555555555)"
T.NO 3,S,DA,26,2-3,226.10838109190027,2.75,326,,77.24888888888889,11.115305555555555,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24888888888889 11.115305555555555, 77.25091666666667 11.11586111111111)"
T.NO 4,S,DA,26,3-4,228.56946427727394,6.35,325,,77.25091666666667,11.11586111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25091666666667 11.11586111111111, 77.25291666666666 11.116472222222221)"
T.NO 5,T,DB,24,4-5,228.96287908741888,3.65,325,"3°44'8""",77.25291666666666,11.116472222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25291666666666 11.116472222222221, 77.25480555555555 11.117166666666668)"
T.NO 6,S,DA,26,5-6,221.56263222845138,4.85,323,,77.25480555555555,11.117166666666668,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25480555555555 11.117166666666668, 77.25663888888889 11.117861111111111)"
T.NO 7,T,DB,24,6-7,215.24404753674375,2.75,322,"0°45'10""",77.25663888888889,11.117861111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25663888888889 11.117861111111111, 77.25880555555555 11.118611111111111)"
T.NO 8,S,DA,26,7-8,251.18120948828954,3.85,323,,77.25880555555555,11.118611111111111,GOOD,GOOD,3nos LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25880555555555 11.118611111111111, 77.26066666666667 11.119305555555556)"
T.NO 9,S,DA,26,8-9,216.53637107885595,6.55,329,,77.26066666666667,11.119305555555556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26066666666667 11.119305555555556, 77.26263888888889 11.119972222222223)"
T.NO 10,S,DA,26,9-10,228.98034850178738,7.16,334,,77.26263888888889,11.119972222222223,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26263888888889 11.119972222222223, 77.26433333333334 11.12063888888889)"
T.NO 11,S,DA,26,10-11,197.39554199626699,3.9,334,,77.26433333333334,11.12063888888889,GOOD,GOOD,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26433333333334 11.12063888888889, 77.26627777777777 11.12125)"
T.NO 12,T,DC,26,11-12,222.62524564837653,5.25,332,"20°28'35""",77.26627777777777,11.12125,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26627777777777 11.12125, 77.26797222222223 11.12125)"
T.NO 13,T,DB,24,12-13,188.0026595556563,4.35,326,"0°49'7""",77.26797222222223,11.12125,GOOD,GOOD,"5nos LT,11kv",2nos TAAR ROAD,PLAIN,PALLADAM - AVINASI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26797222222223 11.12125, 77.27030555555555 11.121166666666667)"
T.NO 14,S,DA,26,13-14,254.07085625864295,2.85,322,,77.27030555555555,11.121166666666667,GOOD,GOOD,"2nos LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27030555555555 11.121166666666667, 77.27219444444444 11.12113888888889)"
T.NO 15,T,DB,24,14-15,205.0219500443794,4.35,320,"0°3'16""",77.27219444444444,11.12113888888889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27219444444444 11.12113888888889, 77.2745 11.121083333333333)"
T.NO 16,S,DA,26,15-16,253.00790501484337,2.65,322,,77.2745,11.121083333333333,GOOD,GOOD,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2745 11.121083333333333, 77.27633333333333 11.121)"
T.NO 17,S,DA,26,16-17,200.2023975880409,3.95,326,,77.27633333333333,11.121,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27633333333333 11.121, 77.27841666666667 11.120944444444445)"
T.NO 18,T,DB,24,17-18,228.01973598791838,7.45,330,"0°23'30""",77.27841666666667,11.120944444444445,GOOD,GOOD,"2nos LT,2nos 11kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27841666666667 11.120944444444445, 77.28069444444445 11.120888888888889)"
T.NO 19,S,DA,26,18-19,248.05039810490126,3.35,331,,77.28069444444445,11.120888888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28069444444445 11.120888888888889, 77.28272222222222 11.120805555555556)"
T.NO 20,S,DA,26,19-20,222.14409737825582,2.55,317,,77.28272222222222,11.120805555555556,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28272222222222 11.120805555555556, 77.285 11.120750000000001)"
T.NO 21,S,DA,26,20-21,251.03187048659777,4.15,316,,77.285,11.120750000000001,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.285 11.120750000000001, 77.28702777777778 11.12063888888889)"
T.NO 22,S,DA,26,21-22,220.18401395196702,6.44,320,,77.28702777777778,11.12063888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28702777777778 11.12063888888889, 77.28911111111111 11.120583333333334)"
T.NO 23,T,DB,24,22-23,227.07928130941406,3.84,327,"0°26'0""",77.28911111111111,11.120583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28911111111111 11.120583333333334, 77.29080555555555 11.120583333333334)"
