S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
46,45,,Suspension,DA+0,26,48-49,221,0.9,331,,11.29196944,76.94925556,OK,OK,Three LT,Two Tar Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94925555555555 11.291969444444444, 76.94763611111111 11.289586111111111)"
47,46,,Suspension,DA+0,26,49-50,318,2.6,330,,11.28958611,76.94763611,OK,OK,"Two LT, 33kv","Mud Road, Tar Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94763611111111 11.289586111111111, 76.94633333333334 11.287777777777778)"
48,47,,Suspension,DA+0,26,50-51,248,1.25,330,,11.28777778,76.94633333,OK,OK,Two 33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94633333333334 11.287777777777778, 76.94486388888889 11.285708333333334)"
49,48,,Tension,DD+9,37,51-52,286,1.8,352," 30°30’23.57""RT",11.28570833,76.94486389,OK,OK,-,"Tar Road, Mud Roads",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94486388888889 11.285708333333334, 76.94276111111111 11.284791666666667)"
50,49,,Tension,DD+9,37,52-53,253,0.8,356, 2°5’31.59”RT,11.28479167,76.94276111,OK,OK,"Two LT, 33kv","Cement Road, SH",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94276111111111 11.284791666666667, 76.94052777777779 11.283883333333334)"
51,50,,Tension,DD+12,40,53-54,269,0.9,349, 5°31’48.46”RT,11.28388333,76.94052778,OK,OK,Two LT,Three Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94052777777779 11.283883333333334, 76.93907777777778 11.283458333333334)"
52,51,2W,Tension,DD+12,40,54-55,168,2.1,351, 0°26’0.55”LT,11.28345833,76.93907778,OK,OK,"LT, 25kv",Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93907777777778 11.283458333333334, 76.93688888888889 11.282958333333335)"
53,52,,Suspension,DA+0,26,55-56,244,4.1,343,,11.28295833,76.93688889,OK,OK,"Two LT, 33kv",Four Tar Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93688888888889 11.282958333333335, 76.93489722222223 11.282511111111113)"
54,53,,Suspension,DA+0,26,56-57,229,1.6,340,,11.28251111,76.93489722,OK,OK,LT,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93489722222223 11.282511111111113, 76.93279722222222 11.282044444444445)"
55,54,,Suspension,DA+0,26,57-58,239,4.9,332,,11.28204444,76.93279722,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93279722222222 11.282044444444445, 76.92988611111112 11.281425)"
56,55,,Suspension,DA+0,26,58-59,328,2.6,330,,11.281425,76.92988611,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92988611111112 11.281425, 76.92701111111111 11.280783333333334)"
57,56,,Suspension,DA+0,26,59-60,326,1.6,335,,11.28078333,76.92701111,OK,OK,LT,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92701111111111 11.280783333333334, 76.92465277777778 11.280291666666667)"
58,57,,Tension,DB+0,24,60-61,266,5.2,357, 10°18’34.82”LT,11.28029167,76.92465278,OK,OK,Two LT,Three Mud Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92465277777778 11.280291666666667, 76.92248611111111 11.279444444444445)"
59,58,,Suspension,DA+0,26,61-62,260,6.5,359,,11.27944444,76.92248611,OK,OK,"LT, 33kv","Mud Road, Tar Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92248611111111 11.279444444444445, 76.91991111111112 11.278422222222224)"
60,59,,Suspension,DA+0,26,62-63,305,5.8,361,,11.27842222,76.91991111,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91991111111112 11.278422222222224, 76.91741666666667 11.277452777777778)"
