S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,T.NO 21,,S,DA,26,20-21,305.7466271,4.25,454,,76.89838889,10.95336111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89838888888889 10.95336111111111, 76.89577777777778 10.953861111111111)"
25,T.NO 22,,S,DA,26,21-22,289.0882218,5.95,452,,76.89577778,10.95386111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89577777777778 10.953861111111111, 76.89272222222223 10.9545)"
26,T.NO 23,,S,DA,26,22-23,342.6149442,2.35,453,,76.89272222,10.9545,GOOD,GOOD,"HT,LT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89272222222223 10.9545, 76.88977777777778 10.955027777777778)"
27,T.NO 24,2W,T,DB,24,23-24,326.1977928,7.05,455,"12°54'20""",76.88977778,10.95502778,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88977777777778 10.955027777777778, 76.88702777777779 10.954944444444443)"
28,T.NO 25,,S,DA,26,24-25,302.2383166,1.85,455,,76.88702778,10.95494444,GOOD,GOOD,"6nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88702777777779 10.954944444444443, 76.88425000000001 10.954833333333333)"
29,T.NO 26,,S,DA,26,25-26,302.3243292,4.75,458,,76.88425,10.95483333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88425000000001 10.954833333333333, 76.88155555555555 10.954777777777776)"
30,T.NO 27,,S,DA,26,26-27,294.0833215,5.25,458,,76.88155556,10.95477778,GOOD,GOOD,"3nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88155555555555 10.954777777777776, 76.87902777777776 10.954722222222221)"
31,T.NO 28,,T,DC,26,27-28,276.1159177,3.55,457,"27°31'38""",76.87902778,10.95472222,GOOD,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87902777777776 10.954722222222221, 76.87655555555556 10.955888888888888)"
32,T.NO 29,,S,DA,26,28-29,300.1882743,1.55,456,,76.87655556,10.95588889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87655555555556 10.955888888888888, 76.87416666666665 10.957083333333333)"
33,T.NO 30,,S,DA,26,29-30,292.0359567,2.75,467,,76.87416667,10.95708333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87416666666665 10.957083333333333, 76.87163888888888 10.958277777777777)"
34,T.NO 31,,S,DA,26,30-31,305.5110473,2.35,447,,76.87163889,10.95827778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87163888888888 10.958277777777777, 76.86913888888888 10.959472222222221)"
35,T.NO 32,,S,DA,26,31-32,303.2754524,2.75,448,,76.86913889,10.95947222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86913888888888 10.959472222222221, 76.86666666666666 10.960694444444444)"
36,T.NO 33,,S,DA,26,32-33,305.0114752,1.25,448,,76.86666667,10.96069444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86666666666666 10.960694444444444, 76.86413888888889 10.961888888888888)"
37,T.NO 34,,S,DA,26,33-34,304.1792235,1.45,442,,76.86413889,10.96188889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86413888888889 10.961888888888888, 76.86155555555555 10.963111111111111)"
38,T.NO 35,,T,DB,24,34-35,313.1213822,1.15,447,"14°13'2""",76.86155556,10.96311111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86155555555555 10.963111111111111, 76.85963888888888 10.9635)"
39,T.NO 36 DEVARAYAPURAM LILO,3W,T,DD,28,35-36 LILO,214.1588196,1.85,449,"56°32'5""",76.85963889,10.9635,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,DEVARAYAPURAM LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85963888888888 10.9635, 76.85902777777777 10.965)"
40,T.NO 37,,T,DD,28,36 LILO-37,180.3136157,1.95,444,"37°44'30""",76.85902778,10.965,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85902777777777 10.965, 76.85952777777777 10.966722222222222)"
41,T.NO 38,,S,DA,26,37-38,196.2906009,2.05,442,,76.85952778,10.96672222,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85952777777777 10.966722222222222, 76.86002777777777 10.968444444444444)"
42,T.NO 39,,T,DD,28,38-39,198.2170527,1.7,443,"69°40'36""",76.86002778,10.96844444,GOOD,GOOD,"2nos LT,2nos HT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86002777777777 10.968444444444444, 76.85974999999999 10.968638888888888)"
43,GANTRY MADHAM PATTY 110KV SS,2W,GANTRY,,,39-GANTRY,35.80502758,,441,,76.85975,10.96863889,GOOD,GOOD,,,PLAIN,MADHAMPATTY 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
