S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,29,DB,24,28-29,280,306.9576675466123,1.34,738,,12.66313,77.9853,GOOD,GOOD,"400KV LINE CROSSING,110KV LINE CROSSING -4M,110KV CIRCUIT+400KV CIRCUIT DISTANCE -4M","TOWER IN HILLS,SAND ROAD CROSSING,HILLS AREA",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9853 12.66313, 77.98772 12.6624)"
31,30,DA,26,29-30,180,275.2561285405083,0.89,729,,12.6624,77.98772,GOOD,GOOD,220KV LINE CROSSING HEIGHT DISTANCE-6M,,FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98772 12.6624, 77.9893 12.66192)"
32,31 LILO POINT,DB,24,30-31 LILO,181,179.82391576379132,7.57,724,,12.66192,77.9893,GOOD,GOOD,,"CIRCUIT -1 GOING IN SHOOLAGIRI, CIRCUIT -2 GOING IN GURUBARAPALLI FROM HOSUR TO KARIMANGALAM LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9893 12.66192, 77.99017 12.66166)"
33,32,DA,26,31-32,,114.50757984020198,3.09,721,,12.66166,77.99017,GOOD,GOOD,LT-1,SAND ROAD CROSSING,FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99017 12.66166, 77.99272 12.66089)"
34,33,DB,24,32-33,,274.44912061077275,1.45,718,"14°13'51""(LT)",12.66089,77.99272,GOOD,GOOD,11KV LINE CROSSING,,FARMER LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99272 12.66089, 77.99519 12.66076)"
35,34,DA,26,33-34,,268.94591593675574,2.36,712,,12.66076,77.99519,GOOD,GOOD,LT-2,"SAND ROAD CROSSING,HILLS CROSSING,PIT CROSSING",FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99519 12.66076, 77.99744 12.66064)"
36,35,DA,26,34-35,,245.00126380686393,1.36,707,,12.66064,77.99744,GOOD,GOOD,,"MANGO FARM,CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99744 12.66064, 77.99929 12.66058)"
37,36,DB,24,35-36,,201.25912508227685,3.36,700,,12.66058,77.99929,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99929 12.66058, 77.99967 12.66058)"
38,37(DP-1),DB,24,36-37(DP-01),,41.31722707593442,2.97,700,"12°17'34""(RT)",12.66058,77.99967,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99967 12.66058, 78.00011 12.66054)"
39,38(DP-2),DB,24,37(DP-1)- 38(DP-2),,48,2.67,701,,12.66054,78.00011,GOOD,GOOD,"400KV HOSUR-SALEM LINE CROSSING, HIGH DISTANCE 7M,400KV LINE(TOWER NO 7 TO 8)","400KV HOSUR-SALEM LINE CROSSING, HIGH DISTANCE 7M,400KV LINE(TOWER NO 7 TO 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00011 12.66054, 78.00053 12.66046)"
40,39,DC,26,38-39,,46.51765675402577,1.29,701,"21°31'20""(RT)",12.66046,78.00053,GOOD,GOOD,LT LINE,TOWER INSIDE APPARTMENT AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00053 12.66046, 78.00272 12.65909)"
41,40,DA,26,39-40,,282.3342473841695,1.79,675,,12.65909,78.00272,GOOD,GOOD,"LT-2, WIRE CABLE CROSSING-2","APPARTMENT AREA, SMALL HILLS, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00272 12.65909, 78.00488 12.6577)"
42,41,DA,26,40-41,,280.7969412221144,0.46,705,,12.6577,78.00488,GOOD,GOOD,"11KV-4,LT-2",TAR ROAD CROSSING,FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00488 12.6577, 78.00698 12.65637)"
43,42,DA,26,41-42,,271.7065918814764,2.79,698,,12.65637,78.00698,GOOD,GOOD,LT-1,"TAR ROAD CROSSING, SMALL HILLS STARTS",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00698 12.65637, 78.00938 12.6548)"
