Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,,S,26,EX T to 31 ,,140,4.1,216,,11.437593,77.759937,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.759937 11.437593, 77.76184 11.436413)"
32,,T,26,31 to 32 ,246.9255342,245.4554098,3.6,208,"23⁰24'46"" LT",11.436413,77.76184,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76184 11.436413, 77.764082 11.436073)"
33,,S,26,32 to 33,250.2145374,247.7087298,3.1,207,,11.436073,77.764082,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764082 11.436073, 77.766143 11.435767)"
34,,S,26,33 to 34,230.9674493,227.6024246,2.5,217,,11.435767,77.766143,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766143 11.435767, 77.76824 11.435427)"
35,2W,T,26,34 to 35 ,236.0193203,232.071955,3.2,219,"16⁰51'33"" LT",11.435427,77.76824,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76824 11.435427, 77.770542 11.435727)"
36,,S,26,35 to 36,244.9810944,253.5708557,4.3,211,,11.435727,77.770542,Good,Good,Lt Line crossing ,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770542 11.435727, 77.773042 11.436102)"
37,,T,24,36 to 37,277.2402396,276.1472859,3.6,208,"1⁰19'25"" RT",11.436102,77.773042,Good,Good,Lt Line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773042 11.436102, 77.775535 11.436418)"
38,,S,24,37 to 38 ,272.6160117,274.483244,6.2,211,"10⁰31'0"" RT",11.436418,77.775535,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775535 11.436418, 77.77795 11.436285)"
39,,S,26,38 to 39 ,257.3590378,264.1382836,5.6,209,,11.436285,77.77795,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77795 11.436285, 77.780377 11.436058)"
40,,S,26,39 to 40 ,272.4910462,266.2273657,4.8,210,,11.436058,77.780377,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.780377 11.436058, 77.78289 11.435872)"
41,,S,24,40 to 41 ,269.5110045,275.2024402,5.3,208,"14⁰15'14"" LT",11.435872,77.78289,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78289 11.435872, 77.785233 11.436278)"
42,,S,26,41 to 42 ,273.0378069,259.7840724,4.5,210,,11.436278,77.785233,Good,Good,Lt Line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.785233 11.436278, 77.787697 11.43675)"
43,,S,26,42 to 43 ,264.7220771,274.1067221,5.6,193,,11.43675,77.787697,Good,Good,,Road crossing,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.787697 11.43675, 77.790103 11.437173)"
44,,T,24,43 to 44,267.9463987,266.8868869,6.1,208,"14⁰30'47"" LT",11.437173,77.790103,Good,Good,,,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.790103 11.437173, 77.791468 11.43779)"
45,2W,T,24,44 to 45 ,162.1480288,163.9678289,8.7,219,"3⁰5'13"" LT",11.43779,77.791468,Good,Good,,Road Crossing,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.791468 11.43779, 77.793995 11.439099)"
46,,S,26,45 to46,313.1460935,311.6923267,5.6,220,,11.439099,77.793995,Good,Good,,,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.793995 11.439099, 77.796115 11.440191)"
47,,T,26,46 to 47,258.7404618,261.1736969,5.4,217,"28⁰55'39"" RT",11.440191,77.796115,Good,Good,New proposed 400kv line crossing,,plain,New proposed 400kv line crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.796115 11.440191, 77.79894 11.440125)"
48,2W,T,28,47 to 48 ,315.4653401,308.5889138,5.9,211,"36⁰16'53"" RT",11.440125,77.79894,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79894 11.440125, 77.799475 11.439718)"
49,,Dp1,26,48 to 49 ,65.53687505,73.77951411,4.3,212,"15⁰32'46"" RT",11.439718,77.799475,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.799475 11.439718, 77.799648 11.43949)"
50,,DP2,26,49 to 50 ,34.29057763,31.52741908,4.3,212,"21⁰10'53"" LT",11.43949,77.799648,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.799648 11.43949, 77.800472 11.438982)"
51,,T,26,50 to 51,103.207455,106.1122588,5.8,212,"25⁰20'15"" LT ",11.438982,77.800472,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.800472 11.438982, 77.802545 11.438743)"
52,,S,26,51 to 52 ,234.7611917,227.923315,6.3,211,,11.438743,77.802545,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.802545 11.438743, 77.804643 11.438512)"
53,,S,26,52 to 53,222.8290265,230.5358768,5.3,216,,11.438512,77.804643,Good,Good,LT -11 kv line crossing ,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.804643 11.438512, 77.806694 11.438325)"
54,,T,24,53 to 54,229.854984,224.9357011,5.6,218,"9⁰56'40"" LT",11.438325,77.806694,Good,Good,LT- line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806694 11.438325, 77.809167 11.438524)"
55,,S,26,54 to 55,269.8326514,270.9634382,4.3,223,,11.438524,77.809167,Good,Good,11 kv line crossing,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.809167 11.438524, 77.811745 11.438793)"
56,,S,26,55 to 56,284.2906572,283.1039552,5.5,227,,11.438793,77.811745,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.811745 11.438793, 77.81425 11.43904)"
57,,S,26, 56 to 57,276.2343665,274.9248458,5.2,226,"16⁰34'28"" LT",11.43904,77.81425,Good,Good,LT- 11 kv line crossing ,,Building ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81425 11.43904, 77.816667 11.440017)"
58,,S,26,57 to 58,284.5249151,285.2512592,5.6,230,,11.440017,77.816667,Good,Good,,Road crossing,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.816667 11.440017, 77.818935 11.440952)"
59,,S,26,58 to 59 ,268.7694217,268.4378634,5.8,237,,11.440952,77.818935,Good,Good,,,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.818935 11.440952, 77.821163 11.441838)"
60,,T,26,59 to 60 ,261.2650607,262.3365795,5.8,240,"24⁰23'44"" LT",11.441838,77.821163,Good,Good,,,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.821163 11.441838, 77.822248 11.44296)"
61,,S,26,60 to 61,173.2477614,171.6607477,5.6,238,,11.44296,77.822248,Good,Good,11 kv line crossing,,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.822248 11.44296, 77.823292 11.444087)"
62,,T,26,61 to 62,171.6898342,169.0093897,5.3,239,"28⁰51'8"" RT",11.444087,77.823292,Good,Good,,Road crossing,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.823292 11.444087, 77.82517 11.444715)"
63,,T,24,62 to 63,217.4466616,216.5504819,5.6,236,"0⁰38'20"" RT",11.444715,77.82517,Good,Good,11kv line crossig ,Car Track,paddy field ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82517 11.444715, 77.826753 11.445225)"
64,,T,28,63 to 64,165.8451791,181.8577512,5.2,237,"52⁰8'19"" RT",11.445225,77.826753,Good,Good,,Car Track,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.826753 11.445225, 77.82693 11.445107)"
Sankagiri Gantry,2W,Gantry,20,64 to Gantry ,11.87506072,23.32950887,,236,,11.445107,77.82693,,,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,,"Line have Connection from Sankagri SS to LMHEP-04 . In the way , Sankagiri - LILO 02 which is going to Kumarapalayam and another line is going from Kumarapalayam to Urachikottai & another line going from Urachikottai to LMHEP-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
