S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,36,A,S,26,37-36,277.96782809187874,9.13,282,,11.60678,77.99487,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99487 11.60678, 77.99397 11.60928)"
17,35,A,S,26,36-35,293.71942121145923,8.36,284,,11.60928,77.99397,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99397 11.60928, 77.9931 11.61175)"
18,34,A,S,26,35-34,289.50005768201413,6.37,276,,11.61175,77.9931,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9931 11.61175, 77.99221 11.61422)"
19,33,B,T,24,34-33,290.22305728262444,6.6,272,"13⁰5'22"" RT",11.61422,77.99221,GOOD,GOOD,LT LINE CROSSING ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99221 11.61422, 77.99188 11.61709)"
20,32,A,S,26,33-32,319.80379637456053,7.94,269,,11.61709,77.99188,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99188 11.61709, 77.99158 11.61989)"
21,31,A,S,26,32-31,311.74284467582527,8.21,268,,11.61989,77.99158,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99158 11.61989, 77.99124 11.62271)"
22,30,D,T,28,31-30,314.43041091501635,7.26,266,"33⁰23'32"" LT",11.62271,77.99124,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99124 11.62271, 77.98975 11.62445)"
23,29,A,S,26,30-29,252.12273957818527,11.16,267,,11.62445,77.98975,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98975 11.62445, 77.98829 11.62614)"
24,28,A,S,26,29-28,245.78159619487852,9.84,267,,11.62614,77.98829,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",,,"HOUSING AREA, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98829 11.62614, 77.98675 11.6279)"
25,27,C,T,26,28-27,257.3479306905366,6.28,262,"23⁰53'33"" RT",11.6279,77.98675,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING 2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98675 11.6279, 77.985981 11.630397)"
26,26,A,S,26,27-26,288.9292140588699,5.37,260,,11.630397,77.985981,GOOD,GOOD,"LT LINE CROSSING 3,22KV LINE CROSSING",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.985981 11.630397, 77.98528 11.63289)"
27,25,A,S,26,26-25,286.4338397299292,6.54,262,,11.63289,77.98528,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98528 11.63289, 77.98447 11.63553)"
28,24,A,S,26,25-24,305.3788249282076,13.77,258,,11.63553,77.98447,GOOD,GOOD,LT LINE CROSSING 2,,,"AGRI LAND,THRON BUSH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98447 11.63553, 77.98373 11.6381)"
29,23,C,T,26,24-23,295.79148987897815,12.61,262,"26⁰00'26"" RT",11.6381,77.98373,GOOD,GOOD,LT LINE CROSSING ,"SAND ROAD ,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98373 11.6381, 77.98409 11.64008)"
30,22,A,S,26,23-22,222.71927232848154,8.23,268,,11.64008,77.98409,GOOD,GOOD,LT LINE CROSSING 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98409 11.64008, 77.98448 11.64208)"
31,21,C,T,26,22-21,225.49443158597387,7.29,261,"22⁰53'24"" LT",11.64208,77.98448,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98448 11.64208, 77.98407 11.64398)"
32,20,C,T,26,21-20,215.0751609822103,6.55,259,"19⁰15'2"" LT",11.64398,77.98407,GOOD,GOOD,LT LINE CROSSING 3,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98407 11.64398, 77.98298 11.64575)"
33,19,B,T,24,20-19,229.25704401122795,9.96,256,"7⁰29'37"" LT",11.64575,77.98298,GOOD,GOOD,"LT LINE CROSSING ,22KV LINE CROSSING",SAND ROAD CROSSING,,"HOUSING AREA, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98298 11.64575, 77.98184 11.64715)"
34,18,A,S,26,19-18,198.76671558495673,10.54,255,,11.64715,77.98184,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING 1",TAR ROAD CROSSING 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98184 11.64715, 77.98038 11.64895)"
35,17,B,T,24,18-17,255.16642773221608,13.58,248,"2⁰48'9"" LT",11.64895,77.98038,GOOD,GOOD,,TAR ROAD CROSSING,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98038 11.64895, 77.97952 11.64991)"
36,16,C,T,26,17-16,141.80126481448843,6.84,248,"29⁰40'36"" RT",11.64991,77.97952,GOOD,NO,400KV LINE CROSSING (SALEM TO UDUMALAPET T.NO 12-13),,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97952 11.64991, 77.97926 11.65114)"
37,15,D,T,28,16-15,139.11027559610693,9.47,248,"34⁰32'16"" RT",11.65114,77.97926,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING 1",,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97926 11.65114, 77.98035 11.6537)"
38,14,A,S,26,15-14,307.39499201544606,11.37,253,,11.6537,77.98035,GOOD,GOOD,22KV LINE CROSSING,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98035 11.6537, 77.9812 11.65576)"
39,13,C,T,26,14-13,246.2269611110945,8.67,252,"27⁰58'6"" RT",11.65576,77.9812,GOOD,GOOD,"230KV LINE CROSSING SALEM LINE(T.NO 15-16) ,LT LINE CROSSING , 22KV LINE CROSSING",,LAKE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9812 11.65576, 77.98319 11.6574)"
40,LILO 12,T,T,26,13-12LILO,283.0909453148734,13.07,244,,11.6574,77.98319,GOOD,GOOD,LT LINE CROSSING ,,,TOWER IN LAKE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,=SUM(G8:G46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
