S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
42,T.NO 41,S,DA,26,40-41,302.60535355475787,3.17,371,,77.14222222222223,11.166527777777778,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14222222222223 11.166527777777778, 77.1405 11.168666666666667)",,,,,,,,,,,,,
43,T.NO 42,T,DC,26,41-42,304.2367499169027,6.7,374,"16°28'48""",77.1405,11.168666666666667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1405 11.168666666666667, 77.13950000000001 11.171083333333332)",,,,,,,,,,,,,
44,T.NO 43,S,DA,26,42-43,288.2308102892541,3.43,373,,77.13950000000001,11.171083333333332,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13950000000001 11.171083333333332, 77.13844444444445 11.173583333333333)",,,,,,,,,,,,,
45,T.NO 44,S,DA,26,43-44,298.0771712157776,7.3,376,,77.13844444444445,11.173583333333333,GOOD,GOOD,"LT,3nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13844444444445 11.173583333333333, 77.138 11.174583333333333)",,,,,,,,,,,,,
46,T.NO 45 LILO KADUVETTI PALAYAM,T,DB,24,44-45,123.06502346320826,3.8,375,"1°14'7""",77.138,11.174583333333333,GOOD,GOOD,2nosLT,TAAR ROAD,PLAIN,KADUVETTIPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.138 11.174583333333333, 77.13744444444445 11.17586111111111)",,,,,,,,,,,,,
47,T.NO 42,S,DA,26,45-42,154.5477272560163,3.72,376,,77.13744444444445,11.17586111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13744444444445 11.17586111111111, 77.13658333333333 11.177972222222222)",,,,,,,,,,,,,
48,T.NO 43,T,DC,26,42-43,252.38462710711997,4.5,381,"20°43'3""",77.13658333333333,11.177972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13658333333333 11.177972222222222, 77.13491666666667 11.179749999999999)",,,,,,,,,,,,,
49,T.NO 44,S,DA,26,43-44,265.2790983096859,3.86,377,,77.13491666666667,11.179749999999999,GOOD,GOOD,2nosLT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13491666666667 11.179749999999999, 77.13308333333333 11.181805555555554)",,,,,,,,,,,,,
50,T.NO 45,S,DA,26,44-45,305.9411708155671,3.43,376,,77.13308333333333,11.181805555555554,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13308333333333 11.181805555555554, 77.13138888888888 11.18363888888889)",,,,,,,,,,,,,
51,T.NO 46,T,DB,24,45-46,272.44265451650557,6.17,379,"11°41'3""",77.13138888888888,11.18363888888889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13138888888888 11.18363888888889, 77.13024999999999 11.185527777777779)",,,,,,,,,,,,,
52,T.NO 47,S,DA,26,46-47,244.0430289928397,3.9,383,,77.13024999999999,11.185527777777779,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13024999999999 11.185527777777779, 77.1291111111111 11.18736111111111)",,,,,,,,,,,,,
53,T.NO 48,S,DA,26,47-48,237.54788990854033,2.63,384,,77.1291111111111,11.18736111111111,GOOD,GOOD,"LT,HT",MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1291111111111 11.18736111111111, 77.12822222222222 11.188805555555556)",,,,,,,,,,,,,
54,T.NO 49 ANNUR T-OFF,T,DD,28,48-49,185.9247159470736,3.87,384,"56°51'58""",77.12822222222222,11.188805555555556,GOOD,GOOD,LT,,PLAIN,ANNUR T-OFF NEED 3WAY JUNCTION BOX TO CONNECT PADUVAMPALLI LINE(ARASUR-KARUVALUR FEEDER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12822222222222 11.188805555555556, 77.12505555555555 11.18888888888889)",,,,,,,,,,,,,
55,T.NO 21,T,DB,24,49-21,346.09247319177575,4.75,386,"2°28'27""",77.12505555555555,11.18888888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12505555555555 11.18888888888889, 77.12233333333333 11.18886111111111)",,,,,,,,,,,,,
56,T.NO 20,S,DA,26,21-20,299.06019460971396,4.8,385,,77.12233333333333,11.18886111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12233333333333 11.18886111111111, 77.11925 11.188777777777778)",,,,,,,,,,,,,
57,T.NO 19,S,DA,26,20-19,335.2148564726808,3.7,383,,77.11925,11.188777777777778,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11925 11.188777777777778, 77.11644444444444 11.18875)",,,,,,,,,,,,,
58,T.NO 18,S,DA,26,19-18,308.0405817420815,8.1,385,,77.11644444444444,11.18875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11644444444444 11.18875, 77.11344444444444 11.188694444444444)",,,,,,,,,,,,,
59,T.NO 17,T,DD,28,18-17,328.0746866187637,6.8,392,"38°22'30""",77.11344444444444,11.188694444444444,GOOD,GOOD,11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11344444444444 11.188694444444444, 77.11166666666666 11.190055555555556)",,,,,,,,,,,,,
60,T.NO 16,S,DA,26,17-16,243.402958075698,3.8,396,,77.11166666666666,11.190055555555556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11166666666666 11.190055555555556, 77.10994444444444 11.191361111111112)",,,,,,,,,,,,,
61,T.NO 15,S,DA,26,16-15,237.00210969525145,12.8,403,,77.10994444444444,11.191361111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10994444444444 11.191361111111112, 77.10813888888889 11.192722222222223)",,,,,,,,,,,,,
62,T.NO 14,T,DC,26,15-14,249.00803199896987,9.32,400,"29°10'28""",77.10813888888889,11.192722222222223,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10813888888889 11.192722222222223, 77.10527777777777 11.193166666666666)",,,,,,,,,,,,,
63,T.NO 13,S,DA,26,14-13,317.2081335653296,6.35,394,,77.10527777777777,11.193166666666666,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10527777777777 11.193166666666666, 77.10277777777777 11.19363888888889)",,,,,,,,,,,,,
64,T.NO 12,S,DA,26,13-12,277.7228834647948,3.9,391,,77.10277777777777,11.19363888888889,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10277777777777 11.19363888888889, 77.09986111111111 11.194138888888888)",,,,,,,,,,,,,
65,T.NO 11,T,DB,24,12-11,325.6777548436491,4.91,387,"4°59'25""",77.09986111111111,11.194138888888888,GOOD,GOOD,2nos 11KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09986111111111 11.194138888888888, 77.09708333333333 11.19438888888889)",,,,,,,,,,,,,
66,T.NO 10,T,DC,26,11-10,303.03300150313663,4.73,389,"17°37'39""",77.09708333333333,11.19438888888889,GOOD,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09708333333333 11.19438888888889, 77.0945 11.195472222222222)",,,,,,,,,,,,,
67,T.NO 9,S,DA,26,10-9,304.92622058458664,3.63,398,,77.0945,11.195472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0945 11.195472222222222, 77.09227777777777 11.196444444444445)",,,,,,,,,,,,,
68,T.NO 8,T,DC,26,9-8,267.8656379605268,5.35,393,"20°1'1""",77.09227777777777,11.196444444444445,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09227777777777 11.196444444444445, 77.08972222222222 11.196611111111112)",,,,,,,,,,,,,
69,T.NO 7,S,DA,26,8-7,278.4600509947522,4.11,390,,77.08972222222222,11.196611111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08972222222222 11.196611111111112, 77.08716666666666 11.196722222222222)",,,,,,,,,,,,,
70,T.NO 6,S,DA,26,7-6,279.3027031734566,4.5,390,,77.08716666666666,11.196722222222222,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08716666666666 11.196722222222222, 77.08494444444445 11.196861111111112)",,,,,,,,,,,,,
71,T.NO 5,T,DB,24,6-5,242.24987100099764,3.96,390,"10°17'36""",77.08494444444445,11.196861111111112,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08494444444445 11.196861111111112, 77.08225 11.197472222222222)",,,,,,,,,,,,,
72,T.NO 4,S,DA,26,5-4,304.6850833237492,3.49,391,,77.08225,11.197472222222222,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08225 11.197472222222222, 77.07955555555556 11.19811111111111)",,,,,,,,,,,,,
73,T.NO 3,S,DA,26,4-3,301.3171087077533,7.36,388,,77.07955555555556,11.19811111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07955555555556 11.19811111111111, 77.07738888888889 11.198500000000001)",,,,,,,,,,,,,
74,T.NO 1 ELLA PALAYAM LILO,T,DB,24,3-1,240.06665740997852,4.01,393,"11°34'28""",77.07738888888889,11.198500000000001,GOOD,GOOD,LT,,PLAIN,ELLAPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07738888888889 11.198500000000001, 77.07686111111111 11.198722222222223)",,,,,,,,,,,,,
75,T.NO 2,T,DB,24,1-2,63.694583757176716,4.25,392,"10°15'27""",77.07686111111111,11.198722222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07686111111111 11.198722222222223, 77.07438888888889 11.199277777777779)",,,,,,,,,,,,,
76,T.NO 1 ANNUR SS,T,DD,28,2-1,276.92959394040935,6.6,397,"43°31'47""",77.07438888888889,11.199277777777779,GOOD,GOOD,"LT,11KV",,PLAIN,ANNUR SS NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07438888888889 11.199277777777779, 77.07433333333333 11.19963888888889)",,,,,,,,,,,,,
76a,GANTRY ANNUR SS,,,20,1-Gantry,44,,398,,77.07433333333333,11.19963888888889,GOOD,MISSING,,MUD ROAD,PLAIN,ADSS CABLE NEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07433333333333 11.19963888888889, 77.07383333333333 11.200055555555554)",,,,,,,,,,,,,
77,T.NO 79,T,SB,24,1-79,105.68348972285122,3.9,401,"13°33'10""",77.07383333333333,11.200055555555554,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07383333333333 11.200055555555554, 77.07297222222222 11.200833333333332)",,,,,,,,,,,,,
78,T.NO 78,T,SC,26,79-78,128.8875478857442,4.75,397,"16°37'0""",77.07297222222222,11.200833333333332,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07297222222222 11.200833333333332, 77.07025 11.20211111111111)",,,,,,,,,,,,,
