Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),GROUND EARTH AVAILABLE,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-34,S,DA,26,33-34,275.42875666858026,7.42,299,,76.99797222222222,10.523138888888889,GOOD,GOOD,LT,"2nos CANAL,TAAR ROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99797222222222 10.523138888888889, 76.99936111111111 10.525250000000002)"
T.NO-35,T,DC,26,34-35,277.6508598942204,2.96,302,"24°26'42.57""",76.99936111111111,10.525250000000002,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99936111111111 10.525250000000002, 76.99977777777778 10.527777777777779)"
T.NO-36,S,DA,26,35-36,284.1214529035075,4.19,289,,76.99977777777778,10.527777777777779,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99977777777778 10.527777777777779, 77.00016666666667 10.5305)"
T.NO-37,S,DA,26,36-37,305.8970415025291,3.76,295,,77.00016666666667,10.5305,GOOD,GOOD,"LT,11KV",TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00016666666667 10.5305, 77.00055555555555 10.533333333333333)"
T.NO-38,S,DA,26,37-38,315.54555930958685,3.02,289,,77.00055555555555,10.533333333333333,GOOD,GOOD,LT,2nos NALA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00055555555555 10.533333333333333, 77.00091666666667 10.53586111111111)"
T.NO-39-LILO 110KV ANGALAKURICHI,T,DC,26,38-39,280.58510295452254,5.92,289,"24°26'42.57""",77.00091666666667,10.53586111111111,GOOD,GOOD,LT,,,NO,NEED 3WAY JUNCTION BOX.2EARTH WIRE ONE IS CONTINUE T OUR T.NO-40 ANOTHER EARTH WIRE CONNECT WITH ANGALANGURICHI LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00091666666667 10.53586111111111, 77.00133333333333 10.53888888888889)"
T.NO-40,T,DB,24,39-40,339,3.18,288,"0°25'8.24""",77.00133333333333,10.53888888888889,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00133333333333 10.53888888888889, 77.00172222222223 10.5415)"
T.NO-41,S,DA,26,40-41,292.8839360565888,4.66,289,,77.00172222222223,10.5415,GOOD,GOOD,"110KV SC LINE CROSSING BELOW OUR LINE ,22KV",,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00172222222223 10.5415, 77.00216666666667 10.544194444444445)"
T.NO-42,S,DA,26,41-42,301.3784995649159,7.49,285,,77.00216666666667,10.544194444444445,GOOD,GOOD,"LT,22KV,11KV",TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00216666666667 10.544194444444445, 77.0026388888889 10.547027777777778)"
T.NO-43,S,DA,26,42-43,317.8002517305485,3.18,282,,77.0026388888889,10.547027777777778,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0026388888889 10.547027777777778, 77.00302777777777 10.549861111111111)"
T.NO-44,S,DA,26,43-44,316.93059177050105,3.66,281,,77.00302777777777,10.549861111111111,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00302777777777 10.549861111111111, 77.00341666666667 10.55263888888889)"
T.NO-45,S,DA,26,44-45,310.4593371119638,2.11,277,,77.00341666666667,10.55263888888889,GOOD,GOOD,11KV,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00341666666667 10.55263888888889, 77.0038611111111 10.5555)"
T.NO-46,S,DA,26,45-46,320.6134744517142,4.12,278,,77.0038611111111,10.5555,GOOD,GOOD,110KV SC LINE CROSSING BELOW OUR LINE ,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0038611111111 10.5555, 77.00422222222223 10.558194444444446)"
T.NO-47,T,DB,24,46-47,299.29584026511293,3.72,278,"1°8'33.86""",77.00422222222223,10.558194444444446,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00422222222223 10.558194444444446, 77.00472222222223 10.561361111111111)"
T.NO-48,T,DD,28,47-48,355.6754138255834,16.24,276,"36°45'21.56""",77.00472222222223,10.561361111111111,GOOD,GOOD,,RIVER,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00472222222223 10.561361111111111, 77.00525 10.56188888888889)"
T.NO-49 LILO 110KV  M.N PALAYAM ,T,DB,24,48-49,80.61017305526642,3.25,275,"3°36'42.79""",77.00525,10.56188888888889,GOOD,GOOD,,,,NO,NEED 3WAY JUNCTION BOX.2EARTH WIRE ONE IS CONTINUE T OUR T.NO-50 ANOTHER EARTH WIRE CONNECT WITH M.N PALAYAM LILO  TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00525 10.56188888888889, 77.00669444444445 10.56313888888889)"
T.NO-50,T,DB,24,49-50,213.26274873967088,3.72,275,"0°25'27.74""",77.00669444444445,10.56313888888889,GOOD,GOOD,LT,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00669444444445 10.56313888888889, 77.00872222222222 10.56488888888889)"
T.NO-51,S,DB,24,50-51,292.4876065750479,5.5,278,"0°22'18.31""",77.00872222222222,10.56488888888889,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00872222222222 10.56488888888889, 77.01075 10.566666666666666)"
T.NO-52,S,DA,26,51-52,296.1418578992169,4.16,284,,77.01075,10.566666666666666,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01075 10.566666666666666, 77.01269444444445 10.568388888888888)"
T.NO-53,S,DA,26,52-53,288.1058833137567,10.44,292,,77.01269444444445,10.568388888888888,GOOD,GOOD,22KV,MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01269444444445 10.568388888888888, 77.01472222222222 10.57025)"
T.NO-54,T,DC,26,53-54,302.07449412355226,8.92,290,"20°46'41.75""",77.01472222222222,10.57025,GOOD,GOOD,LT,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01472222222222 10.57025, 77.01594444444444 10.572666666666667)"
T.NO-55,S,DA,26,54-55,299.202272718641,14.52,289,,77.01594444444444,10.572666666666667,GOOD,GOOD,2nos LT,"NALA ,TAARROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01594444444444 10.572666666666667, 77.0171388888889 10.575194444444444)"
T.NO-56,S,DA,26,55-56,308.70698080866265,7.1,284,,77.0171388888889,10.575194444444444,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0171388888889 10.575194444444444, 77.01833333333333 10.577694444444445)"
T.NO-57,S,DA,26,56-57,305.14422819381656,,286,,77.01833333333333,10.577694444444445,GOOD,GOOD,"22KV,LT,11KV",2nos TAAR ROAD,INSIDE FACTORY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01833333333333 10.577694444444445, 77.01919444444444 10.579444444444444)"
T.NO-58,S,DA,26,57-58,214.7091055358389,12.52,287,,77.01919444444444,10.579444444444444,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01919444444444 10.579444444444444, 77.02008333333333 10.581305555555556)"
T.NO-59,S,DA,26,58-59,228.12277396174193,14.92,285,,77.02008333333333,10.581305555555556,GOOD,GOOD,,NALA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02008333333333 10.581305555555556, 77.02125 10.583666666666668)"
T.NO-60,T,DB,24,59-60,289.8620361482338,5.82,289,"0°32'58.11""",77.02125,10.583666666666668,GOOD,GOOD,"LT,11KV",,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02125 10.583666666666668, 77.02244444444445 10.586083333333335)"
T.NO-61,S,DA,26,60-61,297.8657415682441,6.02,287,,77.02244444444445,10.586083333333335,GOOD,GOOD,LT,MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02244444444445 10.586083333333335, 77.02361111111111 10.58863888888889)"
T.NO-62,S,DA,26,61-62,311.61033358988595,6.18,289,,77.02361111111111,10.58863888888889,GOOD,GOOD,LT,MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02361111111111 10.58863888888889, 77.02486111111111 10.591277777777778)"
T.NO-63,S,DA,29,62-63,321.21176815303636,7.42,289,,77.02486111111111,10.591277777777778,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02486111111111 10.591277777777778, 77.02608333333333 10.593777777777778)"
T.NO-64,S,DA,26,63-64,308.22394455979565,5.82,289,,77.02608333333333,10.593777777777778,GOOD,GOOD,"22KV,LT",TAARROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02608333333333 10.593777777777778, 77.0273611111111 10.596388888888889)"
T.NO-65,T,DB,24,64-65,319.8280788173546,11.86,295,"0°10'20.33""",77.0273611111111,10.596388888888889,GOOD,GOOD,LT,"NALA,MUDROAD,CANAL",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0273611111111 10.596388888888889, 77.02852777777778 10.598805555555556)"
T.NO-66,T,DD,28,65-66,298.37727795527593,4.78,302,"37°48'7.00""",77.02852777777778,10.598805555555556,GOOD,GOOD,"LT,22KV",TAARROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02852777777778 10.598805555555556, 77.02794444444444 10.6015)"
T.NO-67,T,DB,24,66-67,302.292904316327,2.54,290,"0°9'39.76""",77.02794444444444,10.6015,GOOD,GOOD,"400KV DC LINE CROSSING ABOVE OUR LINE,LT,22KV",,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02794444444444 10.6015, 77.02733333333333 10.604277777777778)"
T.NO-68,S,DA,26,67-68,315.41718405946114,4.98,287,,77.02733333333333,10.604277777777778,GOOD,GOOD,"LT,11KV",,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02733333333333 10.604277777777778, 77.02655555555556 10.60725)"
T.NO-69,S,DA,26,68-69,339.3420103671221,4.46,309,,77.02655555555556,10.60725,GOOD,GOOD,,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02655555555556 10.60725, 77.02619444444444 10.609527777777778)"
T.NO-70 LILO 110KV SAMATHUR ,T,MB,45,69-70,256.30060475933334,2.41,278,"3°44'29.21""",77.02619444444444,10.609527777777778,GOOD,GOOD,,,,NO,NEED 3 WAY JUNCTION BOX. 2EARTH WIRE. ONE IS CONTINUE TO OUR T.NO-71 ANOTHER EARTH WIRE CONNECT TO SAMATHUR LILO T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02619444444444 10.609527777777778, 77.0255 10.612694444444443)"
T.NO-71,T,DB,30,70-71,357.07702250354896,2.71,276,"0°58'52.97""",77.0255,10.612694444444443,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0255 10.612694444444443, 77.02491666666667 10.615416666666667)"
T.NO-72,S,DA,32,71-72,308.70698080866265,11.28,281,,77.02491666666667,10.615416666666667,GOOD,GOOD,LT,RIVER,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02491666666667 10.615416666666667, 77.02430555555556 10.618166666666667)"
T.NO-73,S,DA,26,72-73,310.9807067970616,13.66,294,,77.02430555555556,10.618166666666667,GOOD,GOOD,22KV ,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02430555555556 10.618166666666667, 77.02369444444444 10.620972222222223)"
T.NO-74,S,DA,26,73-74,318.5623957720057,5.32,299,,77.02369444444444,10.620972222222223,GOOD,GOOD,,"CANAL,MUDROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02369444444444 10.620972222222223, 77.0231111111111 10.623694444444444)"
T.NO-75,S,DA,26,74-75,306.1976485866604,6.29,302,,77.0231111111111,10.623694444444444,GOOD,GOOD,,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0231111111111 10.623694444444444, 77.02258333333333 10.626277777777778)"
