S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
71,T.NO-30,,S,DA,26,30-29,293.5745221,1.5,418,,12.27063889,78.46183333,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46183333333333 12.27063888888889, 78.45933333333333 12.27138888888889)"
72,T.NO-29,,T,DC,26,29-28,282.76492,1.7,420,"27°56'46"" ",12.27138889,78.45933333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45933333333333 12.27138888888889, 78.45652777777778 12.270833333333334)"
73,T.NO-28,,T,DD,28,28-27,313.4134649,0.8,419,"15°59'25"" ",12.27083333,78.45652778,GOOD,GOOD,,ELE.RAIL-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45652777777778 12.270833333333334, 78.45544444444445 12.270916666666668)"
74,T.NO-27,,T,DD,28,27-26,118.5116028,0.7,418,"14°21'31"" ",12.27091667,78.45544444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45544444444445 12.270916666666668, 78.45363888888889 12.27063888888889)"
75,T.NO-26,,S,DA,26,26-25,197.4487275,2.9,416,,12.27063889,78.45363889,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45363888888889 12.27063888888889, 78.45186111111111 12.270361111111113)"
76,T.NO-25,2W,T,DC,26,25-24,197,2.7,415,"17°25'2"" ",12.27036111,78.45186111,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45186111111111 12.270361111111113, 78.44869444444444 12.270833333333334)"
77,T.NO-24,,S,DA,26,24-23,348.5283346,3.6,413,,12.27083333,78.44869444,GOOD,GOOD,"11KV-2,LT-1",,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44869444444444 12.270833333333334, 78.44572222222223 12.271277777777778)"
78,T.NO-23,,T,DC,26,23-22,326.1717339,5.07,417,"8°58'53"" ",12.27127778,78.44572222,GOOD,GOOD,"33KV-1,LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44572222222223 12.271277777777778, 78.443 12.27125)"
79,T.NO-22,,S,DA,26,22-21,298.0016778,5.3,415,,12.27125,78.443,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.443 12.27125, 78.44022222222223 12.271333333333335)"
80,T.NO-21,,S,DA,26,21-20,301.2009296,4.07,418,,12.27133333,78.44022222,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44022222222223 12.271333333333335, 78.43716666666667 12.271277777777778)"
81,T.NO-20,,T,DC,26,20-19,333.0135132,1.5,419,"35°40'21"" ",12.27127778,78.43716667,GOOD,GOOD,"LT-1,11KV-1",,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43716666666667 12.271277777777778, 78.43477777777778 12.27288888888889)"
82,T.NO-19,,S,DA,26,19-18,314.3405796,3.6,421,,12.27288889,78.43477778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43477777777778 12.27288888888889, 78.43233333333333 12.274527777777779)"
83,T.NO-18,,T,DC,26,18-17,324.007716,3.1,425,"10°9'27"" ",12.27452778,78.43233333,GOOD,GOOD,LT-1,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43233333333333 12.274527777777779, 78.4293888888889 12.275833333333335)"
