Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Between Tower No.,Span Between Tower No.,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,JB Location,Earthing Location,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,
67,T,26,66 to 67 ,,"=A36&""-""&A37",244.3447176688078,,6.1,299,11.214477,77.427767,,,"17°47'25"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.427767 11.214477, 77.427602 11.212112)",,,,,,,,,,,,,,,,,
68,T,24,67 to 68 ,,"=A37&""-""&A38",262.35047494695067,,5.8,299,11.212112,77.427602,,,"9°20'15"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.427602 11.212112, 77.427818 11.209855)",,,,,,,,,,,,,,,,,
69,T,26,68 to 69,,"=A38&""-""&A39",250.89059601371082,,6.2,304,11.209855,77.427818,,,"19°15'48"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.427818 11.209855, 77.42825 11.208947)",,,,,,,,,,,,,,,,,
70 lilo,T,28,69 to 70 ,,"=A39&""-""&A40",111.020256914008,,4.3,311,11.208947,77.42825,Yes,,"106°17'58"" RT",GOOD,GOOD,,,Plain,Tapping Tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42825 11.208947, 77.42723 11.20879)",,,,,,,,,,,,,,,,,
70/13,T,26,70 to 70/13 ,,"=A40&""-""&A41",112.79268040480228,,5.2,320,11.20879,77.42723,,,"24°39'6"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42723 11.20879, 77.42526 11.20934)",,,,,,,,,,,,,,,,,
14,S,26,70 /13 to 14 ,,"=A41&""-""&A42",223.6848066584828,,4.1,319,11.20934,77.42526,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42526 11.20934, 77.42294 11.20996)",,,,,,,,,,,,,,,,,
15,T,24,14 to 15 ,,"=A42&""-""&A43",262.6068170844958,,4.7,317,11.20996,77.42294,,,"13°14'20"" LT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42294 11.20996, 77.42081 11.21003)",,,,,,,,,,,,,,,,,
16,T,26,15 to 16 ,,"=A43&""-""&A44",232.85333867080155,,4,316,11.21003,77.42081,,,"21°31'43"" RT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42081 11.21003, 77.41852 11.21101)",,,,,,,,,,,,,,,,,
17,T,28,16 to 17 ,,"=A44&""-""&A45",272.69943484090095,,5.2,317,11.21101,77.41852,,,"48°2'47"" RT",GOOD,GOOD,11kv Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41852 11.21101, 77.41776 11.21325)",,,,,,,,,,,,,,,,,
18,S,26,17 to 18 ,,"=A45&""-""&A46",261.4328323764367,,5.2,319,11.21325,77.41776,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41776 11.21325, 77.41705 11.2155)",,,,,,,,,,,,,,,,,
19,T,24,18 to 19 ,,"=A46&""-""&A47",260.80542497574936,,4.5,314,11.2155,77.41705,,,"14°36'20"" LT",GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41705 11.2155, 77.41553 11.21791)",,,,,,,,,,,,,,,,,
20,T,24,19 to 20 ,,"=A47&""-""&A48",314.186164066876,,4.2,318,11.21791,77.41553,,,"14°50'24"" RT",GOOD,GOOD,11kv Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41553 11.21791, 77.41474 11.22045)",,,,,,,,,,,,,,,,,
21,T,28,20 to 21 ,,"=A48&""-""&A49",294.0478982670048,,5,323,11.22045,77.41474,,,"33°1'5"" RT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41474 11.22045, 77.41529 11.22235)",,,,,,,,,,,,,,,,,
22,T,24,21 to 22 ,,"=A49&""-""&A50",218.68567117439673,,5,319,11.22235,77.41529,,,"0°22'33"" LT",GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41529 11.22235, 77.41588 11.22444)",,,,,,,,,,,,,,,,,
23,T,28,22 to 23 ,,"=A50&""-""&A51",240.10909580505339,,5.2,314,11.22444,77.41588,Yes,,"34°59'41"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41588 11.22444, 77.41528 11.22612)",,,,,,,,,,,,,,,,,
