Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,,SD,28,48-49,0.003022571,0.1,296,"42d16'20""RT",11.72141572,77.93100348,GOOD,GOOD,400KV,,PLAIN,400kV Rasipalayam-Palavady (376-377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93100348370234 11.721415722558264, 77.92861947159875 11.72219889320403)"
50,,SA,26,49-50,0.002802135,0.03,289,,11.72219889,77.92861947,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92861947159875 11.72219889320403, 77.92656835457532 11.7223915159338)"
51,,SC,26,50-51,0.00196145,0.17,294," 19d11'43""LT",11.72239152,77.92656835,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92656835457532 11.7223915159338, 77.92449189225049 11.72365927336931)"
52,,SB,24,51-52,0.002743963,0.25,281," 10d29'2""LT",11.72365927,77.92449189,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92449189225049 11.72365927336931, 77.92178055340003 11.72469865946633)"
53,,SA,26,52-53,0.002001707,0.3,288,,11.72469866,77.92178055,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92178055340003 11.72469865946633, 77.91895968331698 11.725784306494676)"
54,,SC,26,53-54,0.001872807,0.07,300,"22d3'40""LT ",11.72578431,77.91895968,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91895968331698 11.725784306494676, 77.91690822055499 11.727693091331275)"
55,,SC,26,54-55,0.00165963,0.06,298," 15d36'0""RT",11.72769309,77.91690822,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91690822055499 11.727693091331275, 77.91516697938579 11.728596067495978)"
56,,SC,26,55-56,0.002698914,0.05,297,"15d41'14""LT",11.72859607,77.91516698,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91516697938579 11.728596067495978, 77.91316091463898 11.73046824147702)"
57,,SC,26,56-57,0.002812837,0.05,293," 29d53'37""LT",11.73046824,77.91316091,GOOD,GOOD,LT-2 ,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91316091463898 11.73046824147702, 77.91121336062427 11.730930697366759)"
58,,SD,28,57-58,0.001938085,0.08,284," 31d43'54""LT",11.7309307,77.91121336,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91121336062427 11.730930697366759, 77.90987044589082 11.732236066211865)"
59,,SA,26,58-59,0.001242306,0.03,296,,11.73223607,77.90987045,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90987044589082 11.732236066211865, 77.90870959481978 11.733422151343612)"
60,2W,SC,26,59-60,0.003300669,0.2,294," 16d43'31""LT",11.73342215,77.90870959,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90870959481978 11.733422151343612, 77.90746976664016 11.735819433855237)"
61,,SA,26,60-61,0.00286472,0.03,300,,11.73581943,77.90746977,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90746976664016 11.735819433855237, 77.90609300543088 11.738272306026374)"
62,,SD,28,61-62,0.003061696,0.05,316,"37d39'2""RT",11.73827231,77.90609301,GOOD,GOOD,11KV-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90609300543088 11.738272306026374, 77.9042947690398 11.738995161772696)"
63,,SA,26,62-63,0.00130108,0.05,318,,11.73899516,77.90429477,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9042947690398 11.738995161772696, 77.90319159541339 11.739566416258956)"
64,,SA,26,63-64,0.002070858,0.13,322,,11.73956642,77.9031916,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90319159541339 11.739566416258956, 77.90017137657826 11.740897841301862)"
65,,SB,24,64-65,0.002237248,0.1,304," 4d2'4""LT",11.74089784,77.90017138,GOOD,GOOD,LT-3 11KV-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90017137657826 11.740897841301862, 77.89763700188492 11.742233342389563)"
66,,SB,24,65-66,0.002180874,0.11,309,"7d8'19""LT",11.74223334,77.897637,GOOD,GOOD,800KV,,PLAIN,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89763700188492 11.742233342389563, 77.8951252704647 11.74398410973039)"
67,,SB,24,66-67,0.002140661,0.05,324,"13d12'2""RT",11.74398411,77.89512527,GOOD,GOOD,LT-1 ,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8951252704647 11.74398410973039, 77.8939203786099 11.74447507252947)"
68,,SA,26,67-68,0.002154608,0.5,332,,11.74447507,77.89392038,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8939203786099 11.74447507252947, 77.8919941098742 11.745235296409161)"
69,,SD,28,68-69,0.002782981,0.5,330,"51d50'21""LT",11.7452353,77.89199411,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8919941098742 11.745235296409161, 77.89136566725529 11.747382465868942)"
70,,SD,28,69-70,0.000216383,0.2,321,"36d5'58""LT",11.74738247,77.89136567,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89136566725529 11.747382465868942, 77.89212951436717 11.749425196168028)"
71,,SA,26,70-71,78.77740974,0.2,329,,11.7494252,77.89212951,GOOD,GOOD,LT-1 HT-2,ROAD-2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89212951436717 11.749425196168028, 77.89287466637536 11.751431979628396)"
72,,SA,26,71-72,0,0.2,332,,11.75143198,77.89287467,GOOD,GOOD,LT-1 11KV-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89287466637536 11.751431979628396, 77.89361085485668 11.753456915230556)"
73,,SC,26,72-73,0,0.1,345,"15d36'56""LT",11.75345692,77.89361085,GOOD,GOOD,HT-1 LT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89361085485668 11.753456915230556, 77.89524780192171 11.755707557308837)"
74,,SA,26,73-74,0,0.06,328,"110d15'46""LT",11.75570756,77.8952478,GOOD,GOOD,HT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89524780192171 11.755707557308837, 77.89536507367461 11.75552570887871)"
Nangavalli Gantry,2W,Gantry,20,74-Gantry,23,0.05,331,,11.75552571,77.89536507,GOOD,GOOD,,,,110Kv Nangavalli SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
