Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 238,,S,DA,26,239-238,272.1176216,5.11,216,,77.65416667,11.34597222,GOOD,GOOD,"3 NOS LT, HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65416666666667 11.345972222222223, 77.65433333333334 11.348277777777778)"
T.NO 237,,S,DA,26,238-237,257.5616431,8.73,213,,77.65433333,11.34827778,GOOD,GOOD,LT,STREAM,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65433333333334 11.348277777777778, 77.65452777777779 11.350555555555555)"
T.NO 236,,T,DC,26,237-236,251.6445906,6.79,212,"19°6'46""",77.65452778,11.35055556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65452777777779 11.350555555555555, 77.65544444444446 11.35275)"
T.NO 235,,S,DA,26,236-235,262.017175,4.36,207,,77.65544444,11.35275,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65544444444446 11.35275, 77.65630555555556 11.354722222222222)"
T.NO 234,,T,DC,26,235-234,239.3846277,5.11,201,"15°13'1""",77.65630556,11.35472222,GOOD,GOOD,"HT,",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65630555555556 11.354722222222222, 77.65725 11.355916666666666)"
T.NO 233,,T,DD,28,234-233,167.6096656,3.21,200,"37°6'5""",77.65725,11.35591667,GOOD,GOOD,"LT,110KV CROSSING",STREAM,PLAIN,THINGALUR - ERODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65725 11.355916666666666, 77.65730555555557 11.358611111111111)"
T.NO 232,,S,DA,26,233-232,297.0420846,1.56,203,,77.65730556,11.35861111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65730555555557 11.358611111111111, 77.65733333333334 11.361305555555555)"
T.NO 231,,T,DD,28,232-231,300.0016667,3.33,209,"42°14'33""",77.65733333,11.36130556,GOOD,GOOD,2 NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65733333333334 11.361305555555555, 77.65908333333334 11.363166666666666)"
T.NO 230,,S,DA,26,231-230,280.303407,4.92,206,,77.65908333,11.36316667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65908333333334 11.363166666666666, 77.66075000000001 11.364916666666666)"
T.NO 229,,T,DD,28,230-229,266.056385,7.63,205,"179°18'15""",77.66075,11.36491667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66075000000001 11.364916666666666, 77.66183333333333 11.366027777777777)"
T.NO 228,,T,DD,28,229-228,169.070991,8.26,207,"84°8'59""",77.66183333,11.36602778,GOOD,GOOD,,"TAAR ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66183333333333 11.366027777777777, 77.66266666666667 11.368777777777778)"
T.NO 227,,S,DA,26,228-227,319.9203026,4.23,204,,77.66266667,11.36877778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66266666666667 11.368777777777778, 77.66291666666667 11.371111111111112)"
T.NO 226,,S,DA,26,227-226,259.2084104,5.86,205,,77.66291667,11.37111111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66291666666667 11.371111111111112, 77.66411111111111 11.373527777777777)"
T.NO 225,,T,DC,26,226-225,296.9983165,5.31,195,"22°50'34""",77.66411111,11.37352778,GOOD,GOOD,LT,"TAAR ROAD,STREAM",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66411111111111 11.373527777777777, 77.66425000000001 11.376027777777779)"
T.NO 1 THINGALUR LILO,2W,T,DD,26,225-1,277.3048864,12.72,199,"97°8'4""",77.66425,11.37602778,GOOD,GOOD,LT,,PLAIN,THINGALUR LILO NEED 3WAY JUNCTION BOX.                                 ANOTHER LINE IS GOING TO K.R THOPPUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66425000000001 11.376027777777779, 77.66177777777779 11.375861111111112)"
T.NO 2,,S,DA,26,01-Feb,270.8154353,2.22,207,,77.66177778,11.37586111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66177777777779 11.375861111111112, 77.65894444444444 11.375777777777778)"
T.NO 3,,T,DD,28,02-Mar,309.1957309,14.52,207,"78°43'10""",77.65894444,11.37577778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65894444444444 11.375777777777778, 77.65866666666668 11.376972222222223)"
T.NO 4,,T,DD,28,03-Apr,136.3084737,9.42,203,"62°13'53""",77.65866667,11.37697222,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65866666666668 11.376972222222223, 77.65797222222223 11.37713888888889)"
T.NO 5,,T,DD,28,04-May,78.10249676,5.11,204,"33°1'59""",77.65797222,11.37713889,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65797222222223 11.37713888888889, 77.65608333333334 11.379111111111111)"
T.NO 6,,T,DC,26,05-Jun,298.4828303,6.53,207,"18°51'53""",77.65608333,11.37911111,GOOD,GOOD,2 NOS HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65608333333334 11.379111111111111, 77.65430555555557 11.380055555555556)"
T.NO 7,,T,DC,26,06-Jul,220.9524836,7.51,215,"25°16'17""",77.65430556,11.38005556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65430555555557 11.380055555555556, 77.65219444444445 11.38013888888889)"
