S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,T.NO-26,S,DA,26,25-26,332.70407271327474,3.12,348,,77.27658333333333,10.650972222222222,GOOD,GOOD,"LT,22KV",MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27658333333333 10.650972222222222, 77.27730555555556 10.65175)"
29,T.NO-27,T,DB,24,26-27,116.72617529928752,1.76,350,"14°20'16.33""",77.27730555555556,10.65175,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27730555555556 10.65175, 77.2775 10.652083333333334)"
30,T.NO-28,GANTRY,GANTRY,20,27-28,43.41658669218482,,352,,77.2775,10.652083333333334,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2775 10.652083333333334, 77.27772222222222 10.652361111111112)"
31,T.NO-29,GANTRY,GANTRY,20,28-29,39.05124837953327,,350,,77.27772222222222,10.652361111111112,GOOD,GOOD,400KV DC LINE CROSSING ABOVE OUR LINE,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27772222222222 10.652361111111112, 77.278 10.6525)"
32,T.NO-30,T,DC,26,29-30,33.61547262794322,1.47,351,"16°50'8.26""",77.278,10.6525,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.278 10.6525, 77.27880555555555 10.653361111111112)"
33,T.NO-31,S,DA,26,30-31,128.08200498118384,2.27,351,,77.27880555555555,10.653361111111112,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27880555555555 10.653361111111112, 77.28063888888889 10.655305555555556)"
34,T.NO-32,S,DA,26,31-32,294.37391188758556,6.5,350,,77.28063888888889,10.655305555555556,GOOD,GOOD,"2nos LT,22 KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28063888888889 10.655305555555556, 77.28272222222222 10.657472222222223)"
35,T.NO-33,S,DA,26,32-33,332.5838240203513,3.81,356,,77.28272222222222,10.657472222222223,GOOD,GOOD,LT,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28272222222222 10.657472222222223, 77.2846111111111 10.6595)"
36,T.NO-34,S,DA,26,33-34,304.32219767871027,4.5,357,,77.2846111111111,10.6595,GOOD,GOOD,230KV DC LINE CROSSING ABOVE OUR LINE,,NO,CULTIVATION,EARTH WIRE CONNECT TO CROSSING T.NO-183 FROM OUR T.NO- 33.THEN CONNECT TO OUR T.NO- 34.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2846111111111 10.6595, 77.2865 10.6615)"
37,T.NO-35,S,DA,26,34-35,302.1737910540886,3.3,361,,77.2865,10.6615,GOOD,GOOD,"LT,11KV,22KV",MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2865 10.6615, 77.28830555555555 10.663388888888889)"
