S. No ,Tower No,Joint Box, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,245,,S,26,246-245,291.5472709,1595(1000),245,,11.43284,77.37932,GOOD,GOOD,LT,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37932 11.43284, 77.37614 11.43343)"
32,244,,S,26,245-244,353.2539364,1621(1000),244,,11.43343,77.37614,GOOD,GOOD,LT,CANAL / TAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37614 11.43343, 77.37299 11.43405)"
33,243,,S,26,244-243,350.668684,1657(1000),245,,11.43405,77.37299,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37299 11.43405, 77.37049 11.43452)"
34,242,,T,24,243-242,277.839993,1615(1000),245,"6⁰7'9"" LT",11.43452,77.37049,GOOD,GOOD,LT,CANAL/TAR/FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37049 11.43452, 77.36776 11.43474)"
35,241,,S,26,242-241,299.029323,1634(1000),243,,11.43474,77.36776,GOOD,GOOD,LT,CANAL ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36776 11.43474, 77.36452 11.43496)"
36,240,,S,26,241-240,354.5496067,15.43,244,,11.43496,77.36452,GOOD,GOOD,22 KV/LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36452 11.43496, 77.36153 11.43516)"
37,239,,S,26,240-239,327.1686188,1614(1000),251,,11.43516,77.36153,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36153 11.43516, 77.3606 11.43534)"
38,238 A TAPPING,3W,T,24,239-238A,103.4637898,13.16,248,"12⁰3'7"" LT",11.43534,77.3606,GOOD,GOOD,LT,,SMALL HILLS,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3606 11.43534, 77.35938 11.43532)"
39,238,,S,26,238A-238,133.205713,16.54,245,,11.43532,77.35938,GOOD,GOOD,,CANAL ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35938 11.43532, 77.35619 11.43557)"
40,237,,S,26,238-237,349.3486353,15.25,242,,11.43557,77.35619,GOOD,GOOD,11 KV,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35619 11.43557, 77.3532 11.43577)"
41,236,,S,26,237-236,327.1660265,1625(1000),240,,11.43577,77.3532,GOOD,GOOD,LT,TAR /CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3532 11.43577, 77.3502 11.43603)"
42,235,,S,26,236-235,328.7687283,14.35,242,,11.43603,77.3502,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3502 11.43603, 77.34732 11.43622)"
43,234,,S,26,235-234,315.1083754,15.92,243,,11.43622,77.34732,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34732 11.43622, 77.34454 11.43644)"
44,233,,S,26,234-233,304.4633573,16.46,243,,11.43644,77.34454,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34454 11.43644, 77.34138 11.43669)"
45,232,,S,26,233-232,346.0790202,1547(1000),244,,11.43669,77.34138,GOOD,GOOD,LT,TAAR /CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34138 11.43669, 77.33856 11.43689)"
46,TAPPING 231,3W,S,26,232-231,308.647945,15.93,245,,11.43689,77.33856,GOOD,GOOD,LT,SAND/TAAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33856 11.43689, 77.33548 11.43713)"
47,230,,S,26,231-230,337.283389,15.58,246,,11.43713,77.33548,GOOD,GOOD,LT,CANAL ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33548 11.43713, 77.33261 11.43735)"
48,229,,S,26,230-229,314.2544671,14.63,251,,11.43735,77.33261,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33261 11.43735, 77.32973 11.43755)"
49,228,,S,26,229-228,315.1788685,16.35,250,,11.43755,77.32973,GOOD,GOOD,LT,CANAL ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32973 11.43755, 77.32677 11.43777)"
50,227,,S,26,228-227,324.0491192,15.37,252,,11.43777,77.32677,GOOD,GOOD,11 KV,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32677 11.43777, 77.32385 11.43799)"
51,226,,S,26,227-226,319.6940725,15.14,255,,11.43799,77.32385,GOOD,GOOD,LT/11KV,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32385 11.43799, 77.32085 11.43822)"
52,225,,S,26,226-225,328.4856607,16.04,263,,11.43822,77.32085,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32085 11.43822, 77.31811 11.43838)"
53,TAPPING 224,3W,T,24,225-224,299.637737,1625(1000),264,"9⁰18'28"" RT",11.43838,77.31811,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31811 11.43838, 77.31532 11.439)"
54,223,,S,26,224-223,312.2036042,15.56,260,,11.439,77.31532,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31532 11.439, 77.31283 11.43946)"
55,222,,S,26,223-222,276.5461696,1619(1000),253,,11.43946,77.31283,GOOD,GOOD,LT,CANAL/SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31283 11.43946, 77.31002 11.44002)"
56,221,,S,26,222-221,312.9495068,16.74,247,,11.44002,77.31002,GOOD,GOOD,LT,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31002 11.44002, 77.30724 11.44054)"
57,220,,S,26,221-220,308.8837916,15.73,241,,11.44054,77.30724,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30724 11.44054, 77.30447 11.44111)"
58,219,,S,26,220-219,308.8923717,15.83,238,,11.44111,77.30447,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30447 11.44111, 77.30138 11.44168)"
59,218,2W,T,24,219-218,343.1615096,15.36,239,"1⁰5'4"" RT",11.44168,77.30138,GOOD,GOOD,LT,TAAR / CANAL,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30138 11.44168, 77.29878 11.44221)"
60,217,,S,26,218-217,289.8199655,1619(1000),239,,11.44221,77.29878,GOOD,GOOD,11 KV,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29878 11.44221, 77.29567 11.44284)"
61,216,,S,26,217-216,346.5794705,1612(1000),239,,11.44284,77.29567,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29567 11.44284, 77.29288 11.44337)"
62,215,,S,26,216-215,310.15775,15.27,244,,11.44337,77.29288,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29288 11.44337, 77.2903 11.44389)"
63,214,,S,26,215-214,287.455373,1624(1000),239,,11.44389,77.2903,GOOD,GOOD,LT,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2903 11.44389, 77.28755 11.44441)"
64,213,,S,26,214-213,305.658718,1619(1000),232,,11.44441,77.28755,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28755 11.44441, 77.28523 11.4449)"
65,212,,S,26,213-212,258.9928607,14.04,232,,11.4449,77.28523,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28523 11.4449, 77.28252 11.44541)"
66,211,,S,26,212-211,301.1600831,15.75,231,,11.44541,77.28252,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28252 11.44541, 77.27918 11.44602)"
67,210,,S,26,211-210,370.7906011,1627(1000),232,,11.44602,77.27918,GOOD,GOOD,11 KV / LT,TAAR / CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27918 11.44602, 77.27611 11.44667)"
68,209,,S,26,210-209,342.7520318,1631(1000),234,,11.44667,77.27611,GOOD,GOOD,11 KV / LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27611 11.44667, 77.27327 11.44722)"
69,208,,S,26,209-208,315.9296764,1633(1000),237,,11.44722,77.27327,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27327 11.44722, 77.2718 11.44754)"
70,TAPPING 207 A,3W,T,28,208-207 A,164.3241299,1497(1000),239,"75⁰10'9"" RT",11.44754,77.2718,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2718 11.44754, 77.27177 11.44825)"
71,1,,T,24,207A-01,78.63530481,362(1000),237,"11⁰6'23"" LT",11.44825,77.27177,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27177 11.44825, 77.27123 11.45047)"
72,2,,T,24,01-Feb,252.6333375,15.59,238,"9⁰51'30"" RT",11.45047,77.27123,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27123 11.45047, 77.27106 11.45311)"
73,3,,S,26,02-Mar,292.7254927,15.85,236,,11.45311,77.27106,GOOD,GOOD,11 KV / LT,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27106 11.45311, 77.27084 11.45595)"
74,4,,T,26,03-Apr,315.1844749,15.03,235,"15⁰57'52"" RT",11.45595,77.27084,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27084 11.45595, 77.27136 11.45845)"
75,5,,T,24,04-May,282.4076016,4.78,237,"12⁰4'40"" RT",11.45845,77.27136,GOOD,GOOD,11 KV,BHAVANI RIVAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27136 11.45845, 77.27228 11.46052)"
76,6,,S,26,05-Jun,250.1077995,617(1000),238,,11.46052,77.27228,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27228 11.46052, 77.27327 11.46273)"
77,7,,S,26,06-Jul,267.3651812,5.62,238,,11.46273,77.27327,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27327 11.46273, 77.27409 11.46449)"
78,8,,T,26,07-Aug,214.3407682,1.67,237,"17⁰33'55"" LT",11.46449,77.27409,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27409 11.46449, 77.27439 11.46686)"
79,9,,S,26,08-Sep,264.2962589,15.73,237,,11.46686,77.27439,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27439 11.46686, 77.27467 11.46901)"
80,10,,T,26,09-Oct,239.8701188,6.31,237,"16⁰13'32"" RT",11.46901,77.27467,GOOD,GOOD,11 KV / LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27467 11.46901, 77.27596 11.47193)"
81,11,,S,26,10-Nov,352.4679048,3.58,238,,11.47193,77.27596,GOOD,GOOD,11 KV / LT,SAND / CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27596 11.47193, 77.27707 11.47443)"
82,12,,T,24,11-Dec,302.0127069,6.04,242,"0⁰52'15"" RT",11.47443,77.27707,GOOD,GOOD,,SAND/FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27707 11.47443, 77.27818 11.47683)"
83,13,,S,26,Dec-13,291.9098883,9.64,246,,11.47683,77.27818,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27818 11.47683, 77.27939 11.47941)"
84,14,,T,24,13-14,314.5661185,2.06,247,"9⁰42'57"" RT",11.47941,77.27939,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27939 11.47941, 77.28103 11.48176)"
85,15,,T,26,14-15,315.6993888,1574(1000),241,"21⁰19'30"" LT",11.48176,77.28103,GOOD,NO,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28103 11.48176, 77.28108 11.48197)"
86,PERIYAKODIVERY GANTRY,2W,T,20,15 GANTRY,23.87054566,,242,,11.48197,77.28108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
