Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 56,,S,SA,26,57-56,305.0065573,5.72,254,,77.55147222,10.81636111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55147222222222 10.816361111111112, 77.55425 10.816361111111112)"
T.NO 55,,S,SA,26,56-55,302.0016556,6.3,251,,77.55425,10.81636111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55425 10.816361111111112, 77.55694444444444 10.816333333333334)"
T.NO 54,2W,T,SC,26,55-54,295,7.05,254,"22°7'27""",77.55694444,10.81633333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55694444444444 10.816333333333334, 77.5598611111111 10.815166666666668)"
T.NO 53,,S,SA,26,54-53,346.5082972,5.05,253,,77.55986111,10.81516667,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5598611111111 10.815166666666668, 77.56277777777777 10.813944444444445)"
T.NO 52,,S,SA,26,53-52,345.3983208,4.7,249,,77.56277778,10.81394444,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56277777777777 10.813944444444445, 77.56516666666667 10.812972222222223)"
T.NO 51,,S,SA,26,52-51,283.9330907,5.15,248,,77.56516667,10.81297222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56516666666667 10.812972222222223, 77.56791666666666 10.811861111111112)"
T.NO 50,,S,SA,26,51-50,322.7398333,8,252,,77.56791667,10.81186111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56791666666666 10.811861111111112, 77.57044444444445 10.810833333333335)"
T.NO 49,,S,SA,26,50-49,299.7131962,3.35,258,,77.57044444,10.81083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57044444444445 10.810833333333335, 77.57294444444445 10.809805555555556)"
T.NO 48,,S,SA,26,49-48,297.4844534,4.62,255,,77.57294444,10.80980556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57294444444445 10.809805555555556, 77.57549999999999 10.80875)"
T.NO 47,,S,SA,26,48-47,302.6962174,4.95,251,,77.5755,10.80875,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57549999999999 10.80875, 77.57788888888888 10.807777777777778)"
T.NO 46,,S,SA,26,47-46,282.0815485,7.35,245,,77.57788889,10.80777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57788888888888 10.807777777777778, 77.58038888888889 10.806722222222223)"
T.NO 45,,S,SA,26,46-45,297.6927947,5.42,246,,77.58038889,10.80672222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58038888888889 10.806722222222223, 77.58280555555555 10.805722222222222)"
T.NO 44,2W,T,SD,28,45-44,285.6168763,6.1,245,"30°13'27""",77.58280556,10.80572222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58280555555555 10.805722222222222, 77.58541666666666 10.806055555555556)"
T.NO 43,,S,SA,26,44-43,290.9037642,3.95,241,,77.58541667,10.80605556,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58541666666666 10.806055555555556, 77.58836111111111 10.806444444444445)"
T.NO 42,,S,SA,26,43-42,324.1388591,6.28,247,,77.58836111,10.80644444,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58836111111111 10.806444444444445, 77.59136111111111 10.806861111111111)"
T.NO 41,,S,SA,26,42-41,331.4935897,6.85,245,,77.59136111,10.80686111,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59136111111111 10.806861111111111, 77.59419444444444 10.807222222222222)"
T.NO 40,,S,SA,26,41-40,312.2595075,5.38,245,,77.59419444,10.80722222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59419444444444 10.807222222222222, 77.59705555555556 10.807583333333334)"
T.NO 39,,S,SA,26,40-39,315.6738824,5.96,236,,77.59705556,10.80758333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59705555555556 10.807583333333334, 77.59994444444445 10.807972222222222)"
T.NO 38,,S,SA,26,39-38,319.3305497,5.13,236,,77.59994444,10.80797222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59994444444445 10.807972222222222, 77.60266666666666 10.808333333333334)"
T.NO 37,,S,SA,26,38-37,299.9549966,4.1,238,,77.60266667,10.80833333,GOOD,GOOD,4nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60266666666666 10.808333333333334, 77.60558333333333 10.808722222222222)"
T.NO 36,,S,SA,26,37-36,321.1681802,5.31,228,,77.60558333,10.80872222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60558333333333 10.808722222222222, 77.60844444444444 10.809083333333334)"
T.NO 35,,S,SA,26,36-35,315.2284886,4.88,225,,77.60844444,10.80908333,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60844444444444 10.809083333333334, 77.61138888888888 10.809416666666667)"
T.NO 34,,S,SA,26,35-34,324.2344831,6.02,225,,77.61138889,10.80941667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61138888888888 10.809416666666667, 77.6141111111111 10.809861111111111)"
T.NO 33,,S,SA,26,34-33,303.4880558,5.12,232,,77.61411111,10.80986111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6141111111111 10.809861111111111, 77.61675 10.810194444444445)"
T.NO 32,,S,SA,26,33-32,289.7740499,4.3,230,,77.61675,10.81019444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61675 10.810194444444445, 77.61963888888889 10.810611111111111)"
T.NO 31,2W,T,SB,24,32-31,321.6022388,5.93,226,"0°51'31""",77.61963889,10.81061111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61963888888889 10.810611111111111, 77.62233333333333 10.810583333333334)"
T.NO 30,,S,SA,26,31-30,293.0017065,3.03,225,,77.62233333,10.81058333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62233333333333 10.810583333333334, 77.62491666666666 10.810555555555556)"
T.NO 29,,T,SC,26,30-29,283.0017668,2.87,227,"23°26'0""",77.62491667,10.81055556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62491666666666 10.810555555555556, 77.62788888888888 10.810472222222224)"
T.NO 28,,T,SA,26,29-28,325.0553799,3.22,223,,77.62788889,10.81047222,GOOD,GOOD,,"TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62788888888888 10.810472222222224, 77.6301111111111 10.809416666666667)"
T.NO 27,,S,SA,26,28-27,270.7120241,4.81,225,,77.63011111,10.80941667,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6301111111111 10.809416666666667, 77.63238888888888 10.808361111111111)"
T.NO 26,,S,SA,26,27-26,273.366055,5.11,233,,77.63238889,10.80836111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63238888888888 10.808361111111111, 77.63477777777778 10.807277777777779)"
T.NO 25,,S,SA,26,26-25,288.76461,6.71,232,,77.63477778,10.80727778,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63477777777778 10.807277777777779, 77.63708333333334 10.806222222222223)"
T.NO 24,,T,SB,24,25-24,279.2346683,4.12,238,"11°45'45""",77.63708333,10.80622222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63708333333334 10.806222222222223, 77.63933333333334 10.805694444444445)"
T.NO 23,,S,SA,26,24-23,251.318523,3.16,247,,77.63933333,10.80569444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63933333333334 10.805694444444445, 77.6418888888889 10.805111111111112)"
T.NO 22,,S,SA,26,23-22,287,5.36,245,,77.64188889,10.80511111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6418888888889 10.805111111111112, 77.6443888888889 10.804555555555556)"
T.NO 21,,S,SA,26,22-21,280.2802169,6.02,249,,77.64438889,10.80455556,GOOD,GOOD,HT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6443888888889 10.804555555555556, 77.64680555555556 10.803972222222223)"
T.NO 20,,S,SA,26,21-20,274.1039949,5.83,252,,77.64680556,10.80397222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64680555555556 10.803972222222223, 77.64927777777778 10.80338888888889)"
T.NO 19,2W,T,SB,24,20-19,278.0017986,4.32,254,"2°43'52""",77.64927778,10.80338889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64927777777778 10.80338888888889, 77.65202777777779 10.802888888888889)"
T.NO 18,,S,SA,26,19-18,303.4880558,5.54,259,,77.65202778,10.80288889,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65202777777779 10.802888888888889, 77.65472222222223 10.802361111111113)"
T.NO 17,,S,SA,26,18-17,303.2160946,6.27,258,,77.65472222,10.80236111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65472222222223 10.802361111111113, 77.65752777777779 10.801861111111112)"
T.NO 16,,S,SA,26,17-16,310.3868554,5.32,262,,77.65752778,10.80186111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65752777777779 10.801861111111112, 77.66027777777778 10.801388888888889)"
T.NO 15,,S,SA,26,16-15,305.4586715,6.25,263,,77.66027778,10.80138889,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66027777777778 10.801388888888889, 77.66297222222222 10.80088888888889)"
T.NO 14,,S,SA,26,15-14,301.1793486,5.04,264,,77.66297222,10.80088889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66297222222222 10.80088888888889, 77.66566666666667 10.80038888888889)"
T.NO 13,,S,SA,26,14-13,298.1174265,6.07,256,,77.66566667,10.80038889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66566666666667 10.80038888888889, 77.66833333333334 10.799888888888889)"
T.NO 12,,S,SA,26,13-Dec,298.3906835,5.62,251,,77.66833333,10.79988889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66833333333334 10.799888888888889, 77.67113888888889 10.799388888888888)"
T.NO 11,2W,T,SB,24,12-Nov,310.728177,4.96,251,"0°10'20""",77.67113889,10.79938889,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67113888888889 10.799388888888888, 77.67377777777779 10.79888888888889)"
T.NO 10,,S,SA,26,11-Oct,293.6409372,5.39,248,,77.67377778,10.79888889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67377777777779 10.79888888888889, 77.67647222222223 10.798416666666666)"
T.NO 9,,S,SA,26,10-Sep,302.1655176,4.33,250,,77.67647222,10.79841667,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67647222222223 10.798416666666666, 77.67916666666667 10.797916666666666)"
T.NO 8,,S,SA,26,09-Aug,298.7390165,6.28,256,,77.67916667,10.79791667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67916666666667 10.797916666666666, 77.6816388888889 10.797416666666667)"
T.NO 7,,S,SA,26,08-Jul,276.327704,5.87,255,,77.68163889,10.79741667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6816388888889 10.797416666666667, 77.68425 10.797)"
T.NO 6,,S,SA,26,07-Jun,289.2144533,5.61,252,,77.68425,10.797,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68425 10.797, 77.68697222222222 10.7965)"
T.NO 5,,S,SA,26,06-May,302.3325983,5.81,245,,77.68697222,10.7965,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68697222222222 10.7965, 77.68950000000001 10.796111111111111)"
T.NO 4,,S,SA,26,05-Apr,281.0071173,6.13,242,,77.6895,10.79611111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68950000000001 10.796111111111111, 77.69213888888889 10.79561111111111)"
T.NO 3,,T,SD,28,04-Mar,295.1694429,5.92,239,"43°14'59""",77.69213889,10.79561111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69213888888889 10.79561111111111, 77.69444444444444 10.797055555555556)"
T.NO 2,,T,SC,26,03-Feb,299.541316,5.32,243,"24°28'57""",77.69444444,10.79705556,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69444444444444 10.797055555555556, 77.69477777777779 10.797611111111111)"
T.NO 1,,T,SB,24,02-Jan,69.64194139,5.96,244,"4°11'43""",77.69477778,10.79761111,GOOD,GOOD,"3nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69477777777779 10.797611111111111, 77.69502777777778 10.798055555555555)"
GANTRY 110KV MULANUR 110KV SS,2W,,GANTRY,20,1-GANTRY,57.70615219,,242,,77.69502778,10.79805556,GOOD,MISSING,,,PLAIN,110KV MULANUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
