Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-19,,S,DA,26,20-19,324.8291859,3.42,337,,10.71913889,77.38388889,GOOD,GOOD,NO,"2nos 22KV ,LT","MUDROAD, TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38388888888889 10.719138888888889, 77.38541666666667 10.716888888888889)"
T.NO-18,,T,DB,24,19-18,298.9866218,2.18,337,"6°32'53.67""",10.71688889,77.38541667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38541666666667 10.716888888888889, 77.38552777777778 10.716638888888887)"
T.NO-17,,DP,DP,20,18-17,30.41381265,,334,,10.71663889,77.38552778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38552777777778 10.716638888888887, 77.38575 10.71636111111111)"
T.NO-16,,DP,DP,20,17-16,39.8246155,,334,,10.71636111,77.38575,GOOD,GOOD,NO,400KV SC LINE CROSSING ABOVE OUR LINE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38575 10.71636111111111, 77.38611111111112 10.716111111111111)"
T.NO-15,,T,DB,24,16-15,49.40647731,1.34,330,"0°50'6.27""",10.71611111,77.38611111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38611111111112 10.716111111111111, 77.38791666666667 10.714749999999999)"
T.NO-14,,T,DB,24,15-14,247.2003236,1.96,330,"2°41'42.99""",10.71475,77.38791667,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38791666666667 10.714749999999999, 77.38822222222223 10.7145)"
T.NO-13,,DP,DP,20,14-13,44.04543109,,327,,10.7145,77.38822222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38822222222223 10.7145, 77.38850000000001 10.71425)"
T.NO-12,,DP,DP,20,13-Dec,41.77319715,,327,,10.71425,77.3885,GOOD,GOOD,NO,400KV SC LINE CROSSING ABOVE OUR LINE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38850000000001 10.71425, 77.38886111111111 10.714083333333333)"
T.NO-11,,T,DC,26,12-Nov,43.46262762,1.21,328,"16°59'16.11""",10.71408333,77.38886111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38886111111111 10.714083333333333, 77.39077777777779 10.713861111111111)"
T.NO-10,,S,DA,26,11-Oct,209.1602257,1.09,327,,10.71386111,77.39077778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39077777777779 10.713861111111111, 77.39280555555557 10.713472222222222)"
