Tower No,JOINT BOX,Tower Type,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,,SA,S,26,48-49,0.002581735,12.46,232.793549,,11.60209129,77.85993549,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85993548507075 11.602091287689229, 77.86163348273665 11.600373288078588)"
50,,SD,T,28,49-50,0.002615917,6.34,232.588074,"53d6'49""RT",11.60037329,77.86163348,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86163348273665 11.600373288078588, 77.86124348321144 11.597927288663712)"
51,,SA,S,26,50-51,0.001369819,8.26,230.570038,,11.59792729,77.86124348,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86124348321144 11.597927288663712, 77.86086748366779 11.59551228924075)"
52,,SA,S,26,51-52,0.001134496,4.55,226.312256,,11.59551229,77.86086748,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86086748366779 11.59551228924075, 77.86050848410099 11.59309528981857)"
53,,SA,S,26,52-53,0.00019301,2.94,223.209717,,11.59309529,77.86050848,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86050848410099 11.59309528981857, 77.86009248460829 11.590547290428693)"
54,,SA,S,26,53-54,78.71697401,10.13,214.738373,,11.59054729,77.86009248,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86009248460829 11.590547290428693, 77.85969148509442 11.587962291046576)"
55,,SA,S,26,54-55,0,5.08,211.235321,,11.58796229,77.85969149,GOOD,GOOD,"LT-1,HT-2",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85969148509442 11.587962291046576, 77.85947748535438 11.58660929137028)"
56,,SB,T,24,55-56,0,18.14,216.141052," 13d13'58""LT",11.58660929,77.85947749,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85947748535438 11.58660929137028, 77.85956648520963 11.585478291637052)"
57,,SD,T,28,56-57,0,2.57,219.017303,"82d6'31""LT",11.58547829,77.85956649,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85956648520963 11.585478291637052, 77.85974732427343 11.585410836464382)"
74,,SD,T,28,57-74,0,5.21,217.995331," 102d39'42""LT",11.58541084,77.85974732,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edappadi Gantry,,GANTRY,T,20,74-GT,37,,,,,,GOOD,GOOD,,,PLAIN,110Kv Edappadi SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
