Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ Mtrs,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-24,,DA,S,26,23-24,326,15.12,337,,77.33397222,10.57527778,GOOD,GOOD,NO,22KV,MUD ROAD,ROACK,INSIDE BLUE METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33397222222222 10.575277777777778, 77.33602777777777 10.57488888888889)"
T.NO-25,,DB,T,24,24-25,227,HEAVY BUSHES,330,"1°46'57.92""",77.33602778,10.57488889,GOOD,GOOD,NO,,MUD ROAD,PLAIN ,"INSIDE BLUE METAL, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33602777777777 10.57488888888889, 77.33919444444444 10.574388888888889)"
T.NO-26,,DA,S,26,25-26,353,3.05,333,,77.33919444,10.57438889,GOOD,GOOD,NO,"LT, 22KV","MUD ROAD,CANAL, TAAR ROAD",PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33919444444444 10.574388888888889, 77.34208333333333 10.57386111111111)"
T.NO-27,,DA,S,26,26-27,322,4.13,332,,77.34208333,10.57386111,GOOD,GOOD,NO,22KV,"MUD ROAD, CANAL",PLAIN ,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34208333333333 10.57386111111111, 77.34474999999999 10.573444444444444)"
T.NO-28,,DA,S,26,27-28,293,4.15,329,,77.34475,10.57344444,GOOD,GOOD,NO,,"2nos MUD ROAD,CANAL, NALA",PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34474999999999 10.573444444444444, 77.34730555555555 10.573027777777778)"
T.NO-29,,DA,S,26,28-29,285,1.12,324,,77.34730556,10.57302778,GOOD,GOOD,NO,,,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34730555555555 10.573027777777778, 77.35024999999999 10.572555555555555)"
T.NO-30,,DB,T,24,29-30,325,0.8,324,"1°25'26.47""",77.35025,10.57255556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35024999999999 10.572555555555555, 77.35305555555556 10.572027777777777)"
T.NO-31,,DA,S,26,30-31,314,1.15,328,,77.35305556,10.57202778,GOOD,GOOD,NO,3nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35305555555556 10.572027777777777, 77.35555555555555 10.571583333333333)"
T.NO-32,,DA,S,26,31-32,278,3.2,317,,77.35555556,10.57158333,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35555555555555 10.571583333333333, 77.35855555555555 10.571083333333332)"
T.NO-33,,DA,S,26,32-33,333,2.5,325,,77.35855556,10.57108333,GOOD,GOOD,NO,2nos LT,,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35855555555555 10.571083333333332, 77.36108333333333 10.570638888888888)"
T.NO-34,,DA,S,26,33-34,282,5.17,322,,77.36108333,10.57063889,GOOD,GOOD,NO,"LT, 22KV","MUD ROAD, NALA, TAAR ROAD",PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36108333333333 10.570638888888888, 77.36397222222222 10.570166666666667)"
T.NO-35,,DA,S,32,34-35,318,3.4,311,,77.36397222,10.57016667,GOOD,GOOD,NO,LT,,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36397222222222 10.570166666666667, 77.36666666666666 10.569694444444444)"
T.NO-36 (LILO -1 TO MADATHUKULAM 110KV),2W,DD,LILO,34,35-36 LILO-1,302,3.2,305,"77°43'23.73""",77.36666667,10.56969444,GOOD,GOOD,NO,"LT, 22KV",TAAR ROAD (SH),PLAIN ,"NEED 3WAY JUNCTION BOX. 2 EARTH WIRE, 1E/W CONTINUE TO OUR T.NO-2 ANOTHER E/W CONNECT TO SEMBATTY 230KV T.NO-37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36666666666666 10.569694444444444, 77.36677777777777 10.569916666666666)"
T.NO-2,,DP,DP,20,LILO-1-2,27,,305,,77.36677778,10.56991667,GOOD,GOOD,NO,,,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36677777777777 10.569916666666666, 77.36708333333333 10.570638888888888)"
T.NO-3,,DP,DP,20,02-Mar,86,,308,,77.36708333,10.57063889,GOOD,MISSING,NO,110KV SC LINE IS GOING ABOVE OUR LINE,MUD ROAD,PLAIN ,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36708333333333 10.570638888888888, 77.3676111111111 10.571416666666666)"
T.NO-4,,DB,T,24,03-Apr,105,4.56,308,"9°37'56.13""",77.36761111,10.57141667,GOOD,GOOD,NO,,MUD ROAD,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3676111111111 10.571416666666666, 77.36877777777777 10.573972222222222)"
T.NO-5,,DB,T,24,04-May,310,6.09,313,"12°41'9.79""",77.36877778,10.57397222,GOOD,GOOD,NO,3nos 22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36877777777777 10.573972222222222, 77.3688611111111 10.574388888888889)"
110KV MADATHUKALAM GANTRY,2W,GANTRY,GANTRY,20,5-GANTRY,47,,306,,77.36886111,10.57438889,GOOD,MISSING,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
