SL NO,Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,71,,DB,T,24,72-71,200.2193492,5.01,309,"1⁰25'10"" LT",11.43952,78.47706,GOOD,GOOD,LT LINE -4,CANAL,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47706 11.43952, 78.47865 11.43756)"
12,70,,DB,T,24,71-70,277.8381531,8.12,313,"14⁰2'48"" LT",11.43756,78.47865,GOOD,GOOD,LT LINE-2 ,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47865 11.43756, 78.48094 11.43584)"
13,69,,DC,T,26,70-69,314.2485116,6.75,311,"29⁰34'8"" RT",11.43584,78.48094,GOOD,GOOD,LT LINE-1,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48094 11.43584, 78.48172 11.43404)"
14,68,2W,DC,T,26,69-68,216.6580858,11.16,311,"27⁰1'32"" RT",11.43404,78.48172,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48172 11.43404, 78.48161 11.43244)"
15,67,,DC,T,26,68-67,177.4900498,3.01,309,"27⁰58'49"" LT",11.43244,78.48161,GOOD,GOOD,"400 KV CROSSING NYV - SLM, 22 KV LINE CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48161 11.43244, 78.48273 11.42997)"
16,66,,DB,T,24,67-66,299.4764923,1.09,311,"8⁰56'49"" LT",11.42997,78.48273,GOOD,GOOD,,SAND ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48273 11.42997, 78.48395 11.42812)"
17,65,,DB,T,24,66-65,244.2684945,8.76,309,"0⁰45'41"" RT",11.42812,78.48395,GOOD,GOOD,LT LINE-3,SAND ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48395 11.42812, 78.48509 11.42634)"
18,64,,DC,T,26,65-64,233.0319478,10.79,312,"19⁰41'37"" RT",11.42634,78.48509,GOOD,GOOD,LT LINE -2,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48509 11.42634, 78.48557 11.42422)"
19,63,,DB,T,24,64-63,240.4165032,1.06,311,"1⁰19'19"" LT ",11.42422,78.48557,GOOD,GOOD,22 KV LINE CROSSING-2,SAND ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48557 11.42422, 78.48614 11.42195)"
20,62,,DC,T,26,63-62,258.8297777,4.36,313,"23⁰ 2'11"" LT",11.42195,78.48614,GOOD,GOOD,,SAND ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48614 11.42195, 78.48752 11.42014)"
21,61,,DB,T,24,62-61,250.6670211,8.91,315,"12⁰12'18"" RT",11.42014,78.48752,GOOD,GOOD,LT LINE -3 ,CANAL,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48752 11.42014, 78.4886346 11.4176842)"
22,60,,DB,T,24,61-60,295.0357849,3.91,318,"0⁰1'46"" LT",11.4176842,78.4886346,GOOD,GOOD,LT LINE -2 \  22 KV LINE -1,SAND ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4886346 11.4176842, 78.48982 11.41522)"
23,59,,DC,T,26,60-59,304.6128356,5.03,324,"18⁰0'42"" RT",11.41522,78.48982,GOOD,GOOD,,TAR ROAD -2,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48982 11.41522, 78.4901 11.41289)"
24,58,,DD,T,28,59-58,259.6815964,8.36,331,"57⁰55'30"" RT",11.41289,78.4901,GOOD,GOOD,LT LINE - 1,POND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4901 11.41289, 78.48801 11.41123)"
25,57,,DD,T,28,58-57,292.9729324,1.08,314,"37⁰59'30"" LT",11.41123,78.48801,GOOD,GOOD,,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48801 11.41123, 78.4875 11.40908)"
26,56,,DC,T,24,57-56,244.383543,2.31,304,"12⁰12'46"" RT",11.40908,78.4875,GOOD,GOOD,,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4875 11.40908, 78.48649 11.40698)"
27,55,2W,DB,T,26,56-55,257.2584511,8.28,301,,11.40698,78.48649,GOOD,GOOD,LT LINE -1 ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48649 11.40698, 78.4861111111111 11.4044444444444)"
,,,,,,,,,,,11.40444444,78.48611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
