S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,25,,B,T,24,24-25,331.7198716,2.35,186,"9⁰6'8"" RT",11.5292,78.72207,GOOD,GOOD,400KV PUGALUR TO THIRUVALAM  LINE CROSSING NEW LINE,SAND ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72207 11.5292, 78.721125 11.526544)"
27,26,,A,S ,26,25-26,311.4773596,0.65,181,,11.526544,78.721125,GOOD,GOOD,"222KV CROSSING,LT LINE CROSSING 1",TAR ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.721125 11.526544, 78.72015 11.52382)"
28,27,,A,S ,26,26-27,319.6627509,0.76,181,,11.52382,78.72015,GOOD,GOOD,LT LINE CROSSING 1,CANAL CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72015 11.52382, 78.71916 11.52122)"
29,28,,A,S ,26,27-28,307.3296128,0.56,182,,11.52122,78.71916,GOOD,GOOD,LT LINE CROSSING 3,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71916 11.52122, 78.71824 11.51871)"
30,29,2W,C,T,26,28-29,295.3435256,0.88,187,"26⁰31'8"" RT",11.51871,78.71824,GOOD,GOOD,"LT LINE CROSSING 3,22KV LINE CROSSING(1)","SAND ROAD (2),WIRE CABLE (1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71824 11.51871, 78.71626 11.51685)"
31,30,,A,S ,26,29-30,298.4223457,1.67,187,,11.51685,78.71626,GOOD,GOOD,LT LINE CROSSING 1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71626 11.51685, 78.71426 11.51493)"
32,31,,A,S ,26,30-31,304.601489,0.73,188,,11.51493,78.71426,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71426 11.51493, 78.71226 11.51306)"
33,32,,A,S ,26,31-32,300.7697134,3.48,189,,11.51306,78.71226,GOOD,GOOD,"LT LINE CROSSING 1,22KV LINE(1)","SAND ROAD.(2) ,WIRE CABLE (1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71226 11.51306, 78.71041 11.51132)"
34,33,,C,T,26,32-33,278.9948628,1.28,189,"22⁰55'17"" RT",11.51132,78.71041,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71041 11.51132, 78.70781 11.51035)"
35,34,,A,S ,26,33-34,303.3769141,2.35,192,,11.51035,78.70781,GOOD,GOOD,"LT LINE CROSSING 1,22KV LINE(1)",SAND ROAD (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70781 11.51035, 78.70538 11.50944)"
36,35,,A,S ,26,34-35,283.6762811,4.62,193,,11.50944,78.70538,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70538 11.50944, 78.70277 11.50845)"
37,36,,A,S ,26,35-36,305.1881985,0.78,194,,11.50845,78.70277,GOOD,GOOD,"LT LINE CROSSING 2, 400 KV LINE CROSSING (PGR-KVB)",WIRE CABLE (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70277 11.50845, 78.7002 11.50752)"
38,37 TAPPING,,B,T,24,36-37,298.7675609,1.65,197,"0⁰12'31"" LT",11.50752,78.7002,GOOD,GOOD,LT LINE CROSSING 1,                                                                           ,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7002 11.50752, 78.69785 11.50666)"
39,38,,A,S ,26,37-38,273.5615153,0.29,199,,11.50666,78.69785,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69785 11.50666, 78.69554 11.50577)"
40,39,,A,S ,26,38-39,270.664371,0.54,201,,11.50577,78.69554,GOOD,GOOD,LT LINE CROSSING 2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69554 11.50577, 78.6932 11.50493)"
41,40,,A,S ,26,39-40,271.7759829,1.49,202,,11.50493,78.6932,GOOD,GOOD,LT LINE CROSSING 1,TAR ROAD (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6932 11.50493, 78.69136 11.50426)"
42,41,,C,T,26,40-41,214.066352,0.98,203,"18⁰54'48"" LT",11.50426,78.69136,GOOD,GOOD,,"SAND ROAD (1), TAR ROAD (1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69136 11.50426, 78.68922 11.50254)"
43,42,,A,S ,26,41-42,301.2943211,1.03,203,,11.50254,78.68922,GOOD,GOOD,LT LINE CROSSING (1),                                                                                                                                                                                                                    ,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68922 11.50254, 78.68731 11.50103)"
44,43 LILO,3W,C,T,26,42-43,267.1647095,3.21,205,"26⁰13'59"" RT",11.50103,78.68731,GOOD,GOOD,"LT LINE CROSSING 2,22KV LINE(2)","TAR ROAD 1, THEDAVUR TO ATTUR",,LILO TO THEDAVUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68731 11.50103, 78.68502 11.50053)"
45,44,,A,S ,26,43-44,255.9849085,0.76,225,,11.50053,78.68502,GOOD,GOOD,LT LINE CROSSING 1,SPAIR LINE C ABLE 1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68502 11.50053, 78.68269 11.50004)"
46,45,,A,S ,26,44-45,260.0168886,0.95,205,,11.50004,78.68269,GOOD,GOOD,LT LINE CROSSING 1,TAR ROAD 1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68269 11.50004, 78.68021 11.49951)"
47,46,,D,T,28,45-46,276.9537344,0.26,207,"30⁰12'24"" LT",11.49951,78.68021,GOOD,GOOD,LT LINE CROSSING 1,"TAR ROAD 2,CANAL CROSSING ",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68021 11.49951, 78.67838 11.49786)"
48,47,,C,T,26,46-47,270.6147579,0.84,206,"29⁰32'17"" RT",11.49786,78.67838,GOOD,GOOD,22KV LINE 2,TAR ROAD,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67838 11.49786, 78.67621 11.49737)"
49,48,,A,S ,26,47-48,242.9687218,1.67,206,,11.49737,78.67621,GOOD,GOOD,"LT LINE CROSSING 3,22KV LINE(1)",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67621 11.49737, 78.67394 11.49687)"
50,49,,A,S ,26,48-49,253.8591693,1.08,206,,11.49687,78.67394,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67394 11.49687, 78.671833 11.49642)"
51,50,,B,T,24,49-50,235.2961543,1.34,209,"9⁰41'18"" LT",11.49642,78.671833,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.671833 11.49642, 78.66911 11.49534)"
52,51,,A,S ,26,50-51,320.3308511,3.76,209,,11.49534,78.66911,GOOD,,LT LINE CROSSING 4,,SUVETHA NATHI RIVER CROSSING 1,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66911 11.49534, 78.6663 11.49425)"
53,52,,A,S ,26,51-52,329.5649493,2.33,208,,11.49425,78.6663,GOOD,,22KV LINE CROSSING 1,,RIVER CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6663 11.49425, 78.6637 11.49331)"
54,53,,A,S ,26,52-53,302.2433705,10.97,207,,11.49331,78.6637,GOOD,,"400KV LINE CROSSINGPGR-KVP 348-349 ,LT LINE CROSSING 1,",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6637 11.49331, 78.66168 11.49253)"
55,54,,B,T,24,53-54,236.7697751,10.86,207,"2⁰42'26"" RT",11.49253,78.66168,GOOD,,LT LINE-1,,CANAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66168 11.49253, 78.65961 11.49184)"
56,55,,A,S ,26,54-55,238.4876176,2.35,207,,11.49184,78.65961,GOOD,,"LT LINE 1,22KV LINE",AGGRIGATE ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65961 11.49184, 78.65741 11.49113)"
57,56,2W,C,T,26,55-56,252.6511422,1.13,208,"16⁰11'4"" LT",11.49113,78.65741,GOOD,,LT LINE 1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65741 11.49113, 78.65527 11.48969)"
58,57,,A,S ,26,56-57,282.7574972,0.97,288,,11.48969,78.65527,GOOD,,LT LINE 1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65527 11.48969, 78.653 11.48814)"
59,58,,A,S ,26,57-58,301.3476378,0.66,210,,11.48814,78.653,GOOD,,LT LINE 2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.653 11.48814, 78.65086 11.48666)"
60,59,,B,T,24,58-59,285.2785136,3.27,219,"10⁰17'43"" RT",11.48666,78.65086,GOOD,,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65086 11.48666, 78.64855 11.48561)"
61,60,,A,S ,26,59-60,277.6224746,2.76,221,,11.48561,78.64855,GOOD,,"LT LINE 2, 22KV LINE 1",TAR ROAD CROSSING,CANAL CROSSING,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64855 11.48561, 78.64635 11.48456)"
62,61,,A,S ,26,60-61,266.7667966,1.13,220,,11.48456,78.64635,GOOD,,LT  LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64635 11.48456, 78.64406 11.48353)"
63,62,,A,S ,26,61-62,274.7182478,1.64,222,,11.48353,78.64406,GOOD,,LT LINE-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64406 11.48353, 78.64184 11.48246)"
64,63,,D,T,28,62-63,269.7003389,1.9,223,"35⁰20'21"" RT",11.48246,78.64184,GOOD,,22KV- 1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64184 11.48246, 78.63961 11.48282)"
65,64,,A,S ,26,63-64,246.6470449,1.79,226,,11.48282,78.63961,GOOD,,LT LINE-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63961 11.48282, 78.63741 11.48317)"
66,65,,A,S ,26,64-65,243.2374728,6.99,225,,11.48317,78.63741,GOOD,,"LT LINE-2, 765KV LINE CROSSING(NEW TOWER CONSTRUTED)",,CANAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63741 11.48317, 78.63541 11.48346)"
67,66,,C,T,26,65-66,220.6499146,0.76,226,"25⁰30'6"" LT",11.48346,78.63541,GOOD,,WIRE CABLE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63541 11.48346, 78.63301 11.48273)"
68,67,,A,S ,26,66-67,274.1384645,2.34,226,,11.48273,78.63301,GOOD,,LT LINE 2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63301 11.48273, 78.63055 11.482)"
69,68,2W,B,T,24,67-68,280.4045383,10.68,227,"8⁰49'6"" LT",11.482,78.63055,GOOD,,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63055 11.482, 78.6286 11.48108)"
70,69,,B,T,24,68-69,235.9452203,9.82,229,"10⁰36'4"" RT",11.48108,78.6286,GOOD,,LT LINE 1,,SUVETHA NATHI RIVER CROSSING 1,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6286 11.48108, 78.62621 11.48045)"
71,70,,A,S ,26,69-70,270.0323234,1.76,229,,11.48045,78.62621,GOOD,,LT LINE 2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62621 11.48045, 78.62395 11.47986)"
72,71,,A,S ,26,70-71,255.1822512,1.24,230,,11.47986,78.62395,GOOD,,LT LINE 2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62395 11.47986, 78.62198 11.47932)"
73,72,,A,S ,26,71-72,223.1832578,1.07,232,,11.47932,78.62198,GOOD,,,,,"FENCING, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62198 11.47932, 78.61995 11.47879)"
74,73,,D,T,28,72-73,229.2151197,13.22,234,"47⁰3'2"" LT",11.47879,78.61995,GOOD,,LT LINE 2,SAND ROAD CROSSING,,"TOWER IN TOMATO FARM, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61995 11.47879, 78.61885 11.47676)"
75,74,,A,S ,26,73-74,254.7268958,0.84,235,,11.47676,78.61885,GOOD,,"LT LINE 1,22 KV LINE 3",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61885 11.47676, 78.61782 11.47494)"
76,75,,D,T,28,74-75,230.6681565,2.37,233,"50⁰26'40"" RT",11.47494,78.61782,GOOD,,LT LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61782 11.47494, 78.61522 11.47447)"
77,76,,D,T,28,75-76,288.5340304,1.42,236,"40⁰37'2"" LT",11.47447,78.61522,GOOD,,"LT LINE 2,WIRE CABLE CROSSING","TAR ROAD CROSSING,SAND ROAD CROSSING",CANAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61522 11.47447, 78.61357 11.47246)"
78,77,,A,S ,26,76-77,286.2149349,2.03,264,,11.47246,78.61357,GOOD,,LT LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61357 11.47246, 78.612 11.47062)"
79,78,,A,S ,26,77-78,266.1473618,2.84,235,,11.47062,78.612,GOOD,,LT LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.612 11.47062, 78.61021 11.4685)"
80,79,,A,S ,26,78-79,305.323959,4.28,237,,11.4685,78.61021,GOOD,,"LT LINE 1,WIRE CABLE CROSSING",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61021 11.4685, 78.60863 11.46664)"
81,80,,A,S ,26,79-80,268.5464536,4.81,237,,11.46664,78.60863,GOOD,,"LT LINE 1,22 KV LINE 1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60863 11.46664, 78.60711 11.46484)"
82,81,,A,S ,26,80-81,259.2524885,6.78,237,,11.46484,78.60711,GOOD,,LT LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60711 11.46484, 78.60575 11.4632)"
83,82,2W,C,T,26,81-82,234.4790712,2.95,240,"23⁰24'11"" RT",11.4632,78.60575,GOOD,,LT LINE 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60575 11.4632, 78.6031 11.46185)"
84,83,,B,T,24,82-83,325.5817865,10.81,240,"8⁰00'36"" RT",11.46185,78.6031,GOOD,,LT LINE 1,SAND ROAD CROSSING 1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6031 11.46185, 78.60064 11.461)"
85,84,,A,S ,26,83-84,284.5395004,12.81,241,,11.461,78.60064,GOOD,,"LT LINE 2,22KV LINE 1",,CANAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60064 11.461, 78.59828 11.46023)"
86,85,,C,T,26,84-85,271.3527945,9.16,240,"25⁰47'8"" RT",11.46023,78.59828,GOOD,,LT LINE 2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59828 11.46023, 78.59581 11.46055)"
87,86,,D,T,28,85-86,271.9497826,4.38,243,"43⁰36'44"" RT",11.46055,78.59581,GOOD,,LT LINE 3,,,"AGRICULTURE LAND,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59581 11.46055, 78.59437 11.46231)"
88,87,,D,T,28,86-87,250.2957881,0.26,246,"30⁰40'34"" LT",11.46231,78.59437,GOOD,,"LT LINE 1,WIRE CABLE CROSSING 1,22KV LINE 2","TAR ROAD CROSSING,SAND ROAD CROSSING",,"AGRICULTURE LAND,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59437 11.46231, 78.59181 11.46325)"
