Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,2W,SD,T,28,23-24,0.001967232,2.6,240.765244," 55d16'22"" LT",11.64956728,77.95767235,GOOD,GOOD,LT-2,CARTRACK-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95767234693882 11.649567277091899, 77.95692334788049 11.648247277086258)"
25,,SB,T,24,24-25,0.002335689,3.85,239.407089,"12d3'21""RT",11.64824728,77.95692335,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95692334788049 11.648247277086258, 77.95499435099157 11.646046273690152)"
26,,SA,S,26,25-26,0.001692269,6.2,230.460724,,11.64604627,77.95499435,GOOD,GOOD,LT-4,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95499435099157 11.646046273690152, 77.95309535392575 11.643948273978381)"
27,,SC,T,26,26-27,0.001932379,4.9,231.387436,"25d52'41""RT",11.64394827,77.95309535,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95309535392575 11.643948273978381, 77.95116835692681 11.643147278124975)"
28,,SA,S,26,27-28,0.002787433,7.35,231.666046,,11.64314728,77.95116836,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95116835692681 11.643147278124975, 77.94935135964901 11.64239327371181)"
29,,SA,S,26,28-29,0.001990571,5.15,241.109497,,11.64239327,77.94935136,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94935135964901 11.64239327371181, 77.94719436295685 11.641497277401076)"
30,,SB,T,24,29-30,0.002132984,2.34,235.292755," 13d55'57""LT",11.64149728,77.94719436,GOOD,GOOD,LT-2,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94719436295685 11.641497277401076, 77.94552036493418 11.641249273996012)"
31,,SA,S,26,30-31,0.002417171,3.79,236.836609,,11.64124927,77.94552036,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94552036493418 11.641249273996012, 77.9436123674763 11.640943279819227)"
32,,SC,T,26,31-32,0.001997576,6.84,238.358459,"21d13'53""LT",11.64094328,77.94361237,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9436123674763 11.640943279819227, 77.94119337109233 11.639558275493435)"
33/1 LILO,3W,SD,T,26,32-33/1,0.00258876,2.35,236.365417,,11.63955828,77.94119337,GOOD,GOOD,LT-1,,PLAIN,Tapping to Jalakandapuram line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94119337109233 11.639558275493435, 77.9420743699985 11.637773278243918)"
2,,DD,T,28,33/1- 2,0.001860117,3.3,237.387115,"35d42'41""LT",11.63777328,77.94207437,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9420743699985 11.637773278243918, 77.94170637048646 11.635672278748261)"
3,,DB,T,24,02-Mar,0.002245844,6.45,238.202423,"6d23'16""LT",11.63567228,77.94170637,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94170637048646 11.635672278748261, 77.94101437144548 11.633356279307222)"
4,,DB,T,24,03-Apr,0.002935168,6.1,244.800079,"7d20'14""RT",11.63335628,77.94101437,GOOD,GOOD,LT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94101437144548 11.633356279307222, 77.94070837184505 11.63138227978015)"
5,,DD,T,28,04-May,0.00168084,5.65,248.414871,"69d25'19""LT",11.63138228,77.94070837,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94070837184505 11.63138227978015, 77.93817237555704 11.630862279936128)"
6,,DD,T,28,05-Jun,0.002314236,4.75,249.771484,"50d47'45""RT",11.63086228,77.93817238,GOOD,GOOD,"LT-3,HT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93817237555704 11.630862279936128, 77.93729837679675 11.629220280337108)"
7,,DC,T,26,06-Jul,0.001698528,3.4,247.614868,"25d5'31""RT",11.62922028,77.93729838,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93729837679675 11.629220280337108, 77.93720737687308 11.626976280871288)"
8,,DB,T,24,07-Aug,0.000545983,7.2,247.001648,"3d37'4""LT",11.62697628,77.93720738,GOOD,GOOD,"LT-1,HT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93720737687308 11.626976280871288, 77.93689037726344 11.624058281568947)"
9,,DB,T,24,08-Sep,0.000230253,9.55,257.031372,"12d46'27""LT",11.62405828,77.93689038,GOOD,GOOD,LT-3,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93689037726344 11.624058281568947, 77.93634237802588 11.622469281953776)"
10,,DD,T,28,09-Oct,78.79434783,2.15,257.773651," 30d25'35""LT",11.62246928,77.93634238,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93634237802588 11.622469281953776, 77.9345783805691 11.620971282331713)"
11,,DB,T,24,10-Nov,0,6.35,282.151947," 5d24'5""RT",11.62097128,77.93457838,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9345783805691 11.620971282331713, 77.93338738227864 11.61976028263422)"
12,,DD,T,28,11-Dec,0,3.35,281.897858," 40d55'44""LT",11.61976028,77.93338738,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93338738227864 11.61976028263422, 77.93284438306982 11.619703282654793)"
13,,DD,T,28,Dec-13,0,0.48,282.306976," 108d4'17""LT",11.61970328,77.93284438,GOOD,GOOD,HT-4,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93284438306982 11.619703282654793, 77.93283262818609 11.619933234977543)"
Gantry,2W,GT,T,20,13-GT,24,,,,11.61993323,77.93283263,GOOD,GOOD,,,PLAIN,110Kv Ettikuttamedu SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
