Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,,D,T,28,40-39,249,245.1326355,0.12,203,"3511'12""      RT",11.21796,77.95198,GOOD,GOOD,,,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95198 11.21796, 77.95096 11.21596)"
38,,A,S,26,39-38,252,247.912364,1.34,200,,11.21596,77.95096,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95096 11.21596, 77.95016 11.21434)"
37,,A,S,26,38-37,202,199.5376039,1.07,199,,11.21434,77.95016,GOOD,GOOD,LT-1,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95016 11.21434, 77.94913 11.21224)"
36,,D,T,28,37-36,263,258.3237917,2.25,200,"4639'37""      LT",11.21224,77.94913,GOOD,GOOD,"LT-1, 22KV-1",TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94913 11.21224, 77.95012 11.20967)"
35,,A,S,26,36-35,309,304.4178273,0.68,196,,11.20967,77.95012,GOOD,GOOD,"LT-2,11KV-1, WIRE CABLE CROSSING",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95012 11.20967, 77.95101 11.20722)"
34,,C,T,24,35-34,291,288.1672055,1.92,199,"1247'51""  RT",11.20722,77.95101,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95101 11.20722, 77.95126 11.20519)"
33,,A,S,26,34-33,230,226.4049918,0.86,201,,11.20519,77.95126,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95126 11.20519, 77.95161 11.20254)"
32,,D,T,26,33-32,301,295.8764778,1.69,199,"1716'10""      RT",11.20254,77.95161,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95161 11.20254, 77.95109 11.19958)"
31,,A,S,26,32-31,338,332.6068305,4.86,194,,11.19958,77.95109,GOOD,GOOD,,"FENCING CROSSING-1, TAR ROAD CROSSING-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95109 11.19958, 77.95056 11.1969)"
30,,A,S,26,31-30,307,302.3168449,1.54,195,,11.1969,77.95056,GOOD,GOOD,LT-1,SAND ROAD CROSSING-1,CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95056 11.1969, 77.94995 11.19427)"
29,2W,B,T,24,30-29,302,298.7152089,3.47,202,"24'5""   RT",11.19427,77.94995,GOOD,GOOD,,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94995 11.19427, 77.94933 11.19198)"
28,,A,S,26,29-28,266,262.4370993,0.63,198,,11.19198,77.94933,GOOD,GOOD,22KV-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94933 11.19198, 77.94868 11.18954)"
27,,A,S,26,28-27,283,279.3299525,0.24,198,,11.18954,77.94868,GOOD,GOOD,LT-1,TAR ROAD CROSSING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94868 11.18954, 77.94818 11.18752)"
26,,A,S,26,27-26,234,230.2239628,3.92,202,,11.18752,77.94818,GOOD,GOOD,"LT-3,  WIRE CABLE CROSSING-1","SAND ROAD CROSSING, FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94818 11.18752, 77.94746 11.18453)"
25,,A,S,26,26-25,343,340.2620675,9.81,198,,11.18453,77.94746,GOOD,GOOD,"LT-1, WIRE CABLE-1",TAR ROAD CROSSING,FENCING CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94746 11.18453, 77.94686 11.182)"
24,,B,T,24,25-24,289,287.6822575,3.17,197,"1215'21""      RT",11.182,77.94686,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94686 11.182, 77.94581 11.17982)"
23,,A,S,26,24-23,269,267.2592549,1.98,198,,11.17982,77.94581,GOOD,GOOD,LT-3,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94581 11.17982, 77.94479 11.17779)"
22,,B,T,24,23-22,254,250.8881346,3.18,199,"854'12"" RT",11.17779,77.94479,GOOD,GOOD,,,FENCING CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94479 11.17779, 77.94317 11.17553)"
21,,A,S,26,22-21,307,306.5432619,1.05,202,,11.17553,77.94317,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94317 11.17553, 77.94143 11.17319)"
20,,A,S,26,21-20,322,321.4003299,1.94,198,,11.17319,77.94143,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94143 11.17319, 77.93977 11.17106)"
19,,A,S,26,29-19,299,297.559788,0.32,213,,11.17106,77.93977,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93977 11.17106, 77.93803 11.16889)"
18,,A,S,26,19-18,307,306.4325931,4.87,192,,11.16889,77.93803,GOOD,GOOD,WIRE CABLE CROSSING-1,SAND ROAD CROSSING,HOUSE HOLDING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93803 11.16889, 77.93644 11.16692)"
17,,B,T,24,18-17,283,278.8953377,1.16,190,"129'48"" LT",11.16692,77.93644,GOOD,GOOD,LT-1,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93644 11.16692, 77.93462 11.16454)"
16 TAPPING POINT,2W,T,T,24,17-16,334,330.1770578,0.74,186,"527'23""   LT",11.16454,77.93462,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93462 11.16454, 77.93305 11.16202)"
15,,D,T,28,16-15,333,327.5620735,1.34,187,"502'53""   LT",11.16202,77.93305,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93305 11.16202, 77.9338 11.1598)"
14,,A,S,26,15-14,261,259.096591,0.42,183,,11.1598,77.9338,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9338 11.1598, 77.93427 11.15833)"
13,,A,S,26,14-13,174,170.6654682,0.82,183,,11.15833,77.93427,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93427 11.15833, 77.93526 11.15542)"
12,,A,S,26,13-Dec,343,339.8665944,0.16,180,,11.15542,77.93526,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93526 11.15542, 77.93613 11.1529)"
11,,B,T,24,12-Nov,295,294.7623391,0.53,181,"515'9""    LT",11.1529,77.93613,GOOD,GOOD,,SAND ROAD CROSSING,SMALL PIT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93613 11.1529, 77.93694 11.15111)"
10,,A,S,26,11-Oct,219,217.060658,0.77,179,,11.15111,77.93694,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93694 11.15111, 77.93794 11.14903)"
9,,A,S,26,10-Sep,259,254.9162126,0.67,180,,11.14903,77.93794,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93794 11.14903, 77.93921 11.14667)"
8,,D,T,26,09-Aug,301,295.8827798,1.24,178,"1914'27""      LT",11.14667,77.93921,GOOD,GOOD,"LT LINE CROSSING,11KV LINE CROSSING",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93921 11.14667, 77.94083 11.14519)"
7,,A,S,26,08-Jul,245,241.28306,0.48,182,,11.14519,77.94083,GOOD,GOOD,LT-2,,,"AGRICULTURE LAND, DRUMSTICK FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94083 11.14519, 77.94193 11.1442)"
6,,B,T,24,07-Jun,164,162.7161376,0.32,185,"620'27"" RT",11.1442,77.94193,GOOD,GOOD,,SAND ROAD CROSSING-1,TOWER IN REAL ESTATE(PLOT) AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94193 11.1442, 77.94363 11.14229)"
5,,A,S,26,06-May,287,281.5327243,1.08,182,,11.14229,77.94363,GOOD,GOOD,11KV-1,SAND ROAD CROSSING-1,TOWER IN REAL ESTATE(PLOT) AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94363 11.14229, 77.9454 11.14029)"
4,,D,T,28,05-Apr,301,294.0717787,0.26,179,"5114'14""  LT",11.14029,77.9454,GOOD,GOOD,LT-2,TAR ROAD CROSSING-1,TOWER IN REAL ESTATE(PLOT) AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9454 11.14029, 77.94807 11.1404)"
3,,B,T,24,04-Mar,294,292.1701083,0.14,174,"438'37""    RT",11.1404,77.94807,GOOD,GOOD,"LT-1, 11KV-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94807 11.1404, 77.94987 11.14033)"
2,,D,T,26,03-Feb,199,196.950335,1.53,173,"2412'36""   RT",11.14033,77.94987,GOOD,GOOD,"LT-2,11KV-4",TAR ROAD CROSSING-1,COMPOUND WALL CROSSING-1,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94987 11.14033, 77.95166 11.13945)"
1,,D,T,26,02-Jan,221,218.6154558,0.3,173,"2057'30"" LT",11.13945,77.95166,GOOD,GOOD,"LT-1,11KV-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95166 11.13945, 77.95187 11.13943)"
KABILARMALAI GANTRY,2W,Gantry,T,20,1-GANTRY,23,23.06639822,,174,,11.13943,77.95187,GOOD,GOOD,11KV-1,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
