Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
313,S,26,314 to 313,248.12976460339556,13.1,248,,11.1516,77.61218,GOOD,GOOD,,Canal,agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61218 11.1516, 77.6109 11.14939)"
312/1,T,28,313 to 132 ,281.7909236547894,0.85,245,"79°54'4"" RT",11.14939,77.6109,GOOD,GOOD,,,Water logged,tower No. 312/1 tapping to Chennimalai 11kv  SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6109 11.14939, 77.60852 11.15023)"
2,T,26,312 /1 to 2,276.2452961022543,0.9,250,"16°52'6"" RT",11.15023,77.60852,GOOD,GOOD,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60852 11.15023, 77.606422 11.151765)"
3,T,28,2 to 3,285.3884559684223,12.8,254,"39°50'7"" LT",11.151765,77.606422,GOOD,GOOD,,Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.606422 11.151765, 77.604455 11.151653)"
4,S,26,3 to 4,215.3444166463393,12.2,257,,11.151653,77.604455,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.604455 11.151653, 77.602893 11.15154)"
5,T,28,4 to 5 ,171.1793636983089,6.8,258,"47°10'12"" LT",11.15154,77.602893,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.602893 11.15154, 77.601588 11.149928)"
6,T,26,5 to 6,228.42432113780924,,254,"27°4'11"" LT",11.149928,77.601588,GOOD,GOOD,,"Tar Road ,Sand Road",,In side the Chennimalai 110 kv SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.601588 11.149928, 77.60152 11.1496)"
Chennimalai Gantry  ,T,20,6 to Gantry ,37.05668994242066,,258,,11.1496,77.60152,GOOD,GOOD,,,, Gantry In side the Chennimalai 110 kv SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,=SUM(E8:E47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
