Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 52,,T,DC,26,51-52,225.1621638,4.31,405,"23°39'18""",77.08063889,10.96361111,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08063888888888 10.96361111111111, 77.08263888888888 10.965444444444444)"
T.NO 53,,S,DA,26,52-53,298.5632261,6.32,404,,77.08263889,10.96544444,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08263888888888 10.965444444444444, 77.08422222222222 10.966805555555556)"
T.NO 54,,T,DB,24,53-54,229.6301374,5.11,398,"6°24'1""",77.08422222,10.96680556,GOOD,GOOD,HT,,CULTI VACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08422222222222 10.966805555555556, 77.08608333333333 10.968916666666667)"
T.NO 55,,S,DA,26,54-55,309.1278053,4.31,400,,77.08608333,10.96891667,GOOD,GOOD,,2nos MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08608333333333 10.968916666666667, 77.08777777777777 10.970722222222223)"
T.NO 56,,T,DB,24,55-56,270.48475,4.01,398,"9°1'57""",77.08777778,10.97072222,GOOD,GOOD,,"POND,MUD ROAD",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08777777777777 10.970722222222223, 77.08822222222221 10.971416666666666)"
T.NO 57A,,T,DD,28,56-57A,93.49331527,4.52,399,"76°6'41""",77.08822222,10.97141667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08822222222221 10.971416666666666, 77.08872222222222 10.97175)"
T.NO 57C LILO EDAYARPALAYAM SS & IRGUR SS,2W,T,DC,26,57A-57C,78.26237921,5.38,402,"16°15'37""",77.08872222,10.97175,GOOD,GOOD,2nos HT,,CULTIVACTION,NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08872222222222 10.97175, 77.09069444444444 10.972722222222222)"
T.NO 58,,T,DB,24,57C-58,241.4953416,5.89,405,"6°53'6""",77.09069444,10.97272222,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09069444444444 10.972722222222222, 77.09272222222222 10.974027777777778)"
T.NO 59,,T,DD,28,58-59,264.871667,6.98,407,"71°41'27""",77.09272222,10.97402778,GOOD,GOOD,"3nos LT,4nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09272222222222 10.974027777777778, 77.09252777777778 10.974805555555555)"
T.NO 60,,T,DB,24,59-60,88.05679985,8.23,407,"2°27'5""",77.09252778,10.97480556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09252777777778 10.974805555555555, 77.09241666666667 10.975166666666667)"
GANTRY-PEEDAMPALI 110KV SS,2W,GANTRY,,20,60-GANTRY,43.01162634,,407,,77.09241667,10.97516667,GOOD,MISSING,,,,110KV PEEDAMPALLI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
