Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs)As per tower schedule ,Span length (mtrs),Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,
21,HCR/S,S,24.64,20 TO 21,232,230.7795574605989,=F27-G27,6,459,12.30767,78.16817,,,,,,GOOD,GOOD,LT LINE CROSSING ,ROAD,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16817 12.30767, 78.16566 12.30868)",,,,,,,,,,,,,,,,,,,
22,GCR/S ,S,25.64,21 TO 22,295,295.2368863423165,=F28-G28,6.3,466,12.30868,78.16566,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16566 12.30868, 78.16318 12.30967)",,,,,,,,,,,,,,,,,,,
23,GCR/S ,S,25.64,22TO 23,290,291.37651267763613,=F29-G29,4.5,480,12.30967,78.16318,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16318 12.30967, 78.16159 12.31031)",,,,,,,,,,,,,,,,,,,
24,GCR/S ,S,25.64,23 TO 24 ,188,187.03052700916243,=F30-G30,3,473,12.31031,78.16159,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16159 12.31031, 78.15945 12.31112)",,,,,,,,,,,,,,,,,,,
25,HCR/sus,S,24.64,24 TO 25 ,248,249.62680602505012,=F31-G31,5.2,474,12.31112,78.15945,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15945 12.31112, 78.15773 12.3118)",,,,,,,,,,,,,,,,,,,
26,GCR+3/S,S,28.64,25 TO 26 ,198,201.80893415605493,=F32-G32,5.3,473,12.3118,78.15773,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15773 12.3118, 78.155026 12.312843)",,,,,,,,,,,,,,,,,,,
27,GCR/S ,S,25.64,26 TO 27 ,317,316.263553532195,=F33-G33,5.5,426,12.312843,78.155026,,,,,5⁰13′29″,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.155026 12.312843, 78.15254 12.31407)",,,,,,,,,,,,,,,,,,,
28,GCR/S ,S,25.64,27 TO 28 ,304,302.74033822021954,=F34-G34,3.2,462,12.31407,78.15254,,,,,,GOOD,GOOD,230 KV S/C Palavadi To Guruburapalli   Line,,Agri land,230 KV S/C Palavadi To Guruburapalli   Line,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15254 12.31407, 78.15095 12.31483)",,,,,,,,,,,,,,,,,,,
29,HCR+3/S ,S,27.64,28 TO 29 ,196,192.45577299332217,=F35-G35,5.2,477,12.31483,78.15095,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15095 12.31483, 78.14875 12.31595)",,,,,,,,,,,,,,,,,,,
30,GCR/S ,S,25.64,29 TO 30 ,267,269.6888558881667,=F36-G36,3.3,468,12.31595,78.14875,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14875 12.31595, 78.14642 12.31709)",,,,,,,,,,,,,,,,,,,
31,GCR/T ,T,25.64,30 TO 31,285,283.3101634952819,=F37-G37,5.6,480,12.31709,78.14642,,,,,0⁰16′35″  RT,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14642 12.31709, 78.14434 12.31812)",,,,,,,,,,,,,,,,,,,
32,GCR//T,T,25.64,31 TO 32 ,253,253.5221749780495,=F38-G38,4.3,481,12.31812,78.14434,2W,,,,33⁰42′12″  LT,GOOD,GOOD,LT LINE CROSSING ,,Agri land,SUITABLE DRUM POINT ,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14434 12.31812, 78.14276 12.31793)",,,,,,,,,,,,,,,,,,,
33,KCR/T ,T,26.24,32 TO 33,171,173.2799315064215,=F39-G39,8.2,479,12.31793,78.14276,,,,,60⁰34′0″  RT,GOOD,GOOD,11KV /3LT LINE CROSSING ,2 ROAD,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14276 12.31793, 78.14258 12.31817)",,,,,,,,,,,,,,,,,,,
