Tower No,JOINT BOX,Tower Type,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,,SA,S,26,13-14,302,301.8090898,1.57,208,,11.32497,77.96782,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96782 11.32497, 77.97031 11.32375)"
15,,SD,T,28,14-15,305,303.7540541,0.91,203,"17°17'54""(LT)",11.32375,77.97031,GOOD,GOOD,,TAR ROAD CROSSING,TOWER INSIDE DRUMSTICK FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97031 11.32375, 77.97227 11.32344)"
16,,SA,S,26,15-16,218,216.8924712,10.01,200,,11.32344,77.97227,GOOD,GOOD,"765KV LINE CROSSING(T.NO:70 TO 71 CVP-DP1), CLEARENCE-5M, LT LINE",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97227 11.32344, 77.97443 11.32312)"
17,,SA,S,26,16-17,242,238.6577471,1.2,204,,11.32312,77.97443,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97443 11.32312, 77.9766 11.32279)"
18,,SB,T,24,17-18,241,239.9051908,0.99,205,"06°12'04""(LT)",11.32279,77.9766,GOOD,GOOD,COMPOUND WALL CROSSING-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9766 11.32279, 77.97864 11.3227)"
19,,SB,T,24,18-19,225,223.1253071,0.47,204,"22°17'40""(RT)",11.3227,77.97864,GOOD,GOOD,"LT-2,22KV-1",SAND ROAD,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97864 11.3227, 77.98144 11.32142)"
20,,SB,T,24,19-20,338,337.1754639,0.56,194,"18°09'57""(LT)",11.32142,77.98144,GOOD,GOOD,LT-3,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98144 11.32142, 77.9836 11.32117)"
21,,SA,S,26,20-21,240,237.634372,0.66,196,,11.32117,77.9836,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9836 11.32117, 77.98592 11.32094)"
22,,SB,T,24,21-22,254,254.7760943,1.92,194,"21°53'09""(RT)",11.32094,77.98592,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98592 11.32094, 77.98805 11.31984)"
23,2W,SB,T,24,22-23,267,262.680377,2.05,195,"19°10'11""(LT)",11.31984,77.98805,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98805 11.31984, 77.9903 11.31951)"
