S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,
11,T.NO 9,T,DB,24,8-9,201.71762441591463,4.14,354,"9°28'23""",77.08061111111111,10.757444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08061111111111 10.757444444444445, 77.07925 10.757805555555555)",,
12,T.NO 10,T,DB,24,9-10,153.7693077307692,5.18,357,"14°31'16""",77.07925,10.757805555555555,GOOD,GOOD,LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07925 10.757805555555555, 77.07680555555555 10.757805555555555)",,
13,T.NO 11,S,DA,26,10-11,268.00186566514793,6.98,357,,77.07680555555555,10.757805555555555,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07680555555555 10.757805555555555, 77.07480555555556 10.757722222222222)",,
14,T.NO 12,T,DD,28,11-12,219.32852071721086,5.18,357,"31°38'12""",77.07480555555556,10.757722222222222,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07480555555556 10.757722222222222, 77.07269444444444 10.756277777777777)",,
15,T.NO 13,S,DA,26,12-13,278.78665678256556,4.67,356,,77.07269444444444,10.756277777777777,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07269444444444 10.756277777777777, 77.07083333333333 10.75511111111111)",,
16,T.NO 14,T,DD,28,13-14,241.3047865252573,3.68,355,"30°27'24""",77.07083333333333,10.75511111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07083333333333 10.75511111111111, 77.06833333333333 10.755)",,
17,T.NO 15,S,DA,26,14-15,275.3071012524014,7.02,354,,77.06833333333333,10.755,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06833333333333 10.755, 77.06625 10.754944444444444)",,
18,T.NO 16,S,DA,26,15-16,229.17678765529462,6.36,351,,77.06625,10.754944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06625 10.754944444444444, 77.06363888888889 10.754861111111111)",,
19,T.NO 17,T,DC,26,16-17,285.25251970841555,5.12,348,"19°46'54""",77.06363888888889,10.754861111111111,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06363888888889 10.754861111111111, 77.06186111111111 10.755416666666667)",,
20,T.NO 18,T,DC,26,17-18,204.31837900688228,6.72,347,"21°53'24""",77.06186111111111,10.755416666666667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06186111111111 10.755416666666667, 77.05919444444444 10.755222222222223)",,
21,T.NO 19,T,DC,26,18-19,291.9075196016711,4.56,343,"16°59'23""",77.05919444444444,10.755222222222223,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05919444444444 10.755222222222223, 77.05633333333333 10.75586111111111)",,
22,T.NO 20,T,DC,26,19-20,319.53873004692247,5.31,341,"18°55'19""",77.05633333333333,10.75586111111111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05633333333333 10.75586111111111, 77.0535 10.75761111111111)",,
23,T.NO 21,T,DD,28,20-21,366.67424234598207,6.32,335,"35°56'26""",77.0535,10.75761111111111,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0535 10.75761111111111, 77.05027777777778 10.757388888888888)",,
24,T.NO 22,T,DC,26,21-22,353.111880287254,6.71,335,"25°2'30""",77.05027777777778,10.757388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05027777777778 10.757388888888888, 77.04844444444444 10.756361111111111)",,
25,T.NO 23,S,DA,26,22-23,228.84492565927695,6.43,331,,77.04844444444444,10.756361111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04844444444444 10.756361111111111, 77.04666666666667 10.755305555555555)",,
26,T.NO 24,T,DC,26,23-24,227.92323269030737,5.33,322,"26°41'24""",77.04666666666667,10.755305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04666666666667 10.755305555555555, 77.04444444444444 10.755166666666666)",,
27,T.NO 25,T,DC,26,24-25,242.7447218787671,6.17,319,"23°30'10""",77.04444444444444,10.755166666666666,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04444444444444 10.755166666666666, 77.04241666666667 10.754111111111111)",,
28,T.NO 26,S,DA,26,25-26,251.41201244172882,4.11,325,,77.04241666666667,10.754111111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04241666666667 10.754111111111111, 77.04005555555555 10.752916666666666)",,
29,T.NO 27,S,DA,26,26-27,288.4874347350331,4.61,323,,77.04005555555555,10.752916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04005555555555 10.752916666666666, 77.03822222222222 10.752)",,
30,T.NO 28,S,DA,26,27-28,227.2003521124032,6.92,326,,77.03822222222222,10.752,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03822222222222 10.752, 77.03622222222222 10.750972222222222)",,
31,T.NO 29,S,DA,26,28-29,244.23758924457144,7.02,325,,77.03622222222222,10.750972222222222,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03622222222222 10.750972222222222, 77.03302777777778 10.749333333333333)",,
32,T.NO 30,T,DC,26,29-30,394.53390221880807,5.37,321,"19°51'20""",77.03302777777778,10.749333333333333,GOOD,GOOD,LT,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03302777777778 10.749333333333333, 77.03144444444445 10.74911111111111)",,
33,T.NO 31,T,DD,28,30-31,173.6663467687393,4.1,316,"37°20'10""",77.03144444444445,10.74911111111111,GOOD,GOOD,11KV,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03144444444445 10.74911111111111, 77.03052777777778 10.748194444444444)",,
34,T.NO 32,T,DD,28,31-32,144.9586147836685,6.5,312,"59°45'30""",77.03052777777778,10.748194444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03052777777778 10.748194444444444, 77.031 10.746388888888887)",,
35,T.NO 33,T,DD,28,32-33,208.12736485142938,8.23,314,"40°33'58""",77.031,10.746388888888887,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.031 10.746388888888887, 77.03216666666667 10.745555555555555)",,
36,T.NO 34,T,DD,28,33-34,157.54681843820268,7.14,318,"79°1'57""",77.03216666666667,10.745555555555555,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03216666666667 10.745555555555555, 77.03205555555556 10.745305555555555)",,
37,GANTRY MILLKOILPALAYAM SS,T,GT,20,34-GT,32.69556544854363,,319,,77.03205555555556,10.745305555555555,GOOD,MISSING,,,PLAIN,110KV MILLKOILPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G8:G43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
