Tower No,JOINT BOX,Tower Type (S/T),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,T,B,24,9 to 10 ,286.5426009,12,252,"9⁰0'28"" LT",11.81659,77.82597,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82597 11.81659, 77.82498 11.81487)"
11,,T,B,24,10 to 11,218.8956579,15,261,"4⁰13'59"" LT",11.81487,77.82498,Good,Good,LT Linecrossing ,Car track,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82498 11.81487, 77.82424 11.81332)"
12,,T,D,28,11 to 12 ,189.6260918,18,271,"44⁰23'36"" RT",11.81332,77.82424,Good,Good,LT Linecrossing ,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82424 11.81332, 77.82212 11.81255)"
13,,T,D,28,12 to 13,246.4233074,15,282,"53⁰37'23"" LT",11.81255,77.82212,Good,Good,,Road Crossing,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82212 11.81255, 77.82185 11.8116)"
14,,T,D,28,13 t o14 ,109.2153004,19,273,"31⁰34'2"" LT",11.8116,77.82185,Good,Good,,Road Crossing,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82185 11.8116, 77.82206 11.81085)"
15,,T,B,24,14 to 15,86.13040178,12,265,"1⁰39'26"" RT",11.81085,77.82206,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82206 11.81085, 77.82227 11.81001)"
16 LILO,3W,T,D,28,15 to 16,95.7719143,15,279,"77⁰10'15"" RT",11.81001,77.82227,Good,Good,,,forest ,Tapping line 110 kv RS SS mettur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82227 11.81001, 77.82027 11.80902)"
17,,S,B,26,16 to 17,244.1113149,14,286,,11.80902,77.82027,Good,Good,,Road Crossing,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82027 11.80902, 77.81872 11.80801)"
18,,S,B,24,17 to 18,202.6795982,16,281,"13⁰53'30"" RT ",11.80801,77.81872,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81872 11.80801, 77.81705 11.80743)"
19,,T,D,28,18 to 19,193.1215672,18,285,"51⁰25'45"" LT",11.80743,77.81705,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81705 11.80743, 77.81599 11.8044)"
20,,T,B,24,19 to 20,354.8005107,15,272,"5⁰27'7"" LT",11.8044,77.81599,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81599 11.8044, 77.81558 11.80273)"
21,,T,C,26,20 to21,190.2089094,12,255,"28⁰15'58"" RT",11.80273,77.81558,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81558 11.80273, 77.81238 11.79922)"
22,2W,T,D,28,21 to 22,522.3002885,14,226,"58⁰49'49"" RT",11.79922,77.81238,Good,Good,,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81238 11.79922, 77.810138 11.799641)"
23,,T,D,28,22to 23 ,248.9268591,15,228,"96⁰37'1"" RT",11.799641,77.810138,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.810138 11.799641, 77.810286 11.800117)"
MDPH Gantry,2W,T,Gantry,20,23 to Gantry ,55.1123393,,220,,11.800117,77.810286,Good,Good,,,,110KV  MDPH(Mettur Dam Power House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 lilo,,T,D,26,,,,279,,11.81001,77.82227,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82227 11.81001, 77.82368 11.80954)"
DP 1,,Dp1,B,24,16 lilo  to Dp1 ,162,,245,"4⁰34'20"" LT",11.80954,77.82368,Good,Good,,Tar Road,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82368 11.80954, 77.82401 11.80949)"
Dp 2,,Dp2,B,24,Dp1 to Dp2 ,36,,232,"5⁰47'11"" RT",11.80949,77.82401,Good,Good,,Tar Road,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82401 11.80949, 77.82422 11.80939)"
RS Gantry,2W,gantry,T,20,Dp2 to Dp3 ,23,,240,,11.80939,77.82422,Good,Good,,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
