Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-112,DA,S,29,113-112,329.0866147384302,1.17,468,,76.91472222222222,11.175305555555555,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91472222222222 11.175305555555555, 76.91430555555556 11.177444444444443)"
T.NO-111,DA,S,29,112-111,243.19950657844683,2.01,478,,76.91430555555556,11.177444444444443,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91430555555556 11.177444444444443, 76.91366666666667 11.18086111111111)"
T.NO-110,DB,T,24,111-110,383.8137569186389,3.1,476,"0°8'31""",76.91366666666667,11.18086111111111,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91366666666667 11.18086111111111, 76.91319444444446 11.183388888888889)"
T.NO-109,DB,T,27,110-109,284.17776126924497,3.14,472,"00°00'00""",76.91319444444446,11.183388888888889,GOOD,GOOD,NO,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91319444444446 11.183388888888889, 76.91269444444445 11.186055555555555)"
T.NO-108,DB,T,27,109-108,300.2682134359213,3.36,471,"00°00'00""",76.91269444444445,11.186055555555555,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91269444444445 11.186055555555555, 76.91225 11.188555555555556)"
T.NO-107,DA,S,29,108-107,281.6558183315232,4.12,476,,76.91225,11.188555555555556,GOOD,GOOD,NO,LT,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91225 11.188555555555556, 76.91172222222222 11.19138888888889)"
T.NO-106,DC,T,29,107-106,318.5121661726597,2.84,478,"16°10'27""",76.91172222222222,11.19138888888889,GOOD,GOOD,NO,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91172222222222 11.19138888888889, 76.91025 11.194333333333333)"
T.NO-105,DB,T NARROW BASE TOWER,24,106-105,360.9058048854299,ROCK,572,"7°59'45""",76.91025,11.194333333333333,GOOD,GOOD,NO,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91025 11.194333333333333, 76.9101388888889 11.194694444444444)"
T.NO-104,DB,T NARROW BASE TOWER,27,105-104,43.32435804486894,ROCK,572,"4°38'43""",76.9101388888889,11.194694444444444,GOOD,GOOD,NO,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9101388888889 11.194694444444444, 76.91005555555556 11.194888888888888)"
T.NO-103,DB,T NARROW BASE TOWER,27,104-103,25.079872407968907,ROCK,572,"7°56'57""",76.91005555555556,11.194888888888888,GOOD,GOOD,NO,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91005555555556 11.194888888888888, 76.90794444444445 11.198361111111112)"
T.NO-102,DD,T NARROW BASE TOWER,34,103-102,446.59825346725216,ROCK,526,"51°38'15""",76.90794444444445,11.198361111111112,GOOD,GOOD,NO,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90794444444445 11.198361111111112, 76.90333333333334 11.198944444444445)"
T.NO-101,MC,T,52,102-101,506.6853066746657,1.28,427,"16°31'7""",76.90333333333334,11.198944444444445,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90333333333334 11.198944444444445, 76.90011111111112 11.200333333333333)"
T.NO-100,MB,T,52,101-100,384.7310749081753,1.59,412,"4°41'11""",76.90011111111112,11.200333333333333,GOOD,GOOD,NO,"110KV DC LINE CROSSING BELOW OUR LINE, LT",RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90011111111112 11.200333333333333, 76.89708333333334 11.20136111111111)"
T.NO-99,DB,T,24,100-99,348.4881633570931,1.62,401,"00°00'00""",76.89708333333334,11.20136111111111,GOOD,GOOD,NO,,"TAAR ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89708333333334 11.20136111111111, 76.89530555555557 11.202055555555555)"
T.NO-98,DB,T,24,99-98,210.09045670853305,1.41,397,"00°00'00""",76.89530555555557,11.202055555555555,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89530555555557 11.202055555555555, 76.89352777777779 11.202694444444443)"
T.NO-97,DA,S,26,98-97,205.30221625691235,1.72,398,,76.89352777777779,11.202694444444443,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89352777777779 11.202694444444443, 76.89172222222223 11.203388888888888)"
T.NO-96,DA,S,26,97-96,211.15160430363773,3.1,389,,76.89172222222223,11.203388888888888,GOOD,GOOD,NO,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89172222222223 11.203388888888888, 76.88944444444445 11.20425)"
T.NO-95,DA,S,26,96-95,267.67517628648346,2.79,389,,76.88944444444445,11.20425,GOOD,GOOD,NO,LT,"TAAR ROAD, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88944444444445 11.20425, 76.88716666666667 11.20511111111111)"
T.NO-94,DA,S,26,95-94,267.44158240632663,3.12,384,,76.88716666666667,11.20511111111111,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88716666666667 11.20511111111111, 76.88486111111112 11.206)"
T.NO-93,DA,S,26,94-93,269.6664606509308,2.12,385,,76.88486111111112,11.206,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88486111111112 11.206, 76.8826111111111 11.206888888888889)"
T.NO-36,DC,T,26,93-36,265,1.12,380,"16°27'38""",76.8826111111111,11.206888888888889,GOOD,GOOD,NO,,"CANAL, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8826111111111 11.206888888888889, 76.87991666666666 11.208972222222222)"
T.NO-35,DA,S,26,36-35,372.83910739084223,0.52,384,,76.87991666666666,11.208972222222222,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87991666666666 11.208972222222222, 76.8778611111111 11.210527777777777)"
T.NO-34,DA,S,26,35-34,284.0070421662111,0.9,379,,76.8778611111111,11.210527777777777,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8778611111111 11.210527777777777, 76.87552777777778 11.212277777777777)"
T.NO-33,DA,S,26,34-33,319.8030644005776,0.89,376,,76.87552777777778,11.212277777777777,GOOD,GOOD,NO,"2nos LT, 11KV",CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87552777777778 11.212277777777777, 76.87352777777777 11.213805555555554)"
T.NO-32,DA,S,26,33-32,276.0163038662753,1.34,376,,76.87352777777777,11.213805555555554,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87352777777777 11.213805555555554, 76.87147222222221 11.215388888888889)"
T.NO-31,DB,T,24,32-31,284.80344099044873,1.1,377,"00°00'00""",76.87147222222221,11.215388888888889,GOOD,GOOD,NO,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.87147222222221 11.215388888888889, 76.8693611111111 11.217055555555556)"
T.NO-30,DA,S,26,31-30,296.10808837314795,11.96,386,,76.8693611111111,11.217055555555556,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8693611111111 11.217055555555556, 76.86705555555555 11.21875)"
T.NO-29,DA,S,26,30-29,312.40518561637225,10.12,390,,76.86705555555555,11.21875,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86705555555555 11.21875, 76.86497222222222 11.220277777777778)"
T.NO-28,DA,S,26,29-28,282.83740912404073,1.15,342,,76.86497222222222,11.220277777777778,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86497222222222 11.220277777777778, 76.86099999999999 11.221833333333333)"
T.NO-27,DA,S,26,28-27,466.67547610732663,1.8,375,,76.86099999999999,11.221833333333333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86099999999999 11.221833333333333, 76.86063888888889 11.223527777777777)"
T.NO-26,DA,S,26,27-26,191.44189719076647,2.19,366,,76.86063888888889,11.223527777777777,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.86063888888889 11.223527777777777, 76.85852777777777 11.225)"
T.NO-25,DC,T,29,26-25,282.71894170713074,6.46,376,"14°46'20""",76.85852777777777,11.225,GOOD,GOOD,YES,,,CULTIVATION,NEED 3WAY JUCNTION BOX OUR EARTH WIRE&1 FEEDER CONNECT TO 230KV KARAMADAI  MC T.NO-80 FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85852777777777 11.225, 76.85652777777777 11.227388888888889)"
T.NO-24,SC,T,26,25-24,342.11693907200794,8.4,371,"17°55'58""",76.85652777777777,11.227388888888889,RUSTED,MISSING,NO,"LT, 230KV SC LINE CROSSING ABOVE OUR LINE",RIVER,CULTIVATION,"NO EARTH WIRE, 2EARTH WIRE&PEAK START FROM THIS TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85652777777777 11.227388888888889, 76.85427777777777 11.228777777777777)"
T.NO-23,SB,T,24,24-23,290.2274969743563,9.8,385,"00°00'00""",76.85427777777777,11.228777777777777,GOOD,GOOD,NO,LT,,PLAIN,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85427777777777 11.228777777777777, 76.85130555555556 11.230638888888889)"
T.NO-22,SB,T,24,23-22,383.5101041693687,BUSHES,413,"00°00'00""",76.85130555555556,11.230638888888889,GOOD,GOOD,NO,11KV,MUD ROAD,HILLY ROCKS,"BUSHES ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85130555555556 11.230638888888889, 76.84819444444445 11.232611111111112)"
T.NO-21,SB,T,24,22-21,405.5712021334848,12.4,384,"00°00'00""",76.84819444444445,11.232611111111112,GOOD,GOOD,NO,"LT, 11KV","TAAR ROAD, CANAL",CULTIVATION,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84819444444445 11.232611111111112, 76.84641666666666 11.233805555555556)"
T.NO-20,SC,S,26,21-20,234.3608329051593,15.91,390,,76.84641666666666,11.233805555555556,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84641666666666 11.233805555555556, 76.84402777777777 11.235305555555554)"
T.NO-19,SC,S,26,20-19,309.0954545120326,15.12,398,,76.84402777777777,11.235305555555554,GOOD,GOOD,NO,LT,,CULTIVATION,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84402777777777 11.235305555555554, 76.84183333333333 11.236777777777776)"
T.NO-18,SC,S,26,19-18,290.1103238424996,15.22,409,,76.84183333333333,11.236777777777776,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84183333333333 11.236777777777776, 76.84041666666666 11.237777777777778)"
T.NO-17,SC,S,26,18-17,190.06577808748213,15.1,420,,76.84041666666666,11.237777777777778,GOOD,GOOD,NO,,,CULTIVATION,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84041666666666 11.237777777777778, 76.8388611111111 11.238944444444444)"
T.NO-16,SC,S,26,17-16,214.2008403344861,5.1,422,,76.8388611111111,11.238944444444444,GOOD,GOOD,NO,LT,,PLAIN,2EARTH WIRE&DIFFERENT PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8388611111111 11.238944444444444, 76.83727777777777 11.24011111111111)"
T.NO-15,SC,S,26,16-15,214.40149253211834,5.48,424,,76.83727777777777,11.24011111111111,GOOD,GOOD,NO,"11KV, LT",TAAR ROAD,CULTIVATION,2EARTH WIRE&DIFFERENT PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83727777777777 11.24011111111111, 76.83574999999999 11.241305555555554)"
T.NO-14,SB,T,24,15-14,213.65392577717827,16.25,434,"1°39'53""",76.83574999999999,11.241305555555554,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83574999999999 11.241305555555554, 76.83197222222222 11.24411111111111)"
T.NO-13,SB,T,24,14-13,516.2111970889434,15.88,515,"2°13'21""",76.83197222222222,11.24411111111111,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83197222222222 11.24411111111111, 76.82908333333333 11.246083333333333)"
T.NO-12,SB,T,24,13-12,383.59483833857826,16.34,585,"6°43'33""",76.82908333333333,11.246083333333333,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82908333333333 11.246083333333333, 76.82616666666667 11.24861111111111)"
T.NO-11,SB,T,24,12-11,425.30224546785547,16.08,655,"2°59'35""",76.82616666666667,11.24861111111111,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82616666666667 11.24861111111111, 76.82458333333334 11.25013888888889)"
T.NO-10,SC,T,26,11-10,240.45373775427157,16.53,650,"23°19'5""",76.82458333333334,11.25013888888889,GOOD,GOOD,NO,,,FOREST,2EARTH WIRE&PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82458333333334 11.25013888888889, 76.82208333333332 11.251083333333334)"
