Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,,KCR(T),DD,28,29-30,197,193.0321984,2.13,244,"31°07'23""(LT)",11.34825,78.21574,GOOD,GOOD,"22KV-1,LT-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21574 11.34825, 78.21745 11.34861)"
31,,KCR(T),DD,28,30-31,181,191.0010868,1.43,246,"65°29'42""(LT)",11.34861,78.21745,GOOD,GOOD,"22KV-1,LT-3",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21745 11.34861, 78.21788 11.35053)"
32,,KCR(T),DD,28,31-32,225,217.6712365,3.69,243,"35°14'55""(RT)",11.35053,78.21788,GOOD,GOOD,LT-3,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21788 11.35053, 78.219686 11.352151)"
33,,KCR(T),DD,28,32-33,257,266.6834707,4.6,243,"31°55'15""(RT)",11.352151,78.219686,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.219686 11.352151, 78.222461 11.352652)"
34,,GCR+3(S),DA+3,29,33-34,310,308.1624243,2.71,249,,11.352652,78.222461,GOOD,GOOD,WIRE CABLE-2,SAND ROAD CROSSING,"TOWER INSIDE FENCING,FENCING-3",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.222461 11.352652, 78.22552 11.35323)"
35,,HCR(T),DB,24,34-35,333,340.2231296,0.58,258,"13°47'38""(RT)",11.35323,78.22552,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22552 11.35323, 78.22768 11.35312)"
36,,GCR(S),DA,26,35-36,247,236.2627115,0.13,260,"00°00'00""(LT)",11.35312,78.22768,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22768 11.35312, 78.22974 11.353)"
37,,HCR(T),DB,24,36-37,220,225.4166076,2.91,256,"10°48'37""(LT)",11.353,78.22974,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22974 11.353, 78.23277 11.35339)"
38,,KCR(T),DD,28,37-38,338,333.786073,4.01,249,"30°51'56""(LT)",11.35339,78.23277,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23277 11.35339, 78.23508 11.35519)"
39(LILO POINT),,KCR(T),DD,28,38-39,312,321.5186133,0.32,247,"44°32'54""(RT)",11.35519,78.23508,GOOD,GOOD,"LT-2,CIRCUIT-1 GOING TO KN PATTI 110 SS, CIRCUIT-2 GOING TO NAMAGIRIPETTAI 110KV SS",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23508 11.35519, 78.2373 11.35495)"
40,,PB(T),DC,26,39-40,249,243.9503176,0.61,250,"22°27'33""(RT)",11.35495,78.2373,GOOD,GOOD,,SMALL ROCK CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2373 11.35495, 78.239213 11.353916)"
41,,PA(S),DA,26,40-41,254,238.2594788,0.94,245,,11.353916,78.239213,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.239213 11.353916, 78.24055 11.35319)"
42,,PC(T),DD,28,41-42,157,166.6979284,1.51,242,"30°06'50""(LT)",11.35319,78.24055,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24055 11.35319, 78.24235 11.35323)"
43,,PA(S),DA,26,42-43,188,196.6713701,5.26,245,,11.35323,78.24235,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24235 11.35323, 78.24438 11.35332)"
44,,PB(T),DB,24,43-44,230,221.9686776,0.43,244,"15°27'24""(LT)",11.35332,78.24438,GOOD,GOOD,,SMALL ROCK CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24438 11.35332, 78.24712 11.3542)"
45,,PB+3 (T),DC+3,29,44-45,308,314.7536037,0.38,253,"19°13'58""(RT)",11.3542,78.24712,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24712 11.3542, 78.24953 11.35415)"
46,,PB(T),DB,24,45-46,260,263.3101876,0.96,252,"04°24'12""(RT)",11.35415,78.24953,GOOD,GOOD,,SMALL ROCK CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24953 11.35415, 78.25211 11.3539)"
47,,PB(T),DB,24,46-47,299,283.1767309,0.35,246,"02°08'35""(RT)",11.3539,78.25211,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25211 11.3539, 78.25412 11.35363)"
48,,PB(T),DC,26,47-48,219,221.5831429,0.56,242,"21°28'23""(RT)",11.35363,78.25412,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25412 11.35363, 78.255743 11.352734)"
49,,PC(T),DD,28,48-49,202,203.1438058,1.51,236,"39°12'10""(RT)",11.352734,78.255743,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.255743 11.352734, 78.25661 11.35057)"
50,,PB(T),DB,24,49-50,263,257.5874658,2.2,231,"07°04'46""(LT)",11.35057,78.25661,GOOD,GOOD,"LT-3, WIRE CABLE-3,22KV-1",TAR ROAD CROSSING(NAMAKKAL TO RASIPURAM),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25661 11.35057, 78.25759 11.3488)"
51,,PC(T),DD,28,50-51,213,223.2682766,3.01,228,"55°47'37""(RT)",11.3488,78.25759,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25759 11.3488, 78.25626 11.34624)"
52,,PB(T),DB,24,51-52,330,318.4522871,1.41,226,"04°31'07""(LT)",11.34624,78.25626,GOOD,GOOD,"WIRE CABLE CROSSING-1, FENCING CROSSING-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25626 11.34624, 78.25539 11.34418)"
53,,MA(T),DC,26,52-53,240,247.0444028,2.97,227,"20°15'33""(RT)",11.34418,78.25539,GOOD,GOOD,"TOWER INSIDE FENCING, FENCING CROSSING(TP TOWER SS OUTSIDE FOR AGRI LAND)",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25539 11.34418, 78.25523 11.34401)"
KN PATTI GANTRY,2W,GANTRY,T,20,53-GANTRY,31,25.68273273,,227,,11.34401,78.25523,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH ,,,,,,,0,mt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
