S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 11,,S,DA,26,10-Nov,283.6370921,4.89,338,,77.03161111,10.82083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0316111111111 10.820833333333333, 77.02902777777777 10.820666666666666)"
12,T.NO 12,,S,DA,26,11-Dec,284.9298159,3.68,329,,77.02902778,10.82066667,GOOD,GOOD,,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02902777777777 10.820666666666666, 77.02625 10.8205)"
13,T.NO 13,,T,DB,24,Dec-13,305.6550343,3.28,326,"0°20'2""",77.02625,10.8205,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02625 10.8205, 77.02469444444445 10.820388888888889)"
14,T.NO 14,,T,DD,26,13-14,168.4280262,3.5,324,"79°49'16""",77.02469444,10.82038889,GOOD,GOOD,,RAILWAY,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02469444444445 10.820388888888889, 77.02444444444444 10.821472222222223)"
15,T.NO 15,,T,DB,24,14-15,121.75385,4.63,327,"0°1'23""",77.02444444,10.82147222,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02444444444444 10.821472222222223, 77.024 10.82325)"
16,T.NO 16,,S,DA,26,15-16,203.2461562,3.85,328,,77.024,10.82325,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.024 10.82325, 77.02341666666666 10.82536111111111)"
17,T.NO 17,,T,DD,28,16-17,240.4017471,2.08,329,"37°12'41""",77.02341667,10.82536111,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02341666666666 10.82536111111111, 77.02161111111111 10.82675)"
18,T.NO 18,,T,DC,26,17-18,252.4202844,3.36,334,"20°39'30""",77.02161111,10.82675,GOOD,GOOD,LT,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02161111111111 10.82675, 77.0196111111111 10.827361111111111)"
19,T.NO 19,2W,T,DD,28,18-19,229.9760857,6.38,343,"69°7'1""",77.01961111,10.82736111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0196111111111 10.827361111111111, 77.01955555555556 10.82788888888889)"
20,GANTRY KINATHUKADAVU SS,,T,GT,20,19-GANTRY,58.13776741,,346,,77.01955556,10.82788889,GOOD,MISSING,,,PLAIN,110KV KINATHUKAAVU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
