Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 33,,S,DA,26,32-33,201.6953148,7.61,380,,77.03913889,10.84469444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03913888888889 10.844694444444444, 77.04025 10.843194444444444)"
T.NO 34,,S,DA,26,33-34,207.0024154,7.5,375,,77.04025,10.84319444,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04025 10.843194444444444, 77.04177777777778 10.841055555555556)"
T.NO 35,,S,DA,26,34-35,288.8754057,6.36,364,,77.04177778,10.84105556,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04177777777778 10.841055555555556, 77.04286111111111 10.839583333333334)"
T.NO 36,,S,DA,26,35-36,201.00995,6.57,366,,77.04286111,10.83958333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04286111111111 10.839583333333334, 77.04475 10.837)"
T.NO 37,,T,DB,24,36-37,352.8299874,4.51,366,"0°45'38""",77.04475,10.837,GOOD,GOOD,LT,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04475 10.837, 77.04652777777778 10.834472222222223)"
T.NO 38,,T,DB,24,37-38,342.1184006,7.31,358,"0°42'25""",77.04652778,10.83447222,GOOD,GOOD,"LT,11KV",TAAR ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04652777777778 10.834472222222223, 77.04813888888889 10.83225)"
T.NO 39 EDAYARPALAYAM LILO,3W,T,DB,24,38-39,300.6293399,6.27,357,"10°52'6""",77.04813889,10.83225,GOOD,GOOD,2nos LT,,PLAIN,EDAYARPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04813888888889 10.83225, 77.0483611111111 10.831777777777777)"
T.NO 40 PANAPATTY LILO,3W,T,DB,24,39-40,56.36488268,6.3,355,"12°29'12""",77.04836111,10.83177778,GOOD,GOOD,,,PLAIN,PANAPATTY LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0483611111111 10.831777777777777, 77.05013888888888 10.829472222222222)"
T.NO 41,,T,DB,24,40-41,322.2328351,6.53,357,"12°10'46""",77.05013889,10.82947222,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05013888888888 10.829472222222222, 77.051 10.827694444444445)"
T.NO 42,,S,DA,26,41-42,218.2773465,5.17,347,,77.051,10.82769444,GOOD,GOOD,11KV,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.051 10.827694444444445, 77.05202777777778 10.825583333333332)"
