Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-16,,SA,S,26,17-16,255.3605294,6.96,309,,77.33177778,10.74391667,GOOD,GOOD,NO,LT,"TAAR ROAD,2nos MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33177777777777 10.743916666666665, 77.32958333333333 10.742833333333332)"
T.NO-15,2W,SC,T,26,16-15,270.5734651,7.51,314,"20°48'12.88""",77.32958333,10.74283333,GOOD,GOOD,NO,LT,"MUROAD,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32958333333333 10.742833333333332, 77.32833333333333 10.741499999999998)"
T.NO-14,,SA,S,26,15-14,199.6496932,7.98,314,,77.32833333,10.7415,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32833333333333 10.741499999999998, 77.32783333333333 10.739888888888888)"
T.NO-13,,SD,T,28,14-13,187.2591787,8.6,318,"65°3'59.23""",77.32783333,10.73988889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32783333333333 10.739888888888888, 77.32488888888888 10.7395)"
T.NO-12,,SA,S,26,13-Dec,322.0201857,6.74,315,,77.32488889,10.7395,GOOD,GOOD,NO,2nos 22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32488888888888 10.7395, 77.32255555555555 10.738666666666665)"
T.NO-11,,SC,T,26,12-Nov,271.773803,6.37,320,"18°23'33.42""",77.32255556,10.73866667,GOOD,GOOD,NO,"22KV,LT",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32255555555555 10.738666666666665, 77.32055555555556 10.73711111111111)"
T.NO-10,,SA,S,26,11-Oct,280.3319461,5.18,312,,77.32055556,10.73711111,GOOD,GOOD,NO,"22KV,2nos LT","TAAR ROAD, MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32055555555556 10.73711111111111, 77.31844444444444 10.735388888888888)"
T.NO-9,,SC,T,29,10-Sep,300.1283059,5.64,318,"28°37'49.08""",77.31844444,10.73538889,GOOD,GOOD,NO,22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31844444444444 10.735388888888888, 77.316 10.734888888888888)"
T.NO-8,,SA,S,29,09-Aug,272.6059427,7.98,318,,77.316,10.73488889,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.316 10.734888888888888, 77.31349999999999 10.73436111111111)"
T.NO-7,,SB,T,27,08-Jul,280.4924241,6.33,322,"7°52'1.03""",77.3135,10.73436111,GOOD,GOOD,NO,"2nos LT,22KV",MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31349999999999 10.73436111111111, 77.31116666666667 10.734222222222222)"
T.NO-6,,SA,S,27,07-Jun,255.7831112,6.72,325,,77.31116667,10.73422222,GOOD,GOOD,NO,"22KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31116666666667 10.734222222222222, 77.3085 10.73411111111111)"
T.NO-5,,SC,T,29,06-May,290.2912331,5.83,326,"22°27'43.72""",77.3085,10.73411111,GOOD,GOOD,NO,22KV,"NALA,TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3085 10.73411111111111, 77.30661111111111 10.734805555555555)"
T.NO-4,,SD,T,31,05-Apr,223.3293532,12.74,327,"36°47'38.69""",77.30661111,10.73480556,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30661111111111 10.734805555555555, 77.30441666666667 10.734166666666665)"
T.NO-3 -LILO 110KV MALAIYADI PALAYAM,3W,DD,T,31,04-Mar,247.6953774,10.39,323,"74°22'27.77""",77.30441667,10.73416667,GOOD,GOOD,NO,"3nos 22KV,LT",TAARROAD,PLAINLAND,NEED 3WAY JUNCTION BOX.2EARTH WIRE ONE IS CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECT WITH MALAYADIPALAYAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30441666666667 10.734166666666665, 77.30444444444444 10.733777777777776)"
T.NO-2,,DD,T,31,03-Feb,45.01110974,11.58,324,"54°32'27.05""",77.30444444,10.73377778,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30444444444444 10.733777777777776, 77.30491666666667 10.733444444444444)"
T.NO-1,,DD,T,31,02-Jan,64.07027392,12.06,322,"43°43'8.83""",77.30491667,10.73344444,GOOD,GOOD,YES,,,PLAINLAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30491666666667 10.733444444444444, 77.30497222222222 10.733194444444445)"
GANTRY 110KV POOLAVADI,2W,GANTRY,GANTRY,20,1-GANTRY,28.63564213,,327,,77.30497222,10.73319444,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
