S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,84,,DB,T,24,85-84,206,205.9803285,3.88,236,"11⁰54'47"" RT",11.45595,78.15646,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15646 11.45595, 78.15362 11.45447)"
12,83,,DC,T,26,84-83,351,350.7556663,2.23,237,"29⁰58'26"" LT",11.45447,78.15362,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15362 11.45447, 78.15207 11.45204)"
13,82,,DD,T,28,83-82,318,317.8368808,2.95,237,"40⁰26'4"" RT",11.45204,78.15207,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15207 11.45204, 78.15016 11.45145)"
14,81,,DB,T,24,82-81,227,218.5685429,1.92,238,"13⁰19'23"" LT",11.45145,78.15016,GOOD,GOOD,LT LINE CROSSING 3,SAND ROAD CROSSING 2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15016 11.45145, 78.14731 11.44978)"
15,80,,DB,T,24,81-80,363,362.0050604,4.43,240,"4⁰31'30"" LT",11.44978,78.14731,GOOD,GOOD,"22KV LINE CROSSING, LT LINE CROSSING","TAR ROAD CROSSING 2,SAND ROAD CROSSING",,"AGRI LAND, HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14731 11.44978, 78.14543 11.44847)"
16,79,,DA,S,26,80-79,250,251.3633338,2.27,240,,11.44847,78.14543,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",SAND ROAD CROSSING,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14543 11.44847, 78.14326 11.44696)"
17,78,2W,DB,T,24,79-78,290,290.006471,9.56,241,"13⁰49'3"" LT",11.44696,78.14326,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14326 11.44696, 78.14171 11.4452)"
18,77,,DA,S,26,78-77,259,258.1029573,8.12,241,,11.4452,78.14171,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14171 11.4452, 78.13987 11.44308)"
19,76,,DA,S,26,77-76,308,308.9690624,2.38,238,,11.44308,78.13987,GOOD,GOOD,LT LINE CROSSING 2,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13987 11.44308, 78.1383 11.44129)"
20,75,,DD,T,28,76-75,263,262.0453844,7.86,235,"43⁰38'57"" LT",11.44129,78.1383,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1383 11.44129, 78.1384 11.43926)"
21,74,,DA,S,26,755-74,226,225.000814,3.12,253,,11.43926,78.1384,GOOD,GOOD,,SAND ROAD CROSSING,,"AGRI LAND, HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1384 11.43926, 78.1385 11.43731)"
22,73,,DC,T,26,74-73,216,216.1550643,6.13,231,"29⁰21'43"" LT",11.43731,78.1385,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",SAND ROAD CROSSING,,REAL ESTATE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1385 11.43731, 78.13969 11.43545)"
23,72,,DA,S,26,73-72,243,243.4977361,2.73,232,,11.43545,78.13969,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13969 11.43545, 78.14098 11.43342)"
24,71,,DA,S,26,72-71,266,265.2435369,2.98,231,,11.43342,78.14098,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14098 11.43342, 78.14221 11.43145)"
25,70,,DA,S,26,71-70,257,256.1432783,4.35,257,,11.43145,78.14221,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING,,REAL ESTATE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14221 11.43145, 78.14368 11.42913)"
26,69,,DD,T,28,70-69,305,302.8876451,8.32,233,"47⁰1'50"" RT",11.42913,78.14368,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",TAR ROAD CROSSING,,"AGRI LAND, HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14368 11.42913, 78.14297 11.42652)"
27,68,,DA,S,26,69-68,300,299.1682812,9.49,231,,11.42652,78.14297,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14297 11.42652, 78.14237 11.42434)"
28,67,,DA,S,26,68-67,251,250.0787455,3.96,228,,11.42434,78.14237,GOOD,GOOD,,TAR ROAD CROSSING,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14237 11.42434, 78.14177 11.42199)"
29,66,2W,DD,T,28,67-66,269,268.2868374,1.28,226,"31⁰29'5"" RT",11.42199,78.14177,GOOD,GOOD,LT LINE CROSSING,,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14177 11.42199, 78.13975 11.42004)"
30,65,,DA,S,26,66-65,310,308.668501,0.92,310,,11.42004,78.13975,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13975 11.42004, 78.13805 11.41843)"
31,64,,DC,T,26,65-64,257,257.3763747,6.05,218,"28⁰55'58"" RT",11.41843,78.13805,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13805 11.41843, 78.135722 11.417819)"
32,63,,DA,S,26,64-63,260,263.1051624,1.19,216,,11.417819,78.135722,GOOD,GOOD,LT LINE CROSSING 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.135722 11.417819, 78.13345 11.41722)"
33,62,,DD,T,28,63-62,259,256.8541204,4.76,221,"37⁰48'49"" LT",11.41722,78.13345,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13345 11.41722, 78.13201 11.41535)"
34,61,,DA,S,26,62-61,260,259.9895059,9.32,223,,11.41535,78.13201,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13201 11.41535, 78.13071 11.41364)"
35,60,,DA,S,26,61-60,236,236.6402876,12.23,225,,11.41364,78.13071,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13071 11.41364, 78.12914 11.41153)"
36,59,,DB,T,24,60-59,291,289.7767856,5.83,218,"2⁰29'29"" LT",11.41153,78.12914,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12914 11.41153, 78.12739 11.40895)"
37,58,,DD,T,28,59-58,345,343.68134,8.79,215,"38⁰1'48"" RT",11.40895,78.12739,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12739 11.40895, 78.12489 11.40814)"
38,57,,DA,S,26,58-57,286,287.4063699,4.62,215,,11.40814,78.12489,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12489 11.40814, 78.12245 11.40729)"
39,56,,DC,T,26,57-56,282,282.6322744,12.28,211,"17⁰27'2"" LT",11.40729,78.12245,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12245 11.40729, 78.12029 11.40569)"
40,55,,DA,S,26,56-55,294,295.0205883,10.12,208,,11.40569,78.12029,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12029 11.40569, 78.11803 11.40405)"
41,54,,DA,S,26,55-54,306,306.4305654,2.38,203,,11.40405,78.11803,GOOD,GOOD,,"TAR ROAD CROSSING,SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11803 11.40405, 78.11609 11.40265)"
42,53,2W,DD,T,28,54-53,260,262.5336229,1.13,201,"43⁰42'44"" LT",11.40265,78.11609,GOOD,GOOD,"LT LINE,22KV LINE CROSSING",,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11609 11.40265, 78.11568 11.40038)"
43,52,,DA,S,26,53-52,258,255.268524,4.69,200,,11.40038,78.11568,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11568 11.40038, 78.11526 11.39863)"
44,51,,DB,T,24,52-51,198,199.0982565,3.28,200,"10⁰17'11"" RT",11.39863,78.11526,GOOD,GOOD,LT LINE CROSSING 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11526 11.39863, 78.11425 11.39635)"
45,50,,DA,S,26,51-50,276,275.4723106,7.82,202,,11.39635,78.11425,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11425 11.39635, 78.11327 11.39418)"
46,49,,DA,S,26,50-49,264,263.0084319,9.04,204,,11.39418,78.11327,GOOD,GOOD,LT LINE CROSSING ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11327 11.39418, 78.11225 11.39196)"
47,48,,DA,S,26,49-48,271,269.8490939,7.22,202,,11.39196,78.11225,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11225 11.39196, 78.11141 11.39005)"
48,47,,DA,S,26,48-47,231,230.5039231,8.16,201,,11.39005,78.11141,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11141 11.39005, 78.11021 11.38738)"
49,46,,DB,T,24,47-46,324,323.3537623,9.13,200,"5⁰30'1"" RT ",11.38738,78.11021,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11021 11.38738, 78.10901 11.38528)"
50,45,,DA,S,26,46-45,267,266.8963319,1.26,199,,11.38528,78.10901,GOOD,GOOD,,SAND ROAD CROSSING,,LAY OUT INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10901 11.38528, 78.10782 11.38288)"
51,44,,DC,T,26,455-44,296,295.7960762,7.46,204,"16⁰41'26"" RT",11.38288,78.10782,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10782 11.38288, 78.10603 11.38097)"
52,43,,DA,S,26,44-43,289,288.0035757,9.12,203,,11.38097,78.10603,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10603 11.38097, 78.10427 11.3791)"
53,42,,DC,T,26,43-42,282,282.5292471,14.28,201,"18⁰52'44"" LT",11.3791,78.10427,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING 2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10427 11.3791, 78.10339 11.37715)"
54,41,,DA,S,26,42-41,238,236.3194567,10.56,238,,11.37715,78.10339,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10339 11.37715, 78.10259 11.37537)"
55,40,2W,DD,T,28,41-40,215,215.5720246,10.18,199,"31⁰48'31"" RT",11.37537,78.10259,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10259 11.37537, 78.1003 11.37383)"
56,39,,DA,S,26,40-39,202,302.7318107,14.91,202,,11.37383,78.1003,GOOD,GOOD,22KV LINE  CROSSING,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1003 11.37383, 78.09811 11.37232)"
57,38,,DC,T,26,39-38,292,291.8560508,2.31,204,"22⁰29'17"" LT",11.37232,78.09811,GOOD,GOOD,,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09811 11.37232, 78.09655 11.36991)"
58,37,,DA,S,26,38-37,316,316.5916554,7.26,202,,11.36991,78.09655,GOOD,GOOD,LT LINE CROSSING,,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09655 11.36991, 78.09515 11.36765)"
59,36,,DA,S,26,37-36,295,293.2460476,5.31,202,,11.36765,78.09515,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09515 11.36765, 78.09357 11.36516)"
60,35,,DA,S,26,36-35,325,325.2473781,10.02,202,,11.36516,78.09357,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSNG,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09357 11.36516, 78.09206 11.36274)"
61,34,,DB,T,24,35-34,316,314.6308306,13.43,203,"6⁰23'26"" RT",11.36274,78.09206,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09206 11.36274, 78.09046 11.36072)"
62,33,,DC,T,26,34-33,283,283.8402983,8.57,198,"19⁰55'9"" RT",11.36072,78.09046,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09046 11.36072, 78.0886 11.35957)"
63,32,,DA,S,26,33-32,240,239.7887971,8.96,200,,11.35957,78.0886,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSNG,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0886 11.35957, 78.08674 11.35844)"
64,31,,DC,T,26,32-31,238,238.6215773,9.48,204,"18⁰41'13"" RT",11.35844,78.08674,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08674 11.35844, 78.08471 11.35798)"
65,30,,DA,S,26,31-30,228,227.5427539,4.73,207,,11.35798,78.08471,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08471 11.35798, 78.08273 11.3575)"
66,29,,DA,S,26,30-29,221,222.7409599,7.13,212,,11.3575,78.08273,GOOD,GOOD,LT LINE CROSSING 2,TAR ROAD CROSSNG,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08273 11.3575, 78.08036 11.35697)"
67,28,,DB,T,24,29-28,266,265.481714,3.97,213,"12⁰2'58"" LT",11.35697,78.08036,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08036 11.35697, 78.07784 11.35582)"
68,27,2W,DC,T,26,28-27,303,303.3194995,10.76,215,"24⁰45'6"" LT",11.35582,78.07784,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07784 11.35582, 78.07645 11.35421)"
69,26,,DA,S,26,27-26,235,234.1624959,6.71,209,,11.35421,78.07645,GOOD,GOOD,LT LINE CROSSING 3,,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07645 11.35421, 78.07463 11.35212)"
70,25,,DA,S,26,26-25,304,305.0834395,11.16,213,,11.35212,78.07463,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07463 11.35212, 78.07288 11.35012)"
71,24,,DA,S,26,25-24,293,292.5442071,9.31,211,,11.35012,78.07288,GOOD,GOOD,LT LINE CROSSING 3,"TAR ROAD CROSSING,SAND ROAD CROSSING",,"AGRI LAND, HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07288 11.35012, 78.07122 11.34821)"
72,23,,DA,S,26,24-23,280,278.5792295,5.45,206,,11.34821,78.07122,GOOD,GOOD,LT LINE CROSSING 3,TAR ROAD CROSSNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07122 11.34821, 78.06925 11.34605)"
73,22,,DA,S,26,23-22,322,321.7306226,9.73,204,,11.34605,78.06925,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06925 11.34605, 78.06751 11.34407)"
74,21,,DC,T,26,22-21,291,290.1588422,3.56,208,"26⁰5'12"" LT",11.34407,78.06751,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06751 11.34407, 78.06686 11.34165)"
75,20,,DA,S,26,21-20,278,277.1779032,7.13,206,,11.34165,78.06686,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06686 11.34165, 78.06619 11.33918)"
76,19,,DA,S,26,20-19,284,283.0897678,9.73,221,,11.33918,78.06619,GOOD,GOOD,,TAR ROAD CROSSNG,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06619 11.33918, 78.06563 11.33694)"
77,18,,DA,S,26,19-18,257,255.4337654,5.39,199,,11.33694,78.06563,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06563 11.33694, 78.06497 11.33442)"
78,17,,DC,T,26,18-17,289,288.1659169,8.96,203,"20⁰23'32"" RT",11.33442,78.06497,GOOD,GOOD,,,,UNJANAI TO PUDANSANDHAI LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06497 11.33442, 78.06355 11.33241)"
79,16/LILO TAPPING,3W,DB,T,24,17-16,271,271.2781594,13.04,199,"4⁰43'29"" LT",11.33241,78.06355,GOOD,GOOD,230KV LINE  CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06355 11.33241, 78.06229 11.33027)"
80,15,,DC,T,26,16-15,276,274.0191041,7.66,184,"20⁰30'37"" RT",11.33027,78.06229,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06229 11.33027, 78.06067 11.32896)"
81,14,,DA,S,26,15-14,229,228.8326985,4.35,201,,11.32896,78.06067,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06067 11.32896, 78.05953 11.32805)"
82,13-A,,DA,S,26,14-13A,160,160.2025407,11.13,201,,11.32805,78.05953,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05953 11.32805, 78.05843 11.32717)"
83,13,,DA,S,26,13A-13,155,154.7162937,9.86,200,,11.32717,78.05843,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05843 11.32717, 78.0565 11.32565)"
84,12,,DC,T,26,13-Dec,270,269.7924444,8.47,195,"18⁰47'54"" LT",11.32565,78.0565,GOOD,GOOD,22KV LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0565 11.32565, 78.05556 11.3242)"
85,11,,DA,S,26,12-Nov,192,190.5787965,9.63,192,,11.3242,78.05556,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05556 11.3242, 78.05469 11.32289)"
86,10,,DC,T,26,11-Oct,173,173.4113216,5.14,190,"15⁰23'24"" RT",11.32289,78.05469,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05469 11.32289, 78.05278 11.32123)"
87,9,,DA,S,26,10-Sep,278,278.0827519,13.76,187,,11.32123,78.05278,GOOD,GOOD,LT LINE CROSSING 3,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05278 11.32123, 78.05074 11.31945)"
88,8,,DA,S,26,09-Aug,297,297.5252694,14.02,185,,11.31945,78.05074,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05074 11.31945, 78.04885 11.31781)"
89,7,,DA,S,26,08-Jul,275,274.9821976,10.21,185,,11.31781,78.04885,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04885 11.31781, 78.04705 11.31626)"
90,6,,DD,T,28,07-Jun,261,261.0206105,9.92,184,"38⁰55'24"" LT",11.31626,78.04705,GOOD,GOOD,"LT LINE ,22KV LINE CROSSING",SAND ROAD CROSSING 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04705 11.31626, 78.04661 11.31379)"
91,5,,DA,S,26,06-May,272,277.6602338,9.48,187,,11.31379,78.04661,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04661 11.31379, 78.04617 11.31131)"
92,4,,DC,T,26,05-Apr,279,278.7508664,14.13,187,"21⁰3'48"" RT",11.31131,78.04617,GOOD,GOOD,,SAND ROAD CROSSING 2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04617 11.31131, 78.04491 11.30924)"
