S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 27,,S,DA,26,126-127,242.9588443,5.47,370,,77.10602778,11.04838889,GOOD,GOOD,2 nos LT,"MUD ROAD,TAAR ROAD",CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10602777777777 11.048388888888889, 77.10341666666666 11.046611111111112)"
12,T.NO 28,,S,DA,26,127-128,345.0681092,3.55,365,,77.10341667,11.04661111,GOOD,GOOD,LT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10341666666666 11.046611111111112, 77.10097222222221 11.045166666666667)"
13,T.NO 29,,S,DA,26,128-129,312.4931999,3.67,362,,77.10097222,11.04516667,GOOD,GOOD,LT,CANAL,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10097222222221 11.045166666666667, 77.09919444444444 11.043916666666666)"
14,T.NO 30,,S,DA,26,129-130,239.4702487,4.7,372,,77.09919444,11.04391667,GOOD,GOOD,LT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09919444444444 11.043916666666666, 77.0975 11.042777777777777)"
15,T.NO 31,,S,DA,26,130-131,221.9301692,3.87,377,,77.0975,11.04277778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0975 11.042777777777777, 77.09519444444445 11.041305555555555)"
16,T.NO 32,,T,DB,24,131-132,302.5970919,2.15,376,"0°15'15""",77.09519444,11.04130556,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09519444444445 11.041305555555555, 77.0928611111111 11.039777777777777)"
17,T.NO 33,,S,DA,26,132-133,303.9802625,3.96,376,,77.09286111,11.03977778,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0928611111111 11.039777777777777, 77.09077777777777 11.038388888888889)"
18,T.NO 34,,S,DA,26,133-134,274.3082208,7.45,378,,77.09077778,11.03838889,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09077777777777 11.038388888888889, 77.08852777777777 11.036833333333334)"
19,T.NO 35,,S,DA,26,134-135,301.3171087,4.02,376,,77.08852778,11.03683333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08852777777777 11.036833333333334, 77.08619444444444 11.035361111111111)"
20,T.NO 36 SULUR LILO,3W,T,DB,24,135-136,302.887768,3.17,377,"0°32'25""",77.08619444,11.03536111,GOOD,GOOD,,,CULTI VACTION,SULUR LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08619444444444 11.035361111111111, 77.08383333333333 11.033833333333334)"
21,T.NO 37,,S,DA,26,136-137,306.4718584,2.17,380,,77.08383333,11.03383333,GOOD,GOOD,HT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08383333333333 11.033833333333334, 77.08166666666666 11.032416666666668)"
22,T.NO 38,,S,DA,26,137-138,284.0070422,4.29,379,,77.08166667,11.03241667,GOOD,GOOD,"LT,HT",,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08166666666666 11.032416666666668, 77.07930555555555 11.030916666666668)"
23,T.NO 39,,T,DB,24,138-139,308.4234103,3.44,380,"0°51'44""",77.07930556,11.03091667,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07930555555555 11.030916666666668, 77.07733333333333 11.029611111111112)"
24,T.NO 40,,T,DB,24,139-140,258.2343897,4.63,379,"0°18'51""",77.07733333,11.02961111,GOOD,GOOD,HT,"TAAR ROAD,",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07733333333333 11.029611111111112, 77.07563888888889 11.028472222222224)"
25,T.NO 41,,T,DB,24,140-141,224.6597427,6.75,384,"0°2'9""",77.07563889,11.02847222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07563888888889 11.028472222222224, 77.07363888888888 11.027111111111111)"
26,T.NO 42,,S,DA,26,141-142,266.0920893,4.23,384,,77.07363889,11.02711111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07363888888888 11.027111111111111, 77.07124999999999 11.025583333333334)"
27,T.NO 43,,S,DA,26,142-143,310.6444913,2.82,384,,77.07125,11.02558333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07124999999999 11.025583333333334, 77.0701111111111 11.024833333333333)"
28,T.NO 44,,T,DC,26,143-144,148.3846353,5.82,382,"16°7'32""",77.07011111,11.02483333,GOOD,GOOD,"2 nos LT, 3nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0701111111111 11.024833333333333, 77.06897222222221 11.024472222222222)"
29,T.NO 45,,T,DD,28,144-145,132.5028302,2.37,383,"30°49'44""",77.06897222,11.02447222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06897222222221 11.024472222222222, 77.06855555555555 11.024583333333334)"
30,GANTRY 110KV IRUGUR SS,2W,T,GANTRY,20,145-GANTRY,45.12205669,,387,,77.06855556,11.02458333,GOOD,MISSING,,,,110KV IRUGUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
