Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,
34,T,26,33  to 34 ,291.42373506294615,7.5,301,"24°1'47"" RT",11.256185,77.479442,GOOD,GOOD,,,Forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479442 11.256185, 77.477442 11.253952)",,,,,,,,,,,,
35,T,24,34 to 35 ,329.8703556658319,6.3,299,"9°16'44"" RT",11.253952,77.477442,GOOD,GOOD,2-LT Linecrossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.477442 11.253952, 77.475362 11.252275)",,,,,,,,,,,,
36,S,26,35 to 36 ,293.3989201467886,7.3,304,,11.252275,77.475362,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.475362 11.252275, 77.473622 11.250888)",,,,,,,,,,,,
37,T,28,36 to 37 ,244.33231280412897,7.1,304,"45°17'38"" RT",11.250888,77.473622,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.473622 11.250888, 77.47247 11.251015)",,,,,,,,,,,,
37/1 lilo,T,28,37 to 37/1 ,126.637151722724,5.1,306,"83°43'18"" LT",11.251015,77.47247,GOOD,GOOD,,,Plain,Tapping to Kunnathur ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47247 11.251015, 77.47196 11.248772)",,,,,,,,,,,,
2,T,24,37/1to 2,254.41340769561384,7.7,305,"7°51'14"" RT",11.248772,77.47196,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47196 11.248772, 77.471305 11.247043)",,,,,,,,,,,,
3,T,26,2 to 3,204.29432637743463,5.6,302,"22°7'23"" LT",11.247043,77.471305,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.471305 11.247043, 77.471362 11.245052)",,,,,,,,,,,,
4,T,24,3 to 4 ,220.43579357242646,6.3,300,"11°11'58"" RT",11.245052,77.471362,GOOD,GOOD,,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.471362 11.245052, 77.470992 11.242888)",,,,,,,,,,,,
5,T,26,4 to 5 ,242.8814449228521,5.3,307,"19°3'35"" LT",11.242888,77.470992,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.470992 11.242888, 77.47131 11.241008)",,,,,,,,,,,,
6,T,28,5 to 6 ,210.94381996894035,5.2,303,"47°58'30"" LT",11.241008,77.47131,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47131 11.241008, 77.472683 11.240143)",,,,,,,,,,,,
7,T,26,6 to 7 ,177.94851184307336,7.3,296,"27°18'50"" RT",11.240143,77.472683,GOOD,GOOD,11 kv  Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.472683 11.240143, 77.473777 11.238283)",,,,,,,,,,,,
8,T,28,7 to 8,238.03362825133232,6.7,297,"36°2'22"" LT",11.238283,77.473777,GOOD,GOOD,,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.473777 11.238283, 77.475452 11.237553)",,,,,,,,,,,,
9,T,26,8 to 9 ,200.04065878503167,8.3,300,"29°58'13"" RT",11.237553,77.475452,GOOD,GOOD,LT Line crossing ,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.475452 11.237553, 77.476428 11.236237)",,,,,,,,,,,,
10,T,28,9 to 10 ,180.5071353992789,6.2,295,,11.236237,77.476428,GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.476428 11.236237, 77.477965 11.236132)",,,,,,,,,,,,
11,T,24,10 to 11,168.3262387524692,5.6,295,"1°43'16"" RT",11.236132,77.477965,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.477965 11.236132, 77.479177 11.236013)",,,,,,,,,,,,
12,T,28,11 to 12 ,133.07033591913856,6.2,287,"89°19'38"" LT",11.236013,77.479177,GOOD,GOOD,,,Forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479177 11.236013, 77.47896 11.233568)",,,,,,,,,,,,
13,T,28,12 to 13 ,271.6308515384716,6.7,290,"64°39'15"" RT",11.233568,77.47896,GOOD,GOOD,,,Forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47896 11.233568, 77.478602 11.233437)",,,,,,,,,,,,
14,T,28,13 to 14 ,41.71415226467512,5.3,288,"82°20'50"" RT",11.233437,77.478602,GOOD,GOOD,,,Plain,Inside the 110 kv PG Palayalam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.478602 11.233437, 77.478567 11.233502)",,,,,,,,,,,,
PG Palayam Gantry,T,20,14 to Gantry  ,8.146907076706775,0.9,290,,11.233502,77.478567,GOOD,GOOD,,,,Inside the 110 kv PG Palayalam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,=SUM(E8:E61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
