S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
66,7,,T,DB,24,08-Jul,349,347.9367759,5.03,222,"09°57'43""(RT)",11.44010557,78.16197698,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16197698362397 11.440105572361785, 78.16351269270072 11.4422162276717)"
67,6,,S,DA,26,07-Jun,288,287.617802,6.34,223,,11.44221623,78.16351269,GOOD,GOOD,"LT LINE CROSSING, 33 KV LINE CROSSING",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16351269270072 11.4422162276717, 78.16519240849168 11.444581212876807)"
68,5,,S,DA,26,06-May,322,319.6810911,4.37,222,,11.44458121,78.16519241,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16519240849168 11.444581212876807, 78.16674629505555 11.446710104787448)"
69,4,,S,DA,26,05-Apr,291,291.8098696,3.97,321,,11.4467101,78.1667463,GOOD,GOOD,110KV SINGLE CIRCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16674629505555 11.446710104787448, 78.1669811302807 11.447037585408667)"
70,TAPPING POINT(1),2W,T,DB,24,4-TP(1),44,43.41658669,5.09,222,"00°00'00""",11.44703759,78.16698113,GOOD,GOOD,"LT LINE CROSSING,110KV D/C",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1669811302807 11.447037585408667, 78.1681746162125 11.448575806040834)"
71,3,,T,DB,24,TP(1)-3,208,214.4411341,3.52,222,,11.44857581,78.16817462,GOOD,GOOD,LT-3,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1681746162125 11.448575806040834, 78.17001706767526 11.451159160570844)"
72,2,,T,DC,26,03-Feb,350,349.674134,4.76,225,"25°04'13""(LT)",11.45115916,78.17001707,GOOD,GOOD,LT-2,TAR AND SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17001706767526 11.451159160570844, 78.17048565528128 11.453765346885175)"
73,1,,T,DD,28,02-Jan,289,293.0187707,5.46,225,"38°05'39""(LT)",11.45376535,78.17048566,GOOD,GOOD,"LT LINE CROSSING, 33 KV LINE CROSSING",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17048565528128 11.453765346885175, 78.17024308193031 11.454214673569254)"
74,GANTRY(RASIPURAM),2W,T,T,20,1-GANTRY,60,56.35601121,,225,,11.45421467,78.17024308,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL LENGTH ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
