Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
51,,S,26,52 to 51,223.1391752,223.914167,,4.1,156,,11.347797,77.771135,GOOD,GOOD,LT crossing ,,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771135 11.347797, 77.7728 11.3482222)"
50,,T,28,51 to 50 ,189.4964121,187.8720011,,4.6,158,"51⁰45'46"" LT",11.3482222,77.7728,GOOD,GOOD,,,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7728 11.3482222, 77.77364 11.350108)"
49,,S,26,50 to 49 ,229.4899039,228.0316894,,4.5,157,,11.350108,77.77364,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77364 11.350108, 77.774698 11.352538)"
48,,S,26,49 to 48,289.0839095,292.7738841,,5.6,162,,11.352538,77.774698,GOOD,GOOD,LT crossing ,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774698 11.352538, 77.775648 11.354502)"
47,,S,26,48 to 47,243.2077458,240.908807,,5.8,162,,11.354502,77.775648,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775648 11.354502, 77.776365 11.356133)"
46,2W,T,26,47 to 46,203.1166763,196.8055724,,6.2,166,"16⁰27'44"" LT",11.356133,77.776365,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776365 11.356133, 77.77661 11.358105)"
45,,S,28,46 to 45 ,215.5983332,219.9324234,,6.6,166,"43⁰5'55"" LT",11.358105,77.77661,GOOD,GOOD,lt-11kv line crossing ,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77661 11.358105, 77.776043 11.358872)"
44,,T,28,45 to44,109.2552163,105.0953763,,4.8,169,"31⁰27'48"" RT",11.358872,77.776043,GOOD,GOOD,,"Road,Railway crossing",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776043 11.358872, 77.775818 11.361604)"
43,,T,26,44 to43,305.9439891,303.4261076,,5.2,179,"19⁰47'18"" RT",11.361604,77.775818,GOOD,GOOD,"2-11kv ,lt line crossing ",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775818 11.361604, 77.776553 11.364284)"
42,,S,26,43 to 42 ,311.7265183,307.3443514,,5.6,180,,11.364284,77.776553,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776553 11.364284, 77.777063 11.36607)"
41,,T,26,42 to 41,211.608575,205.4067128,,5.1,189,"20⁰25'24"" LT",11.36607,77.777063,GOOD,GOOD,,Road crossing ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777063 11.36607, 77.77695 11.36743)"
40,,T,26,41 to 40,145.7578958,151.0556747,,4.3,191,"17⁰46'43"" LT",11.36743,77.77695,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77695 11.36743, 77.776313 11.36895)"
39,,S,26,40 to 39 ,179.752104,182.0811052,,4.1,193,,11.36895,77.776313,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776313 11.36895, 77.775578 11.370752)"
38,,T,26,39 to 38 ,223.6702707,215.0289769,,5.3,187,"25⁰24'30"" RT",11.370752,77.775578,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775578 11.370752, 77.775707 11.372842)"
37,,S,26,38 to 37 ,228.7046482,231.7892457,,4.1,187,,11.372842,77.775707,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775707 11.372842, 77.775915 11.375073)"
36,,T,26,37 to 36 ,246.0648915,248.0119775,,5.1,189,"21⁰57'21"" LT",11.375073,77.775915,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775915 11.375073, 77.775247 11.37727)"
35,,S,26,36 to 35,251.4456339,253.9144596,,4.5,186,,11.37727,77.775247,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775247 11.37727, 77.774513 11.379972)"
34,,S,26,35 to 34 ,320.7594896,309.6663327,,5.1,193,,11.379972,77.774513,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774513 11.379972, 77.773652 11.382685)"
33,,T,26,34 to 33,318.9242199,314.7055065,,5.6,193,"19⁰51'27"" LT",11.382685,77.773652,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773652 11.382685, 77.772292 11.38445)"
32,,S,26,33 to 32 ,246.3097081,245.4384679,,5.4,179,,11.38445,77.772292,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772292 11.38445, 77.770968 11.386093)"
31,,S,26,32 to  31 ,233.4146903,232.3617203,,5.1,183,,11.386093,77.770968,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770968 11.386093, 77.769455 11.388057)"
30,,S,26,31 to 30 ,270.7499514,273.0870433,,5.1,185,,11.388057,77.769455,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769455 11.388057, 77.768067 11.389767)"
29,,S,26,30 to 29 ,248.9125373,242.5173134,,5.1,182,,11.389767,77.768067,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.768067 11.389767, 77.76654 11.39165)"
28,2W,T,24,29 to 28 ,265.6802105,266.9545806,,4.3,190,"3⁰35'59"" LT",11.39165,77.76654,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76654 11.39165, 77.76619 11.39203)"
27,,Dp1,26,28 to 27 ,57.67523749,56.84008792,,4.4,192,,11.39203,77.76619,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76619 11.39203, 77.76569 11.39247)"
26,,Dp2,26,27 to 26 ,74.1348199,73.17537893,,4.3,190,,11.39247,77.76569,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76569 11.39247, 77.76516 11.39298)"
25,,T,28,26 to 25,74.23477698,80.85864892,,4.6,189,"42⁰36'48"" LT",11.39298,77.76516,GOOD,GOOD,,Car Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76516 11.39298, 77.76203 11.39307)"
24,,T,24,25 to 24,338.8028333,342.0019338,,4.8,185,"6⁰23'24"" LT",11.39307,77.76203,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76203 11.39307, 77.76068 11.39296)"
23,,S,26,24 to 23 ,146.6446886,147.9479051,,4.3,184,,11.39296,77.76068,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76068 11.39296, 77.75764 11.39271)"
22,,S,26,23 to 22 ,335.9773636,333.1773952,,4.8,183,,11.39271,77.75764,GOOD,GOOD,"2-11kv ,line crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75764 11.39271, 77.753798 11.392738)"
21,,T,28,22 to 21 ,186.4679694,199,,5.1,186,"107⁰43'16"" LT",11.392738,77.753798,GOOD,GOOD,3-LT-11kv line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753798 11.392738, 77.75381 11.3927)"
20,,T,28,21 t o 20,231.7881779,225,,4.36,183,"86⁰25'22"" RT",11.3927,77.75381,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75381 11.3927, 77.75187 11.39197)"
19,,S,26,20 to 19 ,228.1731184,226.7708616,,4.4,179,,11.39197,77.75187,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75187 11.39197, 77.74969 11.3912)"
18,,S,26,19 to 18 ,249.777127,252.894176,,4.6,176,,11.3912,77.74969,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74969 11.3912, 77.74748 11.39035)"
17,,S,26,18 to 17,259.8968649,259.0649717,,4.1,176,,11.39035,77.74748,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74748 11.39035, 77.74495 11.38954)"
16,2W,T,24,17 to 16 ,291.4825914,290.5076648,,4.9,177,"13⁰48'16"" RT",11.38954,77.74495,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74495 11.38954, 77.74245 11.38936)"
15,,S,26,16 to15,274.4046656,273.7736066,,5.2,170,,11.38936,77.74245,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74245 11.38936, 77.74054 11.38925)"
14,,T,24,15 to 14 ,209.8718162,208.9631435,,4.8,176,"12⁰52'46"" LT",11.38925,77.74054,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74054 11.38925, 77.73838 11.38863)"
13,,S,26,14 to 13,243.1030524,245.6930244,,4.5,171,,11.38863,77.73838,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73838 11.38863, 77.73666 11.38813)"
12,,T,24,13 to 12,197.0809568,195.8403256,,4.1,173,"7⁰27'42"" LT",11.38813,77.73666,GOOD,GOOD,LT crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73666 11.38813, 77.73579 11.38775)"
11,,T,24,12 to 11 ,104.0538266,103.9148321,,3.9,173,"0⁰43'15"" RT",11.38775,77.73579,GOOD,GOOD,LT crossing ,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73579 11.38775, 77.7347 11.38729)"
10,,T,24,11to 10 ,134.1062138,129.4813855,,4.3,182,"14⁰37'9"" LT",11.38729,77.7347,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7347 11.38729, 77.733765 11.386575)"
9,,T,24,10  to 9,125.9189151,129.200365,,4.1,161,"10⁰0'50"" RT",11.386575,77.733765,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733765 11.386575, 77.732142 11.385732)"
8,,S,26,9 to 8,196.0507545,200.3248182,,4.3,161,,11.385732,77.732142,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.732142 11.385732, 77.730383 11.384775)"
7,,T,28,8 to 7,222.9288177,219.3883216,,4.1,162,"39⁰17'58"" RT",11.384775,77.730383,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.730383 11.384775, 77.727998 11.385208)"
6,,S,26,7 to 6,260.216234,264.8614113,,5.2,166,,11.385208,77.727998,GOOD,GOOD,,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.727998 11.385208, 77.725825 11.385575)"
5,,T,26,6 to 5,243.5791117,240.7849326,,6.4,166,"20⁰54'42"" LT",11.385575,77.725825,GOOD,GOOD,33kv line crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.725825 11.385575, 77.724023 11.385223)"
4,,S,26, 5 to 4,203.8990816,200.6324573,,4.8,166,,11.385223,77.724023,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.724023 11.385223, 77.722022 11.384825)"
3,,T,24,4 to 3,218.6767616,222.9433837,,6.5,166,"2⁰45'55"" LT",11.384825,77.722022,GOOD,GOOD,,,,under line S/C crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.722022 11.384825, 77.719303 11.384148)"
2,,T,24,3 to 2  ,306.1044425,306.2758322,,6.7,157,"0⁰55'23"" RT",11.384148,77.719303,GOOD,GOOD,110kv line crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.719303 11.384148, 77.716865 11.383582)"
1,,T,26,2 to 1,270.7980513,273.5472545,,3.1,156,"15⁰55'33"" RT",11.383582,77.716865,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716865 11.383582, 77.71593 11.38365)"
LILO(1A),3W,T,26,1  to 1Alilo,70.5543864,103,,0.5,167,"20⁰31'54"" RT",11.38365,77.71593,GOOD,GOOD,,,,LILO  to 50 mtrs towards 110 kv SamayaSangili SS(Need Approach cable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71593 11.38365, 77.715617 11.383811)"
BKB 1 Gantry ,2W,Gantry ,20,1Alilo to BKB 1 Gantry ,42.88453871,38.55201834,,0.5,163,,11.383811,77.715617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
