Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,,SC,26,33-34,228,227.4276287,1.17,213,"27°45'37""(RT)",11.40135,78.00267,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00267 11.40135, 78.00478 11.40229)"
35,,SA,26,34-35,256,252.8996564,0.57,217,,11.40229,78.00478,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00478 11.40229, 78.00701 11.40328)"
36,,SA,26,35-36,269,267.1239007,0.93,221,,11.40328,78.00701,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00701 11.40328, 78.00907411 11.40417798)"
37,,SA,26,36-37,248,244.1400191,0.48,219,,11.40417798,78.00907411,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00907411 11.40417798, 78.01091 11.405)"
38,2W,SB,24,37-38,220,222.5246589,0.21,219,"15°09'51""(LT)",11.405,78.01091,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01091 11.405, 78.01283 11.40652)"
39,,SA,26,38-39,271,268.9051331,0.79,218,,11.40652,78.01283,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01283 11.40652, 78.01478 11.40804)"
40,,SA,26,39-40,273,271.4674706,1.85,213,,11.40804,78.01478,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01478 11.40804, 78.01659 11.40947)"
41,,SA,26,40-41,262,253.2946756,0.47,208,,11.40947,78.01659,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01659 11.40947, 78.01879 11.41119)"
42,,SA,26,41-42,310,306.620267,0.19,206,,11.41119,78.01879,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01879 11.41119, 78.02092 11.41286)"
43,,SA,26,42-43,299,297.1878844,0.44,202,,11.41286,78.02092,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02092 11.41286, 78.02297 11.41448)"
44,,SB,24,43-44,289,286.9029163,0.18,200,"08°46'08""(LT)",11.41448,78.02297,GOOD,GOOD,"LT LINE CROSSING, 22KV-1",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02297 11.41448, 78.02483 11.41648)"
45,,SB,24,44-45,303,300.5184752,0.8,200,"03°34'33""(LT)",11.41648,78.02483,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02483 11.41648, 78.02633 11.41831)"
46,,SC,26,45-46,263,260.5709584,1.31,199,"23°44'38""(RT)",11.41831,78.02633,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02633 11.41831, 78.02798 11.41915)"
47,,SB,24,46-47,204,202.8091344,1.41,199,"05°52'26""(LT)",11.41915,78.02798,GOOD,GOOD,"22KV-2,LT-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02798 11.41915, 78.02981 11.42033)"
48,,SB,24,47-48,240,238.7963695,0.79,199,"00°00'00""",11.42033,78.02981,GOOD,GOOD,22KV LINE CROSSING,,LAKE  CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02981 11.42033, 78.03176 11.42162)"
49,,SB,24,48-49,264,256.4478896,2.14,200,"07°042'17""(LT)",11.42162,78.03176,GOOD,GOOD,,,LAKE  CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03176 11.42162, 78.03359 11.42322)"
50,,SD,28,49-50,273,267.0867923,3.14,199,"35°03'32""(LT)",11.42322,78.03359,GOOD,GOOD,,,LAKE  CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03359 11.42322, 78.03366 11.42351)"
PARUTHIPALLI GANTRY,2W,T,20,50-GANTRY,37,33.00574512,,200,,11.42351,78.03366,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
