Tower No,CIRCUIT,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,T.NO-204,,DA,S,26,230-204,272.1176216,5.36,295,,77.57188908,11.25963666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57188908 11.25963666, 77.57388324 11.26052293)"
11,T.NO-205,,DA,S,26,204-205,238.933045,6.37,292,,77.57388324,11.26052293,GOOD,GOOD,NO,2nos LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57388324 11.26052293, 77.57654749 11.26162021)"
12,T.NO-206 LILO 110KV THIRUVATCHI,2W,DD,T,31,205-206,315.3981611,6.71,294,"96°24'2.23""",77.57654749,11.26162021,GOOD,GOOD,NO,,"NALA,TAAR ROAD",CULTIVATION,NEED 3 WAY JUNCTION BOX. 2 EARTH WIRE ON THIS TOWER ONE CONTINUE TO OUR LINE ANOTHER CONNECT WITH THIRUVATCHI TOWER . RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57654749 11.26162021, 77.57737383 11.25882112)"
13,T.NO-207,,DD,T,28,206-207,322.6918034,8.1,295,"37°44'6.58""",77.57737383,11.25882112,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57737383 11.25882112, 77.5765874 11.2568492)"
14,T.NO-208,,DA,S,26,207-208,234.5570293,8.01,297,,77.5765874,11.2568492,GOOD,GOOD,NO,,,CULTIVATION,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5765874 11.2568492, 77.57563247 11.25445408)"
15,T.NO-209,,DA,S,26,208-209,284.8859421,6.26,298,,77.57563247,11.25445408,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57563247 11.25445408, 77.57477172 11.2523563)"
16,T.NO-210,,DD,T,28,209-210,250.505489,7.42,302,"47°51'2.16""",77.57477172,11.2523563,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57477172 11.2523563, 77.57555385 11.2507593)"
17,T.NO-211,,DD,T,28,210-211,196.3288058,8.29,302,"32°14'38.09""",77.57555385,11.2507593,GOOD,GOOD,NO,,,CULTIVATION,2 EARTH WIRE ON THIS TOWER.RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57555385 11.2507593, 77.57649147 11.25018194)"
18,T.NO-212,,DP,DP,20,211-212,120.7393888,DP,304,,77.57649147,11.25018194,GOOD,GOOD,NO,,,CULTIVATION,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57649147 11.25018194, 77.57721379 11.25009437)"
19,T.NO-213,,DP,DP,20,212-213,79.51100553,DP,304,,77.57721379,11.25009437,GOOD,GOOD,NO,DC LINE CROSSING OUR LINE,,CULTIVATION,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57721379 11.25009437, 77.57784361 11.24989916)"
20,T.NO-214,,DD,T,28,213-214,72.12489168,5.39,304,"56°23'50.89""",77.57784361,11.24989916,GOOD,GOOD,NO,,,CULTIVATION,2 EARTH WIRE ON THIS TOWER.RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57784361 11.24989916, 77.57842106 11.24793349)"
21,T.NO-215,,DC,T,26,214-215,226.5259367,6.88,305,"22°49'41.24""",77.57842106,11.24793349,GOOD,GOOD,NO,,,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57842106 11.24793349, 77.57813402 11.24550547)"
22,T.NO-216,,DA,S,26,215-216,270.5586813,8.62,312,,77.57813402,11.24550547,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57813402 11.24550547, 77.57800404 11.24426875)"
23,T.NO-217,,DD,T,28,216-217,137.6154061,9.34,310,"69°19'27.43""",77.57800404,11.24426875,GOOD,GOOD,YES,"11KV,LT",TAAR ROAD,INSIDE SS,2 FEEDER ON THIS TOWER 1.THINGALUR 2.THIRUVATCHI .RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57800404 11.24426875, 77.57770129 11.24419006)"
24,GANTRY 110KV INGUR,2W,GANTRY,GANTRY,20,217-GANTRY,34.20526275,,311,,77.57770129,11.24419006,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
