Tower No,CIRCUIT,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-10,DA,S,29,9-10,205.91260281974002,4.16,286,,77.59617172,11.24113815,GOOD,GOOD,NO,2nos 11KV,MUDROAD,CULTIVATION,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59617172 11.24113815, 77.59825033 11.24022552)"
12,T.NO-11,DA,S,29,10-11,248.5658866377283,6.1,284,,77.59825033,11.24022552,GOOD,GOOD,NO,,,CULTIVATION,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59825033 11.24022552, 77.60013764 11.23941394)"
13,T.NO-12,DB,T,27,11-12,224.92887764802455,7.33,283,"4°26'35.08""",77.60013764,11.23941394,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60013764 11.23941394, 77.60218731 11.2383389)"
14,T.NO-13,DA,S,26,12-13,253.60205046489668,7.81,276,,77.60218731,11.2383389,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60218731 11.2383389, 77.60450058 11.23706278)"
15,T.NO-14,DC,T,35,13-14,289.54619665953135,3.42,278,"24°7'33.13""",77.60450058,11.23706278,GOOD,GOOD,YES,400KV DC LINE CROSSING ABOVE OUR LINE,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60450058 11.23706278, 77.60489855 11.23653525)"
16,T.NO-15,DD,T,37,14-15,72.80109889280519,5.21,279,"32°29'55.01""",77.60489855,11.23653525,GOOD,GOOD,YES,"ELECTRIC RAILWAY CROSSING,11KV","TAAR ROAD,MUDROAD",PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60489855 11.23653525, 77.60753469 11.23554541)"
17,T.NO-16,DA,S,29,15-16,308.1720298794165,5.73,276,,77.60753469,11.23554541,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60753469 11.23554541, 77.6092956 11.23493366)"
18,T.NO-17,DB,T,24,16-17,203.9730374338726,8.9,270,"2°21'5.46""",77.6092956,11.23493366,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6092956 11.23493366, 77.61183096 11.23393563)"
19,T.NO-18,DA,S,26,17-18,298.24151287169934,6.63,268,,77.61183096,11.23393563,GOOD,GOOD,NO,,,CULTIVATION,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61183096 11.23393563, 77.61431171 11.23297421)"
20,T.NO-19,DA,S,26,18-19,291.20439557122074,6.49,268,,77.61431171,11.23297421,GOOD,GOOD,NO,33KV,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61431171 11.23297421, 77.61688372 11.23198486)"
21,T.NO-20,DA,S,26,19-20,301.61730719572444,6.98,269,,77.61688372,11.23198486,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61688372 11.23198486, 77.61923672 11.23106969)"
22,T.NO-21,DA,S,29,20-21,276.34217919094436,8.1,270,,77.61923672,11.23106969,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61923672 11.23106969, 77.6214624 11.23024599)"
23,T.NO-22,DC,T,29,21-22,259.724854413281,7.13,273,"15°27'25.33""",77.6214624,11.23024599,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6214624 11.23024599, 77.62385834 11.23003515)"
24,T.NO-23 LILO INGUR 230KV,DC,T,26,22-23,262.8402556687236,,281,,77.62385834,11.23003515,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24FIBER JUNCTION BOX ON THIS TOWER.24F OPGW CABLE CONTINUE TO ERODE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,=SUM(G8:G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
