S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 10,,S,DA,26,09-Oct,257.1225389,5.87,392,,77.16144444,10.61152778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16144444444446 10.611527777777777, 77.15980555555556 10.611749999999999)"
12,T.NO 11,,S,DA,26,10-Nov,183.709009,6.65,390,,77.15980556,10.61175,GOOD,GOOD,"LT-1, 11KV-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15980555555556 10.611749999999999, 77.15719444444446 10.612)"
13,T.NO 12,,T,DB,24,11-Dec,286.1835076,7.13,385,"8°27'33""",77.15719444,10.612,GOOD,GOOD,11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15719444444446 10.612, 77.15577777777779 10.612388888888889)"
14,T.NO 13,,T,DB,24,Dec-13,161.0465771,2.5,380,"4°4'16""",77.15577778,10.61238889,GOOD,GOOD,,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15577777777779 10.612388888888889, 77.15311111111112 10.612833333333333)"
15,T.NO 14,,S,DA,26,13-14,294.9321956,3.12,396,,77.15311111,10.61283333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15311111111112 10.612833333333333, 77.15066666666667 10.613305555555556)"
16,T.NO 15,,S,DA,26,14-15,273.7918918,3.95,391,,77.15066667,10.61330556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15066666666667 10.613305555555556, 77.14958333333334 10.613527777777778)"
17,T.NO 16,,S,DA,26,15-16,121.0165278,4.35,396,,77.14958333,10.61352778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14958333333334 10.613527777777778, 77.14719444444445 10.613972222222221)"
18,T.NO 17,,T,DC,26,16-17,265.7461194,5.05,388,"16°59'22""",77.14719444,10.61397222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14719444444445 10.613972222222221, 77.14572222222223 10.614777777777778)"
19,T.NO 18,,S,DA,26,17-18,182.5294497,5.83,391,,77.14572222,10.61477778,GOOD,GOOD,LT-1,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14572222222223 10.614777777777778, 77.14408333333334 10.615583333333333)"
20,T.NO 19,,T,DD,28,18-19,201.246118,6.85,386,"38°9'46""",77.14408333,10.61558333,GOOD,GOOD,,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14408333333334 10.615583333333333, 77.1431388888889 10.617694444444444)"
21,T.NO 20,2W,T,DD,28,19-20,252.8339376,3.95,396,"88°17'45""",77.14313889,10.61769444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1431388888889 10.617694444444444, 77.14297222222223 10.617611111111112)"
22,GT 110KVKOMANGALAM  PUDHUR SS,,T,GANTRY,20,20-GT,20.61552813,,392,,77.14297222,10.61761111,GOOD,MISSING,,,,110KV KOMANGALAM PUDHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
