S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 11,,T,DD,28,10-Nov,264.1968963,4.3,359,"30°6'8""",77.1285,11.14897222,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12849999999999 11.148972222222222, 77.12683333333332 11.148305555555556)"
12,T.NO 12,,T,DD,28,11-Dec,199.4617758,5.76,358,"57°43'59""",77.12683333,11.14830556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12683333333332 11.148305555555556, 77.12575 11.149055555555556)"
13,T.NO 13,2W,T,DB,24,Dec-13,142.8740704,5.6,359,"13°5'19""",77.12575,11.14905556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12575 11.149055555555556, 77.12472222222222 11.150194444444445)"
14,T.NO 14,,T,DD,28,13-14,169.2483382,3.27,360,"34°1'25""",77.12472222,11.15019444,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12472222222222 11.150194444444445, 77.12244444444444 11.150777777777778)"
15,T.NO 15,,T,DC,26,14-15,258.7856256,4.75,359,"18°31'59""",77.12244444,11.15077778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12244444444444 11.150777777777778, 77.11972222222222 11.150583333333334)"
16,T.NO 16,,T,DB,24,15-16,296.8922363,4.4,362,"13°9'16""",77.11972222,11.15058333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11972222222222 11.150583333333334, 77.11747222222222 11.150944444444445)"
17,T.NO 17,,T,DB,24,16-17,250.8944001,3.75,364,"11°46'41""",77.11747222,11.15094444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11747222222222 11.150944444444445, 77.11488888888888 11.150833333333333)"
18,T.NO 18,,T,DD,28,17-18,280.4014979,3.88,370,"86°28'0""",77.11488889,11.15083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11488888888888 11.150833333333333, 77.11466666666666 11.153027777777778)"
19,T.NO 19,,T,DD,28,18-19,243.6144495,4.32,362,"80°8'42""",77.11466667,11.15302778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11466666666666 11.153027777777778, 77.11272222222222 11.15313888888889)"
20,T.NO 20,,T,DD,28,19-20,211.3409567,4.98,368,"39°33'0""",77.11272222,11.15313889,GOOD,GOOD,2nosHT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11272222222222 11.15313888888889, 77.11136111111111 11.154388888888889)"
21,T.NO 21,,T,DC,26,20-21,203.0886506,3.12,369,"21°18'28""",77.11136111,11.15438889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11136111111111 11.154388888888889, 77.11077777777777 11.15563888888889)"
22,T.NO 22,,T,DD,28,21-22,151.1687798,2.74,368,"72°19'4""",77.11077778,11.15563889,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11077777777777 11.15563888888889, 77.10880555555555 11.15536111111111)"
23,T.NO 23,,T,DB,24,22-23,217.2233873,6.2,368,"5°59'42""",77.10880556,11.15536111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10880555555555 11.15536111111111, 77.10597222222222 11.155277777777778)"
24,T.NO 24,,T,DD,28,23-24,311.2314251,3.89,368,"45°33'15""",77.10597222,11.15527778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10597222222222 11.155277777777778, 77.10433333333333 11.156805555555556)"
25,T.NO 25,,T,DB,24,24-25,244.761108,5.1,366,"2°22'24""",77.10433333,11.15680556,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10433333333333 11.156805555555556, 77.10255555555555 11.15863888888889)"
26,T.NO 26,2W,T,DC,26,25-26,282.1577573,7.42,368,"21°2'50""",77.10255556,11.15863889,GOOD,GOOD,HT,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10255555555555 11.15863888888889, 77.10180555555554 11.160388888888889)"
27,T.NO 27,,T,DD,28,26-27,207.8581247,5.15,374,"76°46'24""",77.10180556,11.16038889,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10180555555554 11.160388888888889, 77.10024999999999 11.160111111111112)"
28,T.NO 28,,T,DC,26,27-28,172.626765,7.85,369,"20°35'23""",77.10025,11.16011111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10024999999999 11.160111111111112, 77.09774999999999 11.16061111111111)"
29,T.NO 29,,T,DB,24,28-29,277.7228835,5.49,373,"7°49'30""",77.09775,11.16061111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09774999999999 11.16061111111111, 77.09527777777777 11.160722222222223)"
30,T.NO 30,,T,DB,24,29-30,270.3127818,4.72,373,"3°52'58""",77.09527778,11.16072222,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09527777777777 11.160722222222223, 77.09355555555555 11.160944444444445)"
31,T.NO 31,,T,DB,24,30-31,190.2761152,2.9,376,"12°53'16""",77.09355556,11.16094444,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09355555555555 11.160944444444445, 77.09105555555556 11.160694444444445)"
32,T.NO 32,,T,DB,24,31-32,275.637443,4.2,380,"5°2'48""",77.09105556,11.16069444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09105555555556 11.160694444444445, 77.08844444444443 11.160666666666668)"
33,T.NO 33,,T,DD,28,32-33,286.0629301,3.98,384,"75°50'40""",77.08844444,11.16066667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08844444444443 11.160666666666668, 77.08808333333333 11.161944444444444)"
34,T.NO 34,,T,DD,28,33-34,147.2582765,4.8,389,"58°43'46""",77.08808333,11.16194444,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08808333333333 11.161944444444444, 77.08594444444444 11.162555555555556)"
35,T.NO 35,,T,DD,28,34-35,244.3644819,5.4,387,"39°59'31""",77.08594444,11.16255556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08594444444444 11.162555555555556, 77.08475 11.164333333333333)"
36,T.NO 36,,T,DD,28,35-36,235.4761134,2.67,389,"56°34'16""",77.08475,11.16433333,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08475 11.164333333333333, 77.08394444444444 11.164333333333333)"
37,T.NO 37 ,2W,T,MB,45,36-37,86.00581376,3.37,392,"8°34'25""",77.08394444,11.16433333,GOOD,GOOD,230KV,,PLAIN,PH-2-ARASUR-GOPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08394444444444 11.164333333333333, 77.08202777777777 11.164027777777779)"
38,T.NO 38,,T,DB,24,37-38,211.7474911,3.44,387,"3°11'59""",77.08202778,11.16402778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08202777777777 11.164027777777779, 77.08141666666667 11.163916666666667)"
39,GANTRY M.G.C PALAYAM 110kv SS,2W,T,GANTRY,20,38-GANTRY,69.63476143,,387,,77.08141667,11.16391667,GOOD,MISSING,HT,,PLAIN,M.G.C PALAYAM 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
