Tower No,JOINTBOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-41,,T,SB,27,40-41,66.49060084,4.17,2054,"5°32'29.3""",76.68033333,11.31688889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68033333333334 11.316888888888888, 76.68161111111111 11.317027777777778)"
T.NO-42,,T,SB,24,41-42,138.9244399,3.39,2008,"4°58'15.7""",76.68161111,11.31702778,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68161111111111 11.317027777777778, 76.68416666666667 11.317083333333333)"
T.NO-43,,T,SB,24,42-43,279.1146718,3.8,2002,"5°55'53.7""",76.68416667,11.31708333,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68416666666667 11.317083333333333, 76.68672222222223 11.316888888888888)"
T.NO-44,,T,SB,27,43-44,280.7863957,3.68,1980,"7°22'59.6""",76.68672222,11.31688889,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68672222222223 11.316888888888888, 76.68705555555556 11.316916666666666)"
T.NO-45,,T,SC,26,44-45,37.05401463,3.7,1979,"26°34'21.6""",76.68705556,11.31691667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68705555555556 11.316916666666666, 76.68777777777778 11.317305555555555)"
T.NO-46,,T,SC,29,45-46,90.91754506,3.8,1938,"17°59'38.4""",76.68777778,11.31730556,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.68777777777778 11.317305555555555, 76.69197222222222 11.318138888888889)"
T.NO-47,,T,SB,24,46-47,464.6084373,3.42,1947,"1°36'43.3""",76.69197222,11.31813889,GOOD,GOOD,NO,22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.69197222222222 11.318138888888889, 76.69252777777778 11.318222222222222)"
T.NO-48,,T,SC,29,47-48,62.96824597,3.82,1949,"29°14'41.6""",76.69252778,11.31822222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.69252777777778 11.318222222222222, 76.69430555555556 11.319638888888889)"
T.NO-49,,T,SB,24,48-49,249.4253395,4.18,2015,"2°31'13.0""",76.69430556,11.31963889,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.69430555555556 11.319638888888889, 76.69702777777778 11.322027777777777)"
T.NO-50,,T,SC,29,49-50,395.8800323,3.78,1899,"18°37'38.1""",76.69702778,11.32202778,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.69702777777778 11.322027777777777, 76.69786111111111 11.32236111111111)"
T.NO-51,,T,SB,24,50-51,99.00505038,3.4,1898,"8°28'35.8""",76.69786111,11.32236111,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.69786111111111 11.32236111111111, 76.70144444444445 11.323277777777777)"
T.NO-52,,T,SC,29,51-52,405.3060572,3.54,2030,"18°44'18.9""",76.70144444,11.32327778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.70144444444445 11.323277777777777, 76.70522222222222 11.323)"
T.NO-53,,T,SB,27,52-53,414.0169079,3.12,1963,"2°46'52.7""",76.70522222,11.323,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.70522222222222 11.323, 76.70863888888888 11.322888888888889)"
T.NO-54,,T,SC,32,53-54,371.0862433,2.62,1963,"24°20'0.3""",76.70863889,11.32288889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.70863888888888 11.322888888888889, 76.71075 11.32188888888889)"
T.NO-55,,T,SD,28,54-55,257.1867026,0.19,1946,"45°59'46.9""",76.71075,11.32188889,GOOD,GOOD,YES,,TAAR ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.71075 11.32188888888889, 76.71086111111111 11.321583333333333)"
110KV GANTRY ATHIKARATTI,2W,T,,20,55-GANTRY,34.78505426,,1943,,76.71086111,11.32158333,GOOD,MISING,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
