S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
44,T.NO 25,S,DA,26,24-25,213.43148783626094,17.01,234,,77.63986111111112,11.604916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63986111111112 11.604916666666666, 77.6401388888889 11.606083333333332)"
45,T.NO 26,T,DB,24,25-26,135.14806694880988,7.8,233,"7°56'6""",77.6401388888889,11.606083333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6401388888889 11.606083333333332, 77.64038888888889 11.608833333333333)"
46,T.NO 27,S,DA,26,26-27,305.94280511232813,10.38,221,,77.64038888888889,11.608833333333333,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64038888888889 11.608833333333333, 77.64072222222222 11.611527777777777)"
47,T.NO 28,T,DD,28,27-28,298.93979326948096,15.62,231,"32°3'32""",77.64072222222222,11.611527777777777,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64072222222222 11.611527777777777, 77.6421388888889 11.61336111111111)"
48,T.NO 29,S,DA,26,28-29,254.80384612481814,9.87,219,,77.6421388888889,11.61336111111111,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6421388888889 11.61336111111111, 77.64372222222222 11.615333333333332)"
49,T.NO 30,S,DA,26,29-30,276.8104044287353,16.84,216,,77.64372222222222,11.615333333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64372222222222 11.615333333333332, 77.64516666666667 11.617111111111111)"
50,T.NO 31,S,DA,26,30-31,254.4346674492295,14.23,226,,77.64516666666667,11.617111111111111,GOOD,GOOD,LT1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64516666666667 11.617111111111111, 77.64672222222222 11.619055555555557)"
51,T.NO 32,T,DB,24,31-32,273.64210202379314,11.98,228,"10°57'17""",77.64672222222222,11.619055555555557,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64672222222222 11.619055555555557, 77.64761111111112 11.620805555555556)"
52,T.NO 33,S,DA,26,32-33,216.91011963483862,15.46,224,,77.64761111111112,11.620805555555556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64761111111112 11.620805555555556, 77.64858333333333 11.622722222222222)"
53,T.NO 34,S,DA,26,33-34,235.23817717368922,14.13,225,,77.64858333333333,11.622722222222222,GOOD,GOOD,STREAM,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64858333333333 11.622722222222222, 77.64925000000001 11.623944444444446)"
54,T.NO 35,T,DC,26,34-35,155.23530526268823,12.55,225,"19°34'16""",77.64925000000001,11.623944444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64925000000001 11.623944444444446, 77.65094444444445 11.625416666666666)"
55,T.NO 36,S,DA,26,35-36,245.73359558676546,15.92,226,,77.65094444444445,11.625416666666666,GOOD,GOOD,HT1,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65094444444445 11.625416666666666, 77.65227777777778 11.626722222222222)"
56,T.NO 37,S,DA,26,36-37,205.7984450864486,7.07,224,,77.65227777777778,11.626722222222222,GOOD,GOOD,LT1+1,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65227777777778 11.626722222222222, 77.65405555555556 11.628444444444446)"
57,T.NO 38,S,DA,26,37-38,270.8228203087768,5.72,228,,77.65405555555556,11.628444444444446,GOOD,GOOD,"LT1,STREAM",MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65405555555556 11.628444444444446, 77.65522222222222 11.629472222222223)"
58,T.NO 39,T,DC,26,38-39,172.00290695217916,13.23,221,"25°46'55""",77.65522222222222,11.629472222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65522222222222 11.629472222222223, 77.65594444444444 11.631416666666667)"
59,T.NO 40,S,DA,26,39-40,228.7116088002531,9.22,221,,77.65594444444444,11.631416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65594444444444 11.631416666666667, 77.65672222222223 11.633388888888888)"
60,T.NO 41,T,DB,24,40-41,233.2659426491574,4.13,225,"2°13'57""",77.65672222222223,11.633388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65672222222223 11.633388888888888, 77.65727777777778 11.63486111111111)"
61,T.NO 42,S,DA,26,41-42,174.56803831171388,10.73,224,,77.65727777777778,11.63486111111111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65727777777778 11.63486111111111, 77.65791666666668 11.636805555555554)"
62,T.NO 43,T,DD,28,42-43,226.45087767549057,11.46,226,"32°21'18""",77.65791666666668,11.636805555555554,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65791666666668 11.636805555555554, 77.65752777777779 11.638388888888889)"
63,T.NO 44,T,DB,24,43-44,179.47701802737865,1.03,227,"12°7'31""",77.65752777777779,11.638388888888889,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65752777777779 11.638388888888889, 77.65655555555556 11.64036111111111)"
64,T.NO 45,S,DA,26,44-45,243.74166652421167,6.81,232,,77.65655555555556,11.64036111111111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65655555555556 11.64036111111111, 77.65555555555557 11.642416666666666)"
65,T.NO 46,S,DA,26,45-46,251.33443854752576,2.84,237,,77.65555555555557,11.642416666666666,GOOD,GOOD,"LT1,HT1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65555555555557 11.642416666666666, 77.65505555555556 11.643416666666667)"
66,T.NO 47,T,DD,28,46-47,122.98373876248843,1.08,241,"38°51'16""",77.65505555555556,11.643416666666667,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65505555555556 11.643416666666667, 77.65544444444446 11.645249999999999)"
67,T.NO 48,S,DA,26,47-48,207.29930052945187,3.22,247,,77.65544444444446,11.645249999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65544444444446 11.645249999999999, 77.65616666666668 11.648083333333332)"
68,T.NO 49,S,DA,26,48-49,323.5753389861471,4.72,242,,77.65616666666668,11.648083333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65616666666668 11.648083333333332, 77.65680555555556 11.650694444444445)"
69,T.NO 50,S,DA,26,49-50,296.66479400158016,8.29,236,,77.65680555555556,11.650694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65680555555556 11.650694444444445, 77.65733333333334 11.652944444444445)"
70,T.NO 51,S,DA,26,50-51,255.0019607767752,9.63,238,,77.65733333333334,11.652944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65733333333334 11.652944444444445, 77.65783333333334 11.655166666666666)"
71,T.NO 52,S,DA,26,51-52,252.62224763468478,11.55,238,,77.65783333333334,11.655166666666666,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65783333333334 11.655166666666666, 77.65830555555556 11.657333333333334)"
