S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,T.NO 47,,S,DA,26,46-47,239.2404648,4.92,223,,77.45236111,11.46061111,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45236111111112 11.46061111111111, 77.45308333333334 11.45911111111111)"
50,T.NO 48,,T,DB,24,47-48,182.5075341,5.93,227,"14°7'50""",77.45308333,11.45911111,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45308333333334 11.45911111111111, 77.4545 11.457277777777778)"
51,T.NO 49,,S,DA,26,48-49,255.0490149,5.33,230,,77.4545,11.45727778,GOOD,GOOD,HT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4545 11.457277777777778, 77.45613888888889 11.455138888888888)"
52,T.NO 50,,S,DA,26,49-50,296.4456105,6.01,228,,77.45613889,11.45513889,GOOD,GOOD,HT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45613888888889 11.455138888888888, 77.45736111111111 11.453638888888888)"
53,T.NO 51,,T,DD,28,50-51,213.3354167,5.93,233,"34°40'34""",77.45736111,11.45363889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45736111111111 11.453638888888888, 77.45744444444445 11.452305555555554)"
54,T.NO 52,,T,DC,26,51-52,146.2771342,6.35,233,"19°28'22""",77.45744444,11.45230556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45744444444445 11.452305555555554, 77.45677777777779 11.450111111111111)"
55,T.NO 53,3W,T,DC,26,52-53,254.8038461,4.87,233,,77.45677778,11.45011111,GOOD,GOOD,LT,TAARROAD,PLAIN, OPGW AVAILABLE FROM                         T.NO 53 TO GOBI 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45677777777779 11.450111111111111, 77.4366837 11.422160199999999)"
,,,,,,,,,,,77.4366837,11.4221602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,,,,,13204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
