Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,
30/2,S,26,30/3 to 30/2,262.589276087489,252,,3.21,203,,11.369669,77.807109,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.807109 11.369669, 77.8095 11.368448)",,,,,,,,,,,,,,,,,,
30/1,T,28,30/2 to 30/1,291.033126351674,294.079140835274,,4.12,197,"41⁰19'14"" LT",11.368448,77.8095,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8095 11.368448, 77.809848 11.367568)",,,,,,,,,,,,,,,,,,
30 lilo ,T,24,30/1 to 30 lilo,103.052659102218,104.571523196949,,5.33,200,"6⁰42'57"" RT",11.367568,77.809848,3W,,,,Good,Good,,,Plain ,Tapping to Trichengode ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.809848 11.367568, 77.808001 11.366023)",,,,,,,,,,,,,,,,,,
29,T,28,30 lilo to 29 ,270.232103486902,264.494869962598,,4.99,186,"32⁰32'9"" LT",11.366023,77.808001,,,,,Good,Good,LT-Line crossing,Road Crossing ,Plain ,Residential Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.808001 11.366023, 77.807648 11.364896)",,,,,,,,,,,,,,,,,,
28,T,24,29 to 28,126.746814469215,130.583724579998,,5.13,185,"6⁰22'42"" RT",11.364896,77.807648,,,,,Good,Good,LT-33 kv line crossing ,Road Crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.807648 11.364896, 77.806787 11.362947)",,,,,,,,,,,,,,,,,,
27,T,28,28 to 27 ,234.441877327431,235.365414019216,,5.17,182,"48⁰9'10"" RT",11.362947,77.806787,,,,,Good,Good,2-11 kv line crossing ,Road Crossing ,Plain ,Residential Area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806787 11.362947, 77.804813 11.362303)",,,,,,,,,,,,,,,,,,
26,T,26,27 to 26 ,224.771716590347,227.109253058675,,5.68,181,"26⁰4'30"" LT",11.362303,77.804813,,,,,Good,Good,LT -Line crossing ,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.804813 11.362303, 77.80343 11.360968)",,,,,,,,,,,,,,,,,,
25,T,28,26 to 25 ,216.699669146637,211.33755811931,,4.23,179,"35⁰21'53"" LT",11.360968,77.80343,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80343 11.360968, 77.802933 11.35826)",,,,,,,,,,,,,,,,,,
24,T,28,25 to 24 ,303.435270281502,304.655349308233,,4.12,184,"70⁰33'31"" RT",11.35826,77.802933,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.802933 11.35826, 77.80075 11.357912)",,,,,,,,,,,,,,,,,,
23,T,28,24 to 23 ,252.97635638289,241.55437226773,,4.44,186,"50⁰8'5"" LT",11.357912,77.80075,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80075 11.357912, 77.799235 11.355393)",,,,,,,,,,,,,,,,,,
22,T,26,23 to 22 ,316.049726304745,324.266193209201,,3.65,181,"16⁰12'31"" LT",11.355393,77.799235,,,,,Good,Good,LT-Line crossing ,,Plain ,Residential Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.799235 11.355393, 77.797378 11.353678)",,,,,,,,,,,,,,,,,,
21,T,26,22 to 21 ,282.112457621927,277.836777622706,,3.92,174,"24⁰18'30"" RT",11.353678,77.797378,,,,,Good,Good,,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.797378 11.353678, 77.794993 11.352877)",,,,,,,,,,,,,,,,,,
20,S,26,21 to 20 ,276.977843472418,275.207604137243,,3.33,178,,11.352877,77.794993,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.794993 11.352877, 77.792632 11.352157)",,,,,,,,,,,,,,,,,,
19,T,26,20 to 19,268.701648382278,269.945020609967,,2.17,178,"24⁰25'58"" RT ",11.352157,77.792632,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.792632 11.352157, 77.790285 11.352452)",,,,,,,,,,,,,,,,,,
18,S,26,19 to 18 ,261.738712125319,258.451781701606,,6.54,179,,11.352452,77.790285,,,,,Good,Good,LT-Line crossing ,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.790285 11.352452, 77.787493 11.352895)",,,,,,,,,,,,,,,,,,
17,T,28,18 to 17 ,310.215545679712,308.907439980788,,6.33,183,"32⁰40'47"" LT",11.352895,77.787493,,,,,Good,Good,LT-Line crossing ,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.787493 11.352895, 77.786093 11.352293)",,,,,,,,,,,,,,,,,,
16,T,24,17 to 16 ,167.883853016477,166.820741534244,,5.22,186,"9⁰20'1"" LT",11.352293,77.786093,,,,,Good,Good,LT-Line crossing ,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.786093 11.352293, 77.783638 11.350727)",,,,,,,,,,,,,,,,,,
15,S,26,16 to 15 ,315.171837936248,319.329235060207,,3.33,177,,11.350727,77.783638,,,,,Good,Good,,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.783638 11.350727, 77.781643 11.349397)",,,,,,,,,,,,,,,,,,
14,T,24,15 to 14 ,261.595551844733,263.001312597738,,3.33,173,"3⁰0'28"" RT",11.349397,77.781643,2W,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.781643 11.349397, 77.780107 11.348485)",,,,,,,,,,,,,,,,,,
13,T,24,14 to 13 ,201.591013276907,195.820518474779,,7.55,179,"0⁰12'40"" RT",11.348485,77.780107,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.780107 11.348485, 77.777602 11.34701)",,,,,,,,,,,,,,,,,,
12,S,26,13 to 12 ,321.093849542389,318.65383799142,,5.6,173,,11.34701,77.777602,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777602 11.34701, 77.775671 11.346035)",,,,,,,,,,,,,,,,,,
11,S,26,12 to 11 ,226.615909756678,236.948347522231,,5.11,177,,11.346035,77.775671,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775671 11.346035, 77.773767 11.345075)",,,,,,,,,,,,,,,,,,
10,T,26,11 to 10 ,233.546429644408,233.566599209428,,4.2,171,"25⁰39'19"" LT",11.345075,77.773767,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773767 11.345075, 77.771867 11.342612)",,,,,,,,,,,,,,,,,,
9,T,26,10 to 9,355.902680229416,342.661369775685,,1.99,170,"19⁰50'0"" LT",11.342612,77.771867,,,,,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771867 11.342612, 77.77121 11.340549)",,,,,,,,,,,,,,,,,,
8,T,24,9 to 8,232.228765237711,239.382750824458,,1.78,165,"9⁰5'33"" RT",11.340549,77.77121,,,,,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77121 11.340549, 77.770046 11.338249)",,,,,,,,,,,,,,,,,,
7,S,26,8 to 7,285.614987696023,284.592236053148,,1.92,163,,11.338249,77.770046,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770046 11.338249, 77.769065 11.336298)",,,,,,,,,,,,,,,,,,
6,T,24,7 to 6,250.421414829255,241.098192411976,,2.33,158,"11⁰43'34"" RT",11.336298,77.769065,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769065 11.336298, 77.767723 11.33461)",,,,,,,,,,,,,,,,,,
5,T,26,6 to 5 ,231.494748024618,237.504216909409,,2.52,151,"15⁰9'29"" RT",11.33461,77.767723,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.767723 11.33461, 77.766521 11.333725)",,,,,,,,,,,,,,,,,,
4,S,26,5 to 4 ,164.5423472218,163.828344759346,,2.34,153,,11.333725,77.766521,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766521 11.333725, 77.764717 11.332328)",,,,,,,,,,,,,,,,,,
3,T,28,4 to 3,256.988746718635,250.505312228801,,2,150,"40⁰38'54"" RT",11.332328,77.764717,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764717 11.332328, 77.7618 11.332455)",,,,,,,,,,,,,,,,,,
2,T,28,3 to 2 ,314.460372527985,309,,4.2,158,"37⁰57'55"" LT",11.332455,77.7618,,,,,Good,Good,,Road crossing,River crossing ,Road crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7618 11.332455, 77.757822 11.329661)",,,,,,,,,,,,,,,,,,
1,T,28,2 to 1,511.917751769918,513,,2.22,158,"93⁰55'27"" RT",11.329661,77.757822,,,,,Good,Good,,River Crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757822 11.329661, 77.75763 11.32997)",,,,,,,,,,,,,,,,,,
 BKB 2 Gantry,Gantry,20,1 to gantry ,32.9792038714379,40.1240911778347,,0.8,160,,11.32997,77.75763,2W,,,,Good,Good,,,Plain ,inside the 110 kv BKB ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,=SUM(E7:E49),=SUM(F7:F49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
