Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=A16+1,S,26,75 to 76 ,,275.6813176010814,,18,198,,11.621383,77.73474,Good,Good,,Tar Road,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73474 11.621383, 77.73391 11.619183)"
=A17+1,S,26,76 to 77 ,,259.831676387418,,19,197,,11.619183,77.73391,Good,Good,,Sand Road ,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73391 11.619183, 77.733194 11.617213)"
=A18+1,S,26,77 to 78 ,,231.6484347037066,,15,197,,11.617213,77.733194,Good,Good,Lt -11 kv line crossing ,Tar Road,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733194 11.617213, 77.732245 11.614682)"
=A19+1,S,26,78 to 79 ,,298.7016539328255,,14,202,,11.614682,77.732245,Good,Good,,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.732245 11.614682, 77.731351 11.612286)"
=A20+1,S,26,79 to 80 ,,282.6039397006607,,16,201,,11.612286,77.731351,Good,Good,Lt -11 kv line crossing ,Sand Road ,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.731351 11.612286, 77.730349 11.609653)"
=A21+1,S,26,80 to 81 ,,311.301501511718,,17,200,,11.609653,77.730349,Good,Good,Lt line crossing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.730349 11.609653, 77.729258 11.606682)"
=A22+1,S,26,81 to 82,,349.7678718115082,,18,178,,11.606682,77.729258,Good,Good,Lt line crossing ,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.729258 11.606682, 77.728259 11.604023)"
=A23+1,S,26,82 to 83 ,,324,,13,199,,11.604023,77.728259,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.728259 11.604023, 77.727323 11.601471)"
=A24+1,S,26,83 to 84 ,,300.39803072857444,,18,198,,11.601471,77.727323,Good,Good,Lt -400 kv line crossing ,,paddy land,400KV Rasipalayam-Palavady (291-291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.727323 11.601471, 77.726334 11.598838)"
=A25+1,S,26,84 to 85 ,,310.80624911580446,,16,191,,11.598838,77.726334,Good,Good,Lt -11 kv line crossing ,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.726334 11.598838, 77.725116 11.595592)"
=A26+1,S,26,85 to 86 ,,383.11898596407633,,20,193,,11.595592,77.725116,Good,Good,,Sand Road ,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.725116 11.595592, 77.724134 11.593042)"
=A27+1,S,26,86 to 87 ,,312,,16,195,,11.593042,77.724134,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.724134 11.593042, 77.723325 11.590756)"
=A28+1,S,26,87 to 88,,378,,19,195,,11.590756,77.723325,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.723325 11.590756, 77.722335 11.588101)"
=A29+1,S,26,88 to 89 ,,313.12901724687606,,17,193,,11.588101,77.722335,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.722335 11.588101, 77.7214 11.5857)"
=A30+1,S,26,89 to 90 ,,284.6971024621364,,13,197,,11.5857,77.7214,Good,Good,Lt line crossing ,,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7214 11.5857, 77.720459 11.583093)"
=A31+1,S,26,90 to 91 ,,306.31327444345595,,15,199,,11.583093,77.720459,Good,Good,11 kv line crosssing ,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.720459 11.583093, 77.719495 11.580459)"
=A32+1,S,26,91 to 92 ,,309.97375240468403,,22,198,,11.580459,77.719495,Good,Good,Lt line crossing ,Sand Road ,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.719495 11.580459, 77.717736 11.578192)"
=A33+1,T,28,92 to 93 ,,315.9612546365993,,16,199,"33°00'36"" LT",11.578192,77.717736,Good,Good,,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717736 11.578192, 77.717504 11.575224)"
=A34+1,S,26,93 to 94 ,,329.51713499162724,,17,201,"15°25'42"" RT",11.575224,77.717504,Good,Good,110 kv line crossing ,Sand Road ,suger cane,110KV LMHEP 3 to Anthiyur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717504 11.575224, 77.716431 11.572291)"
=A35+1,S,26,94 to 95 ,,345.14486154440795,,19,197,,11.572291,77.716431,Good,Good,,Sand Road ,Agri farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716431 11.572291, 77.715514 11.569801)"
=A36+1,S,26,95 to 96 ,,293.2395804076856,,21,195,,11.569801,77.715514,Good,Good,,,Agri farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.715514 11.569801, 77.714992 11.568453)"
97 LILO,T,28,96 to 97 ,,181,,16,193,"88°45'42"" LT",11.568453,77.714992,Good,Good,,,Agri farm,tapping to LMHEP-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714992 11.568453, 77.715169 11.568382)"
16,T,24,97 to 16,,34,,18,195,"0°18'43"" RT",11.568382,77.715169,Good,Good,tapping ,,Plain lan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.715169 11.568382, 77.717712 11.567346)"
15,S,26,16 to 15,,300.32104420946865,,16,200,,11.567346,77.717712,Good,Good,Lt line crossing ,,plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717712 11.567346, 77.720305 11.566279)"
14,S,26,15 to 14,,306.67877589865924,,15,210,,11.566279,77.720305,Good,Good,,,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.720305 11.566279, 77.722415 11.56541)"
13,S,26,14 to13,,360,,13,176,,11.56541,77.722415,Good,Good,33kv Lt linecrossing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.722415 11.56541, 77.724143 11.564708)"
12,S,26,13 to 12,,315,,16,185,,11.564708,77.724143,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.724143 11.564708, 77.726591 11.563696)"
11,S,26,12 to 11,,289.73245393629037,,17,186,,11.563696,77.726591,Good,Good,11 kv line crosssing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.726591 11.563696, 77.728761 11.562799)"
10,T,28,11 to 10,,256.8278289622025,,18,190,"33°9'2"" LT",11.562799,77.728761,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.728761 11.562799, 77.731108 11.563224)"
9,S,26,10 to 9,,260.46132420096666,,22,191,,11.563224,77.731108,Good,Good,33 kv -11kv line  ,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.731108 11.563224, 77.733658 11.563703)"
8,S,26,9 to 8,,283.3405553068639,,19,188,,11.563703,77.733658,Good,Good,,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733658 11.563703, 77.736266 11.564215)"
7,S,26,8 to 7,,290.2531431835807,,24,184,,11.564215,77.736266,Good,Good,Lt line crossing ,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.736266 11.564215, 77.738946 11.564688)"
6,S,26,7 to 6,,297.173864376372,,18,184,,11.564688,77.738946,Good,Good,Lt line crossing ,Tar Road,paddyland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.738946 11.564688, 77.741668 11.565198)"
5,T,28,6 to 5,,302.4254663506435,,16,185,"37°22'50"" LT",11.565198,77.741668,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.741668 11.565198, 77.743679 11.567411)"
4,T,28,5 to 4,,328.9269129694528,,18,186,"45°28'11"" LT",11.567411,77.743679,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.743679 11.567411, 77.7435 11.57021)"
3,T,24,4 to 3,,310.45704439242877,,16,180,"12°49'39"" LT",11.57021,77.7435,Good,Good,Lt line crossing ,Sand Road ,Residetial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7435 11.57021, 77.74277 11.57265)"
2,T,26,3 to 2,,281.608575866579,,19,187,"25°14'3"" LT",11.57265,77.74277,Good,Good,Lt line crossing ,Sand Road ,Residetial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74277 11.57265, 77.74175 11.57378)"
1,T,26,2 to 1,,178,,18,190,"15°49'22"" RT",11.57378,77.74175,Good,Good,33 kv Line crossing ,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74175 11.57378, 77.74164 11.5740039)"
LMHEP-3,Gantry,20,1 to Gantry,,48,,,196,,11.5740039,77.74164,Good,Good,,,,LMHEP -3 SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F8:F55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
