S. No ,Tower No,JOINT BOX,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,148 A,2W,T,24,148 to 148 A ,174.2304458,5.1,188,"4°22'20"" RT",77.67471,11.41686,Good,Good,,,Plain Area,Tapping to New Suryampalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67471 11.41686, 77.67457 11.4179)"
39,147,,S,26,148 A to 147,116.1285178,5.1,188,,77.67457,11.4179,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67457 11.4179, 77.67394 11.42117)"
40,146,,S,26,147 to 146 ,368.436846,5.2,173,,77.67394,11.42117,Good,Good,,Tar road,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67394 11.42117, 77.67352 11.42387)"
41,145,,S,26,146 to 145,302.362023,5.2,173,,77.67352,11.42387,Good,Good,,Tar road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67352 11.42387, 77.672901 11.426758)"
42,144,,S,26,145 to 144 ,326.7411745,4.2,174,,77.672901,11.426758,Good,Good,,,Plain Area,up to Erode Duriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.672901 11.426758, 77.6724975 11.42968443)"
43,143,,S,29,144-143,322.5910724,5.31,170,,77.6724975,11.42968443,GOOD,GOOD,2nos LT,"TAAR ROAD,NALA,MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6724975 11.42968443, 77.67193514 11.43221926)"
44,142,,S,29,143-142,287.2211691,4.92,181,,77.67193514,11.43221926,GOOD,GOOD,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67193514 11.43221926, 77.67148937 11.43449101)"
45,141,,S,29,142-141,256.1288738,4.65,182,,77.67148937,11.43449101,GOOD,GOOD,LT,"TAAR ROAD,MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67148937 11.43449101, 77.67095863 11.43746825)"
46,140,,T,29,141-140,334.6072324,5.67,185,"28°9'14.66""",77.67095863,11.43746825,GOOD,GOOD,"2nos LT,2nos 11KV",3nos TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67095863 11.43746825, 77.67188218 11.44024248)"
47,139,,S,29,140-139,323.2150987,5.89,178,,77.67188218,11.44024248,GOOD,GOOD,,3nos TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67188218 11.44024248, 77.6724949 11.44209802)"
48,138A,2W,T,27,139-138A,216.0115738,5.7,177,"0°44'0.95""",77.6724949,11.44209802,GOOD,GOOD,LT,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6724949 11.44209802, 77.6730598 11.44373716)"
49,138,,S,29,138A-138,191.6350699,3.18,174,,77.6730598,11.44373716,GOOD,GOOD,,MUDROAD,CULTIVATION ,EARTH WIRE NOT IN PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6730598 11.44373716, 77.67394601 11.44643041)"
50,137,,S,29,138-137,313.4278226,4.17,172,,77.67394601,11.44643041,GOOD,GOOD,LT,MUDROAD,CULTIVATION ,EARTH WIRE NOT IN PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67394601 11.44643041, 77.6748051 11.44916003)"
51,136,,S,29,137-136,316.3700365,3.28,171,,77.6748051,11.44916003,GOOD,GOOD,,,CULTIVATION ,"EARTH WIRE NOT IN PEAK,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6748051 11.44916003, 77.67580329 11.45206907)"
52,135,,S,32,136-135,339.9485255,3.16,174,,77.67580329,11.45206907,GOOD,GOOD,LT,TAAR ROAD,CULTIVATION ,"EARTH WIRE NOT IN PEAK,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67580329 11.45206907, 77.67672773 11.45492457)"
53,134,,S,32,135-134,331.8026522,2.21,170,,77.67672773,11.45492457,GOOD,GOOD,,RIVER CROSSING,CULTIVATION ,"EARTH WIRE NOT IN PEAK,BHAVAANI RIVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67672773 11.45492457, 77.6773407 11.45679815)"
54,133,,S,29,134-133,217.91971,8.66,171,,77.6773407,11.45679815,GOOD,GOOD,"2nos LT,11KV",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6773407 11.45679815, 77.67825551 11.45959952)"
55,132,,S,29,133-132,325.7759967,6.22,172,,77.67825551,11.45959952,GOOD,GOOD,"11KV,LT","TAAR ROAD,NALA",PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67825551 11.45959952, 77.67920757 11.46246378)"
56,131,,S,29,132-131,333.6540124,9.44,174,,77.67920757,11.46246378,GOOD,GOOD,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67920757 11.46246378, 77.6796228 11.46376094)"
57,130A,2W,T,27,131-130A,150.5722418,4.83,170,"1°9'42.78""",77.6796228,11.46376094,GOOD,GOOD,LT,2nos TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6796228 11.46376094, 77.6801879 11.46540908)"
58,130,,S,29,130A-130,192.5850461,5.31,172,,77.6801879,11.46540908,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6801879 11.46540908, 77.68098031 11.46785017)"
59,129,,S,29,130-129,283.7199323,4.6,181,,77.68098031,11.46785017,GOOD,GOOD,3nos LT,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68098031 11.46785017, 77.68182024 11.47047151)"
60,128,,S,29,129-128,304.3057673,5.68,182,,77.68182024,11.47047151,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68182024 11.47047151, 77.68268767 11.47309258)"
61,127,,S,29,128-127,305.1966579,6.71,183,,77.68268767,11.47309258,GOOD,GOOD,2nos LT,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68268767 11.47309258, 77.68359294 11.47583979)"
62,126,,S,29,127-126,319.751466,5.73,188,,77.68359294,11.47583979,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68359294 11.47583979, 77.68441317 11.4783077)"
63,125,,S,29,126-125,287.4804341,7.56,188,,77.68441317,11.4783077,GOOD,GOOD,,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68441317 11.4783077, 77.68531806 11.48100973)"
64,124,,S,29,125-124,314.985714,5.1,189,,77.68531806,11.48100973,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68531806 11.48100973, 77.68586518 11.4826851)"
65,123A,,T,27,124-123A,194.833262,2.98,186,"0°54'49.15""",77.68586518,11.4826851,GOOD,GOOD,11KV,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68586518 11.4826851, 77.68641326 11.48445985)"
66,123,,S,29,123A-123,205.3606584,HILL ROCK,195,,77.68641326,11.48445985,GOOD,GOOD,LT,MUDROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68641326 11.48445985, 77.68727198 11.48711711)"
67,122 LILO 110KV URACHIKOTTAI,3W,T,29,123-122,308.7166986,5.1,196,,77.68727198,11.48711711,GOOD,GOOD,,MUDROAD,CULTIVATION ,NEED 3WAY JUNCTION BOX.2EARTH WIRE ON THIS TOWER.1 CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECT TO URACHIKOTTAI TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
