S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
62,61,,A,S,26,60-61,207,308.7290211,2.72,367,,11.73323,78.49301,GOOD,GOOD,LT LINE 1,SAND ROAD CROSSING,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49301 11.73323, 78.49414 11.73567)"
63,62,,B,T,24,61-62,299,296.847596,1.38,372,"2⁰16'45"" RT",11.73567,78.49414,GOOD,GOOD,LT LINE 2,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49414 11.73567, 78.49534 11.73801)"
64,63,,A,S,26,62-63,292,290.1772771,0.52,377,,11.73801,78.49534,GOOD,GOOD,"LT LINE 2,22KV LINE 1",SAND ROAD CROSSING,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49534 11.73801, 78.49685 11.74098)"
65,64,,A,S,26,63-64,369,367.6598464,1.06,392,,11.74098,78.49685,GOOD,GOOD,,SAND ROAD CROSSING,,"HOUSE HOLD AREA,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49685 11.74098, 78.49783 11.74288)"
66,65,,A,S,26,64-65,240,235.8908713,12.83,373,,11.74288,78.49783,GOOD,GOOD,22KV LINE ,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49783 11.74288, 78.49921 11.74535)"
67,66,2W,C,T,26,65-66,304,312.0655582,0.35,379,"16⁰47'6"" RT",11.74535,78.49921,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49921 11.74535, 78.50145 11.74751)"
68,67,,C,T,24,66-67,346,341.8056665,0.66,390,"10⁰52'52"" RT",11.74751,78.50145,GOOD,GOOD,,,SMALL HILLS CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50145 11.74751, 78.50306 11.74856)"
69,68,,A,S,26,67-68,216,210.5593419,1.13,391,,11.74856,78.50306,GOOD,GOOD,LT LINE 1,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50306 11.74856, 78.50535 11.75012)"
70,69,,A,S,26,68-69,311,303.6153954,1.44,392,,11.75012,78.50535,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50535 11.75012, 78.50731 11.75156)"
71,70,,B,T,24,69-70,285,266.628599,11.88,398,"7⁰37'29"" RT",11.75156,78.50731,GOOD,GOOD,"LT LINE 1,22KV LINE 1",,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50731 11.75156, 78.50939 11.7527)"
