Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,DA,26,09-Oct,231.867,4.59,245.491364,,11.66737627,77.99615829,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99615828886883 11.667376270461753, 77.99422329191373 11.6685472702113)"
11,,DC,26,10-Nov,247.8,8.45,249.600082,"16d1'49""LT",11.66854727,77.99422329,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99422329191373 11.6685472702113, 77.99273529427082 11.670152269852371)"
12,,DC,26,11-Dec,240.729,6.74,253.759445,"19d20'6""RT",11.67015227,77.99273529,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99273529427082 11.670152269852371, 77.99054629769726 11.67131126960859)"
13,,DB,26,Dec-13,271.176,0.95,262.980011,"16d50'5""LT",11.67131127,77.9905463,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99054629769726 11.67131126960859, 77.98952059203687 11.672325007690857)"
14 Lilo,,DB,26,13 - 14,158.519,,262.980011,"16d46'38""LT",11.67232501,77.98952059,GOOD,GOOD,,,PLAIN,LILO or Tapping to Tharamangalam Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98952059203687 11.672325007690857, 77.989241299762 11.672917269245449)"
DP 1,,DP,15,14 - DP 1,72.313,,256.655334,,11.67291727,77.9892413,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.989241299762 11.672917269245449, 77.98904530007377 11.673226269175249)"
DP 2,,DP,15,DP 1 -DP 2,40.349,,260.271057,,11.67322627,77.9890453,GOOD,GOOD,230kv,Bridge,PLAIN,230kv Mtps1-Salem(97-98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98904530007377 11.673226269175249, 77.98894730022968 11.673381269140155)"
3,,DB,24,DP 2 - 3,20.221,5.3,258.863464," 5d35'35""RT",11.67338127,77.9889473,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98894730022968 11.673381269140155, 77.98760630235672 11.675360268689149)"
4,,DB,24,03-Apr,263.493,4.13,259.872803," 11d9'23""LT",11.67536027,77.9876063,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98760630235672 11.675360268689149, 77.98640330429247 11.67821126802893)"
5,,DC,26,04-May,341.876,2.65,263.252899,"28d0'56""LT",11.67821127,77.9864033,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98640330429247 11.67821126802893, 77.98654130411997 11.679641267686792)"
6,,DB,24,05-Jun,159.045,2.33,263.948303,"10d44'56""LT",11.67964127,77.9865413,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98654130411997 11.679641267686792, 77.98731330300336 11.682263267052749)"
7,,DA,26,06-Jul,302.286,14.35,267.568146,,11.68226327,77.9873133,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98731330300336 11.682263267052749, 77.98801830198308 11.684660266473433)"
8,,DB,24,07-Aug,276.323,6.25,268.91803,"7d39'13""RT",11.68466027,77.9880183,GOOD,GOOD,"400kv,2nos LT",TAAR ROAD,PLAIN,Power grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98801830198308 11.684660266473433, 77.98844230140729 11.687452265803689)"
9,,DA,26,08-Sep,312.576,4.95,272.249207,,11.68745227,77.9884423,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98844230140729 11.687452265803689, 77.98888130080802 11.690236265135818)"
10,,DB,24,09-Oct,312,4.65,269.381042,"7d45'7""LT",11.69023627,77.9888813,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98888130080802 11.690236265135818, 77.98959329977448 11.692592264564857)"
11,,DB,24,10-Nov,272,2.34,266.88269,"1d16'29""LT",11.69259226,77.9895933,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98959329977448 11.692592264564857, 77.99043129855133 11.695155263943906)"
12,,DA,26,11-Dec,298,4.5,269.248199,,11.69515526,77.9904313,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99043129855133 11.695155263943906, 77.99117429746612 11.69743026339249)"
13,,DA,26,Dec-13,265,2.85,273.209442,,11.69743026,77.9911743,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99117429746612 11.69743026339249, 77.99198929627607 11.699965262777704)"
14,,DC,26,13-14,294,3.85,277.921326,"15d23'46""RT",11.69996526,77.9919893,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99198929627607 11.699965262777704, 77.9920892961947 11.702548262162436)"
15,2W,DA,26,14-15,286,0.5,276.216858,,11.70254826,77.9920893,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9920892961947 11.702548262162436, 77.99224029603597 11.705190261532376)"
16,,DA,26,15-16,293,0.72,267.300293,,11.70519026,77.9922403,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99224029603597 11.705190261532376, 77.99230729600124 11.707611260956364)"
17,,DA,26,16-17,268,4.15,275.784729,,11.70761126,77.9923073,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99230729600124 11.707611260956364, 77.99243429587733 11.71016826034669)"
18,,DA,26,17-18,283,4.15,279.637451,,11.71016826,77.9924343,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99243429587733 11.71016826034669, 77.99251629580482 11.712083259890298)"
19,,DC,26,18-19,212,3.75,273.962646," 15d53'54""RT",11.71208326,77.9925163,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99251629580482 11.712083259890298, 77.99201029664789 11.714163259403133)"
20,,DC,26,19-20,237,2.55,267.497528," 15d30'2""LT",11.71416326,77.9920103,GOOD,GOOD,"HT,2nos LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99201029664789 11.714163259403133, 77.99209393697222 11.716501734979241)"
21,,DA,26,20-21,259,1.1,273,,11.71650173,77.99209394,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99209393697222 11.716501734979241, 77.9921296595638 11.71896714621761)"
22,,DA,26,21-22,273,0.3,268,,11.71896715,77.99212966,GOOD,GOOD,,"LAKE,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9921296595638 11.71896714621761, 77.9921772940841 11.720836308638582)"
23,,DC,26,22-23,207.021,0.3,271," 18d32'46""RT",11.72083631,77.99217729,GOOD,GOOD,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9921772940841 11.720836308638582, 77.9913622028323 11.723446105650552)"
24,,DC,26,23-24,0.002460374,0.25,273," 20d20'45""LT",11.72344611,77.9913622,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9913622028323 11.723446105650552, 77.99150888194116 11.72600067793594)"
25,,DA,26,24-25,0.002153562,0.1,271,,11.72600068,77.99150888,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99150888194116 11.72600067793594, 77.99164640512609 11.728555345038016)"
26,,DB,24,25-26,0.002493026,0.15,270," 3d15'19""RT",11.72855535,77.99164641,GOOD,GOOD,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99164640512609 11.728555345038016, 77.99163671874146 11.731057359587146)"
27,,DA,26,26-27,0.002384532,0.32,259,,11.73105736,77.99163672,GOOD,GOOD,LT,"LAKE,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99163671874146 11.731057359587146, 77.99160823069727 11.73266538533769)"
28,,DB,24,27-28,0.001832638,0.1,264," 10d41'30""RT",11.73266539,77.99160823,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99160823069727 11.73266538533769, 77.99110258557836 11.735073239982302)"
29,2W,DA,26,28-29,0.00252779,0.07,272,,11.73507324,77.99110259,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99110258557836 11.735073239982302, 77.9906670409719 11.737182299335613)"
30,,DB,24,29-30,0.0028494,0.05,278," 12d56'31""LT",11.7371823,77.99066704,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9906670409719 11.737182299335613, 77.99073058674641 11.739674515596723)"
31,,DA,26,30-31,0.000703129,0.1,286,,11.73967452,77.99073059,GOOD,GOOD,"11kv,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99073058674641 11.739674515596723, 77.99078380492665 11.742058453330285)"
32,,DB,24,31-32,0.000592816,0.15,285," 6d1'28""RT",11.74205845,77.9907838,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99078380492665 11.742058453330285, 77.990629355364 11.743884571684866)"
33,,DA,26,32-33,0.000759349,0.1,279,,11.74388457,77.99062936,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.990629355364 11.743884571684866, 77.99036316805545 11.746398306836335)"
34,,DC,26,33-34,0.002150847,0.15,281," 28d58'34""LT",11.74639831,77.99036317,GOOD,GOOD,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99036316805545 11.746398306836335, 77.99149136021812 11.74901484318698)"
35,,DD,28,34-35,0.002736156,0.12,287," 41d21'30""LT",11.74901484,77.99149136,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99149136021812 11.74901484318698, 77.99212707561661 11.749315270133604)"
36,,DB,24,35-36,0.002956347,0.05,288," 2d18'29""RT",11.74931527,77.99212708,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99212707561661 11.749315270133604, 77.9926525168853 11.749589755682518)"
37,,DB,24,36-37,0.001147942,0.02,291," 6d36'37""LT",11.74958976,77.99265252,GOOD,GOOD,400kv,,PLAIN,Power grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9926525168853 11.749589755682518, 77.99336126328686 11.749862316646288)"
38,,DB,24,37-38,0.001647355,0.04,292," 1d21'54""RT",11.74986232,77.99336126,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99336126328686 11.749862316646288, 77.99535003029342 11.750681430537554)"
39,,DD,28,38-39,0.001948897,0.05,292," 45d34'22""RT",11.75068143,77.99535003,GOOD,GOOD,3nos LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99535003029342 11.750681430537554, 77.99637659449573 11.75321771004583)"
40,,DA,26,39-40,0.002734651,0.17,299,,11.75321771,77.99637659,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99637659449573 11.75321771004583, 77.99747875446072 11.755960925221792)"
41,,DB,24,40-41,0.002540715,0.09,299," 10d26'33""LT",11.75596093,77.99747875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99747875446072 11.755960925221792, 77.99809423268832 11.756929922798388)"
42,,DB,24,41-42,0.00242553,0.1,300," 3d55'29""LT",11.75692992,77.99809423,GOOD,GOOD,,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99809423268832 11.756929922798388, 77.9990710817759 11.758256400961436)"
43,,DA,26,42-43,0.002476744,0.25,305,,11.7582564,77.99907108,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9990710817759 11.758256400961436, 78.0001966880338 11.759847378868036)"
44,,DB,24,43-44,215.15,0.15,297," 12d72'15""LT",11.75984738,78.00019669,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0001966880338 11.759847378868036, 78.00123257933338 11.762378237129314)"
45,,DC,26,44-45,0.002665204,0.15,307," 25d13'30""RT",11.76237824,78.00123258,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00123257933338 11.762378237129314, 78.00108591773161 11.764914715760659)"
46,2W,DA,26,45-46,0.002620592,0.2,309,,11.76491472,78.00108592,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00108591773161 11.764914715760659, 78.00090385778645 11.767333403346314)"
47,,DA,26,46-47,0.001896409,0.25,312,,11.7673334,78.00090386,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00090385778645 11.767333403346314, 78.00077619653138 11.769806855227586)"
48,,DC,26,47-48,0.002483873,0.06,313," 25d53'38""LT",11.76980686,78.0007762,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00077619653138 11.769806855227586, 78.00179553937369 11.772174967855378)"
49,,DA,26,48-49,0.001815573,0.06,314,,11.77217497,78.00179554,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00179553937369 11.772174967855378, 78.00296125770815 11.774571717847632)"
50,,DA,26,49-50,0.002193546,0.08,314,,11.77457172,78.00296126,GOOD,GOOD,LT-2,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00296125770815 11.774571717847632, 78.00396170894552 11.776993824401044)"
51,,DB,24,50-51,0.00209686,0.09,314," 1d25'18""RT",11.77699382,78.00396171,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00396170894552 11.776993824401044, 78.00473129394449 11.778727059859344)"
52,,DA,26,51-52,0.001908012,0.1,323,,11.77872706,78.00473129,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00473129394449 11.778727059859344, 78.0057425986717 11.780995734697504)"
53,,DC,26,52-53,0.002764395,0.1,332," 17d25'47""LT",11.78099573,78.0057426,GOOD,GOOD,"LT-2,11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0057425986717 11.780995734697504, 78.00694712755977 11.782354195948677)"
54,,DA,26,53-54,0.002919972,0.15,329,,11.7823542,78.00694713,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00694712755977 11.782354195948677, 78.00846087800005 11.78394171023761)"
55,,DC,26,54-55,0.002381449,0.1,325," 17d49'28""LT",11.78394171,78.00846088,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00846087800005 11.78394171023761, 78.01030182618837 11.78494556860139)"
56,,DA,26,55-56,0.002998089,0.9,329,,11.78494557,78.01030183,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01030182618837 11.78494556860139, 78.01196969517014 11.785872242416058)"
57,,DB,24,56-57,0.0027592,4.33,326.433167," 11d14'50""RT",11.78587224,78.0119697,GOOD,GOOD,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01196969517014 11.785872242416058, 78.01407969187798 11.787658242022228)"
58,2W,DC,26,57-58,0.002903651,0.13,336.247223," 15d46'14""RT",11.78765824,78.01407969,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01407969187798 11.787658242022228, 78.01571068930902 11.790080241470184)"
59,,DA,26,58-59,0.002197906,2.42,329.222656,,11.79008024,78.01571069,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01571068930902 11.790080241470184, 78.01705168720108 11.79204824102104)"
60,,DB,24,59-60,0.002116512,6.39,338.727539," 9d0'47""RT",11.79204824,78.01705169,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01705168720108 11.79204824102104, 78.01832768517465 11.794761240395156)"
61,,DA,26,60-61,0.002025342,0.17,323.927368,,11.79476124,78.01832769,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01832768517465 11.794761240395156, 78.01952268328107 11.797248239820577)"
62,,DB,24,61-62,0.001380486,1.42,326.400208," 6d46'42""LT",11.79724824,78.01952268,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01952268328107 11.797248239820577, 78.02108268083532 11.799697239261052)"
63,,DB,24,62-63,0.001986557,4.68,324.716858," 13d16'21""LT",11.79969724,78.02108268,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02108268083532 11.799697239261052, 78.02265867839515 11.801229238919127)"
64,,DC,26,63-64,0.001450564,0.8,331.833923," 26d1'7""LT",11.80122924,78.02265868,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02265867839515 11.801229238919127, 78.02466767532636 11.801895238789472)"
65,,DA,26,64-65,0.002442115,0.06,330.711792,,11.80189524,78.02466768,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02466767532636 11.801895238789472, 78.02656967242531 11.80259123865044)"
66,,DD,28,65-66,0.00328199,5.38,335.583435," 33d35'6""LT",11.80259124,78.02656967,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02656967242531 11.80259123865044, 78.02791467039958 11.802280238744006)"
67,,DB,24,66-67,0.00242417,0.23,331.556702," 5d43'27""LT",11.80228024,78.02791467,GOOD,GOOD,,RAILWAY CROSS,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02791467039958 11.802280238744006, 78.02979666757525 11.801644238921632)"
68,,DA,26,67-68,0.002477013,7.46,325.090393,,11.80164424,78.02979667,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02979666757525 11.801644238921632, 78.03117566550898 11.801194239048002)"
69,,DD,28,68-69,0.002666424,0.3,322.97998," 32d17'20""RT",11.80119424,78.03117567,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03117566550898 11.801194239048002, 78.03354766192459 11.801775238942716)"
70,,DA,26,69-70,0.002428733,0.02,325.19696,,11.80177524,78.03354766,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03354766192459 11.801775238942716, 78.03673265712567 11.802567238798677)"
71,2W,DB,24,70-71,0.002120012,2.13,314.473999," 11d11'21""LT",11.80256724,78.03673266,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03673265712567 11.802567238798677, 78.03915365350169 11.802691238802122)"
72,,DA,26,71-72,0.002499304,4.6,313.285706,,11.80269124,78.03915365,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03915365350169 11.802691238802122, 78.04162664980913 11.802832238803143)"
73,,DB,24,72-73,0.00188931,10.52,309.557983," 8d27'16""RT",11.80283224,78.04162665,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04162664980913 11.802832238803143, 78.04423864590918 11.803368238710858)"
74,,DA,26,73-74,0.001886345,3.5,310.118011,,11.80336824,78.04423865,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04423864590918 11.803368238710858, 78.04661764236651 11.803857238627042)"
75,,DA,26,74-75,0.001930893,1.5,304.258331,,11.80385724,78.04661764,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04661764236651 11.803857238627042, 78.04869063928635 11.804301238549382)"
76,,DA,26,75-76,0.002139012,4.33,307.269623,,11.80430124,78.04869064,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04869063928635 11.804301238549382, 78.05114063565567 11.80479523846449)"
77,,DC,26,76-77,0.00169673,5.35,304.332397," 16d20'29""RT",11.80479524,78.05114064,GOOD,GOOD,"LT-2,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05114063565567 11.80479523846449, 78.05281563316491 11.805669238279274)"
78,,DA,26,77-78,0.000271464,7.17,303.530518,,11.80566924,78.05281563,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05281563316491 11.805669238279274, 78.05450363066036 11.806511238101422)"
79,,DC,26,78-79,78.94831593,7.66,306.907074," 20d23'46""LT",11.80651124,78.05450363,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05450363066036 11.806511238101422, 78.05642262783799 11.806725238076151)"
